# event_ticker=KXATPCHALLENGERMATCH-26APR29PIRGEN
# final_score=6-4 6-7(7) 7-5
# score_resolution=6-4 6-7 7-5
# match_winner=Tom Gentzsch
# fav_player=Tom Gentzsch
# dog_player=Zsombor Piros
# kalshi_date=2026-04-29
timestamp,Zsombor Piros,Tom Gentzsch
2026-04-29T01:26:00Z,75.00,
2026-04-29T01:46:00Z,75.00,
2026-04-29T02:34:00Z,75.00,27.00
2026-04-29T03:15:00Z,75.00,27.00
2026-04-29T03:59:00Z,75.00,27.00
2026-04-29T04:05:00Z,75.00,27.00
2026-04-29T05:04:00Z,75.00,27.00
2026-04-29T05:15:00Z,75.00,25.00
2026-04-29T05:33:00Z,75.00,25.00
2026-04-29T05:34:00Z,75.00,25.00
2026-04-29T05:36:00Z,75.00,25.00
2026-04-29T05:52:00Z,75.00,25.00
2026-04-29T06:13:00Z,75.00,26.00
2026-04-29T09:42:00Z,75.00,26.00
2026-04-29T10:11:00Z,75.00,25.00
2026-04-29T10:13:00Z,75.00,26.00
2026-04-29T10:53:00Z,74.00,26.00
2026-04-29T11:05:00Z,74.00,27.00
2026-04-29T11:16:00Z,72.00,27.00
2026-04-29T11:34:00Z,73.00,27.00
2026-04-29T11:37:00Z,73.00,27.00
2026-04-29T11:47:00Z,73.00,27.00
2026-04-29T12:04:00Z,73.00,27.00
2026-04-29T12:13:00Z,74.00,27.00
2026-04-29T12:14:00Z,74.00,27.00
2026-04-29T12:16:00Z,74.00,27.00
2026-04-29T12:17:00Z,72.00,31.50
2026-04-29T12:18:00Z,73.01,29.00
2026-04-29T12:19:00Z,72.00,27.00
2026-04-29T12:20:00Z,75.70,26.00
2026-04-29T12:21:00Z,74.00,26.72
2026-04-29T12:22:00Z,71.00,29.59
2026-04-29T12:23:00Z,68.00,31.00
2026-04-29T12:24:00Z,69.00,31.00
2026-04-29T12:25:00Z,70.00,35.00
2026-04-29T12:26:00Z,70.00,28.00
2026-04-29T12:27:00Z,72.00,28.00
2026-04-29T12:28:00Z,72.00,30.88
2026-04-29T12:29:00Z,72.00,31.00
2026-04-29T12:30:00Z,69.00,31.00
2026-04-29T12:31:00Z,70.00,31.00
2026-04-29T12:32:00Z,73.00,31.00
2026-04-29T12:33:00Z,73.00,28.00
2026-04-29T12:34:00Z,70.00,28.00
2026-04-29T12:36:00Z,74.26,26.34
2026-04-29T12:37:00Z,76.40,27.07
2026-04-29T12:38:00Z,76.40,29.00
2026-04-29T12:39:00Z,71.65,32.00
2026-04-29T12:40:00Z,69.00,32.00
2026-04-29T12:41:00Z,65.76,36.64
2026-04-29T12:42:00Z,64.02,38.00
2026-04-29T12:43:00Z,66.01,38.00
2026-04-29T12:44:00Z,71.00,28.00
2026-04-29T12:46:00Z,71.00,25.05
2026-04-29T12:47:00Z,75.51,24.00
2026-04-29T12:48:00Z,74.00,26.74
2026-04-29T12:49:00Z,71.73,28.00
2026-04-29T12:50:00Z,69.00,30.21
2026-04-29T12:51:00Z,59.33,38.35
2026-04-29T12:52:00Z,58.15,40.37
2026-04-29T12:53:00Z,56.10,43.00
2026-04-29T12:54:00Z,52.37,49.14
2026-04-29T12:55:00Z,52.37,54.91
2026-04-29T12:56:00Z,45.50,54.91
2026-04-29T12:57:00Z,41.90,60.00
2026-04-29T12:58:00Z,37.97,63.00
2026-04-29T12:59:00Z,37.90,63.00
2026-04-29T13:00:00Z,40.76,61.17
2026-04-29T13:01:00Z,38.84,63.88
2026-04-29T13:02:00Z,40.04,61.06
2026-04-29T13:03:00Z,31.65,69.82
2026-04-29T13:04:00Z,36.44,65.00
2026-04-29T13:05:00Z,36.80,62.55
2026-04-29T13:06:00Z,35.09,65.49
2026-04-29T13:07:00Z,39.27,63.60
2026-04-29T13:08:00Z,38.41,61.10
2026-04-29T13:09:00Z,35.11,65.97
2026-04-29T13:10:00Z,34.32,66.83
2026-04-29T13:11:00Z,30.73,70.45
2026-04-29T13:12:00Z,29.19,68.57
2026-04-29T13:13:00Z,31.57,67.52
2026-04-29T13:14:00Z,37.38,64.16
2026-04-29T13:15:00Z,38.80,64.16
2026-04-29T13:16:00Z,44.16,59.13
2026-04-29T13:17:00Z,42.09,59.05
2026-04-29T13:18:00Z,44.36,56.29
2026-04-29T13:19:00Z,43.77,56.00
2026-04-29T13:20:00Z,41.49,60.28
2026-04-29T13:21:00Z,38.99,60.76
2026-04-29T13:22:00Z,37.18,65.35
2026-04-29T13:23:00Z,37.29,62.57
2026-04-29T13:24:00Z,38.04,62.71
2026-04-29T13:25:00Z,39.49,65.64
2026-04-29T13:26:00Z,26.67,72.49
2026-04-29T13:27:00Z,14.93,84.53
2026-04-29T13:28:00Z,15.82,85.81
2026-04-29T13:29:00Z,18.75,82.27
2026-04-29T13:30:00Z,13.38,84.56
2026-04-29T13:31:00Z,17.96,82.14
2026-04-29T13:32:00Z,21.57,79.81
2026-04-29T13:33:00Z,24.04,76.47
2026-04-29T13:34:00Z,20.04,78.87
2026-04-29T13:35:00Z,17.86,84.16
2026-04-29T13:36:00Z,21.89,82.90
2026-04-29T13:37:00Z,19.07,80.06
2026-04-29T13:38:00Z,15.03,86.00
2026-04-29T13:39:00Z,12.32,86.61
2026-04-29T13:40:00Z,10.21,91.17
2026-04-29T13:41:00Z,4.64,93.33
2026-04-29T13:42:00Z,7.16,93.99
2026-04-29T13:43:00Z,12.71,89.66
2026-04-29T13:44:00Z,11.24,92.60
2026-04-29T13:45:00Z,11.99,91.82
2026-04-29T13:46:00Z,11.80,88.09
2026-04-29T13:47:00Z,13.52,89.00
2026-04-29T13:48:00Z,13.98,88.07
2026-04-29T13:49:00Z,10.93,90.70
2026-04-29T13:50:00Z,4.73,94.37
2026-04-29T13:51:00Z,7.44,92.44
2026-04-29T13:52:00Z,8.00,92.58
2026-04-29T13:53:00Z,10.92,92.62
2026-04-29T13:54:00Z,11.24,88.33
2026-04-29T13:55:00Z,17.85,83.51
2026-04-29T13:56:00Z,31.04,76.32
2026-04-29T13:57:00Z,39.02,62.15
2026-04-29T13:58:00Z,42.04,59.31
2026-04-29T13:59:00Z,42.50,57.04
2026-04-29T14:00:00Z,42.21,58.84
2026-04-29T14:01:00Z,43.17,58.84
2026-04-29T14:02:00Z,38.86,60.95
2026-04-29T14:03:00Z,36.95,63.15
2026-04-29T14:04:00Z,35.95,66.58
2026-04-29T14:05:00Z,40.24,61.88
2026-04-29T14:06:00Z,29.96,71.64
