# event_ticker=KXATPCHALLENGERMATCH-26APR07BUEFER
# final_score=6-2 7-5
# score_resolution=2-6 5-7
# match_winner=Gonzalo Bueno
# fav_player=Bruno Fernandez
# dog_player=Gonzalo Bueno
# kalshi_date=2026-04-07
timestamp,Bruno Fernandez,Gonzalo Bueno
2026-04-07T04:23:00Z,35.00,
2026-04-07T05:16:00Z,26.00,
2026-04-07T10:02:00Z,29.00,73.67
2026-04-07T10:52:00Z,24.00,73.67
2026-04-07T11:19:00Z,24.00,79.00
2026-04-07T13:13:00Z,24.00,79.00
2026-04-07T13:21:00Z,21.00,79.00
2026-04-07T13:25:00Z,21.00,78.00
2026-04-07T13:45:00Z,21.00,78.00
2026-04-07T13:59:00Z,21.00,78.67
2026-04-07T14:33:00Z,21.00,78.00
2026-04-07T14:37:00Z,21.00,78.00
2026-04-07T14:41:00Z,21.00,79.00
2026-04-07T14:52:00Z,21.00,79.00
2026-04-07T14:56:00Z,21.00,79.00
2026-04-07T15:01:00Z,23.00,78.00
2026-04-07T15:02:00Z,23.00,79.00
2026-04-07T15:05:00Z,23.00,79.00
2026-04-07T15:06:00Z,23.00,79.00
2026-04-07T15:09:00Z,23.00,79.00
2026-04-07T15:10:00Z,23.00,79.61
2026-04-07T15:17:00Z,23.00,79.00
2026-04-07T15:18:00Z,23.00,79.00
2026-04-07T15:19:00Z,23.00,79.00
2026-04-07T15:26:00Z,23.00,79.66
2026-04-07T15:28:00Z,23.00,79.66
2026-04-07T15:31:00Z,23.96,79.66
2026-04-07T15:37:00Z,23.96,78.92
2026-04-07T15:38:00Z,23.89,78.00
2026-04-07T15:39:00Z,23.83,78.00
2026-04-07T15:40:00Z,19.02,78.00
2026-04-07T15:41:00Z,20.84,78.38
2026-04-07T15:42:00Z,22.91,76.94
2026-04-07T15:43:00Z,20.65,78.99
2026-04-07T15:44:00Z,18.17,78.93
2026-04-07T15:45:00Z,23.39,78.76
2026-04-07T15:46:00Z,17.57,81.65
2026-04-07T15:47:00Z,14.20,84.58
