# event_ticker=KXATPCHALLENGERMATCH-26APR07RINSAM
# final_score=6-7(3) 6-4 6-1
# score_resolution=7-6 4-6 1-6
# match_winner=Toby Samuel
# fav_player=Daniel Rincon
# dog_player=Toby Samuel
# kalshi_date=2026-04-07
timestamp,Daniel Rincon,Toby Samuel
2026-04-07T02:08:00Z,,55.00
2026-04-07T02:26:00Z,,56.00
2026-04-07T02:50:00Z,,56.00
2026-04-07T04:13:00Z,46.00,56.00
2026-04-07T04:38:00Z,46.00,55.00
2026-04-07T05:01:00Z,46.00,55.00
2026-04-07T05:42:00Z,46.00,56.00
2026-04-07T05:47:00Z,46.00,56.00
2026-04-07T06:20:00Z,46.00,56.00
2026-04-07T06:23:00Z,46.00,56.00
2026-04-07T06:30:00Z,46.00,56.00
2026-04-07T06:50:00Z,46.00,56.00
2026-04-07T08:31:00Z,46.00,56.00
2026-04-07T08:32:00Z,46.00,56.00
2026-04-07T09:53:00Z,46.00,56.00
2026-04-07T10:52:00Z,46.00,56.00
2026-04-07T11:38:00Z,46.00,56.00
2026-04-07T11:58:00Z,46.00,56.00
2026-04-07T11:59:00Z,45.00,56.00
2026-04-07T12:02:00Z,45.00,56.00
2026-04-07T12:06:00Z,45.00,56.00
2026-04-07T12:16:00Z,45.00,56.00
2026-04-07T12:19:00Z,45.00,56.00
2026-04-07T12:20:00Z,45.00,56.00
2026-04-07T12:25:00Z,45.00,56.00
2026-04-07T12:29:00Z,45.00,56.07
2026-04-07T12:31:00Z,45.00,57.00
2026-04-07T12:36:00Z,45.00,57.00
2026-04-07T12:37:00Z,45.00,57.00
2026-04-07T12:40:00Z,45.50,57.00
2026-04-07T12:41:00Z,46.00,56.00
2026-04-07T12:42:00Z,46.00,57.00
2026-04-07T12:46:00Z,46.00,57.00
2026-04-07T12:48:00Z,46.00,57.00
2026-04-07T12:49:00Z,46.00,57.00
2026-04-07T12:50:00Z,46.00,57.00
2026-04-07T12:55:00Z,46.00,57.00
2026-04-07T12:57:00Z,46.00,57.00
2026-04-07T13:01:00Z,46.98,56.00
2026-04-07T13:02:00Z,46.98,56.00
