# event_ticker=KXATPMATCH-26MAY10PAUDAR
# final_score=3-6 6-3 6-2
# match_winner=Luciano Darderi
# fav_player=Luciano Darderi
# dog_player=Tommy Paul
# kalshi_date=2026-05-10
timestamp,Tommy Paul,Luciano Darderi
2026-05-10T04:10:00Z,,44.00
2026-05-10T04:22:00Z,58.00,44.00
2026-05-10T04:27:00Z,57.00,44.00
2026-05-10T04:28:00Z,58.00,44.00
2026-05-10T04:31:00Z,58.00,44.00
2026-05-10T04:32:00Z,58.00,44.00
2026-05-10T04:34:00Z,58.00,44.00
2026-05-10T04:36:00Z,58.00,44.00
2026-05-10T04:37:00Z,58.00,44.00
2026-05-10T04:45:00Z,58.00,44.00
2026-05-10T04:51:00Z,58.00,44.00
2026-05-10T04:52:00Z,58.00,44.00
2026-05-10T04:53:00Z,58.00,44.00
2026-05-10T04:54:00Z,58.00,44.00
2026-05-10T04:57:00Z,58.00,44.00
2026-05-10T04:58:00Z,57.85,44.00
2026-05-10T05:00:00Z,58.00,44.00
2026-05-10T05:01:00Z,58.00,44.00
2026-05-10T05:02:00Z,58.00,44.00
2026-05-10T05:05:00Z,58.00,44.00
2026-05-10T05:06:00Z,58.00,44.00
2026-05-10T05:08:00Z,58.00,44.00
2026-05-10T05:09:00Z,58.00,44.00
2026-05-10T05:11:00Z,58.00,44.00
2026-05-10T05:12:00Z,58.00,44.00
2026-05-10T05:15:00Z,58.00,44.00
2026-05-10T05:18:00Z,58.00,43.00
2026-05-10T05:19:00Z,58.00,43.00
2026-05-10T05:20:00Z,58.00,43.00
2026-05-10T05:21:00Z,58.00,44.00
2026-05-10T05:35:00Z,58.00,44.00
2026-05-10T05:39:00Z,58.00,44.00
2026-05-10T05:42:00Z,58.00,43.00
2026-05-10T05:44:00Z,57.00,43.00
2026-05-10T05:46:00Z,57.00,44.00
2026-05-10T05:47:00Z,57.00,44.00
2026-05-10T05:48:00Z,57.00,44.00
2026-05-10T05:54:00Z,57.00,44.00
2026-05-10T05:55:00Z,57.00,44.00
2026-05-10T05:56:00Z,57.00,44.00
2026-05-10T05:57:00Z,57.00,44.00
2026-05-10T06:00:00Z,57.00,44.00
2026-05-10T06:03:00Z,57.00,44.00
2026-05-10T06:07:00Z,57.00,44.00
2026-05-10T06:10:00Z,57.00,44.00
