# event_ticker=KXATPCHALLENGERMATCH-26FEB19FEROLI
# final_score=6-1 6-7(5) 7-5
# score_resolution=6-1 6-7 7-5
# match_winner=Bruno Fernandez
# fav_player=Bruno Fernandez
# dog_player=Genaro Alberto Olivieri
# kalshi_date=2026-02-19
timestamp,Bruno Fernandez,Genaro Alberto Olivieri
2026-02-19T01:46:00Z,15.00,
2026-02-19T02:33:00Z,15.00,
2026-02-19T02:58:00Z,15.00,85.00
2026-02-19T02:59:00Z,14.57,85.00
2026-02-19T03:38:00Z,14.95,85.00
2026-02-19T03:50:00Z,14.98,85.00
2026-02-19T04:03:00Z,11.00,88.00
2026-02-19T04:05:00Z,12.00,88.00
2026-02-19T04:10:00Z,12.00,89.00
2026-02-19T04:22:00Z,13.06,89.00
2026-02-19T04:36:00Z,12.95,89.00
2026-02-19T04:41:00Z,14.86,89.00
2026-02-19T04:48:00Z,13.93,89.00
2026-02-19T05:03:00Z,14.91,89.00
2026-02-19T05:22:00Z,13.00,89.00
2026-02-19T05:40:00Z,12.00,89.00
2026-02-19T05:41:00Z,14.00,89.00
2026-02-19T05:56:00Z,15.00,85.00
2026-02-19T06:16:00Z,15.00,85.00
2026-02-19T06:22:00Z,15.00,85.00
2026-02-19T06:23:00Z,15.00,89.00
2026-02-19T06:26:00Z,15.00,89.00
2026-02-19T06:34:00Z,15.00,89.00
2026-02-19T06:35:00Z,15.00,89.00
2026-02-19T06:37:00Z,15.00,89.00
2026-02-19T07:10:00Z,15.00,89.00
2026-02-19T07:12:00Z,15.00,89.00
2026-02-19T07:46:00Z,15.00,87.00
2026-02-19T07:54:00Z,16.00,87.00
2026-02-19T07:55:00Z,16.00,87.00
2026-02-19T10:04:00Z,16.00,87.00
2026-02-19T10:08:00Z,16.00,87.00
2026-02-19T10:21:00Z,16.00,87.00
2026-02-19T10:29:00Z,15.00,87.00
2026-02-19T10:30:00Z,15.00,87.00
2026-02-19T10:54:00Z,15.00,87.00
2026-02-19T11:04:00Z,15.00,87.00
