# event_ticker=KXATPMATCH-26APR15ZVEDIA
# final_score=6-1 6-2
# match_winner=Alexander Zverev
# fav_player=Alexander Zverev
# dog_player=Gabriel Diallo
# kalshi_date=2026-04-15
timestamp,Alexander Zverev,Gabriel Diallo
2026-04-16T00:50:00Z,91.00,
2026-04-16T00:52:00Z,91.00,10.00
2026-04-16T00:56:00Z,91.00,10.00
2026-04-16T01:00:00Z,91.00,10.00
2026-04-16T01:07:00Z,91.00,10.00
2026-04-16T01:08:00Z,91.00,10.00
2026-04-16T01:12:00Z,91.00,10.00
2026-04-16T01:13:00Z,91.00,10.00
2026-04-16T01:20:00Z,91.00,10.00
2026-04-16T01:25:00Z,91.00,10.00
2026-04-16T01:26:00Z,91.00,10.00
2026-04-16T01:34:00Z,91.00,10.00
2026-04-16T01:37:00Z,91.00,10.00
2026-04-16T01:52:00Z,91.00,10.00
2026-04-16T02:02:00Z,91.00,10.00
2026-04-16T02:13:00Z,91.00,10.00
2026-04-16T02:18:00Z,91.00,10.00
2026-04-16T02:30:00Z,91.00,10.00
2026-04-16T02:34:00Z,91.00,10.00
2026-04-16T02:37:00Z,91.00,10.00
2026-04-16T02:39:00Z,91.00,10.00
2026-04-16T02:43:00Z,91.00,10.00
2026-04-16T02:46:00Z,91.00,10.00
2026-04-16T02:48:00Z,91.00,9.00
2026-04-16T02:49:00Z,91.00,10.00
2026-04-16T02:53:00Z,91.00,9.00
2026-04-16T03:01:00Z,91.00,9.00
2026-04-16T03:04:00Z,91.00,10.00
2026-04-16T03:09:00Z,91.00,10.00
2026-04-16T03:10:00Z,91.00,10.00
2026-04-16T03:14:00Z,91.00,10.00
2026-04-16T03:15:00Z,91.00,10.00
2026-04-16T03:16:00Z,91.00,10.00
2026-04-16T03:17:00Z,91.00,10.00
2026-04-16T03:21:00Z,90.00,10.00
2026-04-16T03:23:00Z,91.00,10.00
2026-04-16T03:26:00Z,91.00,10.00
2026-04-16T03:30:00Z,91.00,10.00
2026-04-16T03:35:00Z,91.00,10.00
2026-04-16T03:46:00Z,91.00,10.00
2026-04-16T03:53:00Z,91.00,10.00
2026-04-16T03:57:00Z,91.00,10.00
2026-04-16T04:01:00Z,91.00,10.00
2026-04-16T04:05:00Z,90.00,10.00
2026-04-16T04:08:00Z,91.00,10.00
2026-04-16T04:11:00Z,91.00,10.00
2026-04-16T04:12:00Z,91.00,10.00
2026-04-16T04:16:00Z,91.00,10.00
2026-04-16T04:17:00Z,91.00,10.00
2026-04-16T04:19:00Z,91.00,10.00
2026-04-16T04:20:00Z,91.00,10.00
2026-04-16T04:23:00Z,91.00,10.00
2026-04-16T04:25:00Z,91.00,10.00
2026-04-16T04:27:00Z,91.00,10.00
2026-04-16T04:30:00Z,91.00,9.00
2026-04-16T04:40:00Z,91.00,10.00
2026-04-16T04:44:00Z,91.00,10.00
2026-04-16T04:45:00Z,91.00,10.00
2026-04-16T04:46:00Z,91.00,10.00
2026-04-16T04:47:00Z,91.00,10.00
2026-04-16T04:48:00Z,91.00,10.00
2026-04-16T04:49:00Z,91.00,10.00
2026-04-16T04:50:00Z,91.00,9.00
