# event_ticker=KXATPCHALLENGERMATCH-26JUN02REIBAR
# final_score=6-3 3-6 6-3
# score_resolution=3-6 6-3 3-6
# match_winner=Joao Lucas Reis Da Silva
# fav_player=Alex Barrena
# dog_player=Joao Lucas Reis Da Silva
# kalshi_date=2026-06-02
timestamp,Joao Lucas Reis Da Silva,Alex Barrena
2026-06-01T22:29:00Z,58.00,
2026-06-01T23:24:00Z,58.00,45.00
2026-06-02T01:48:00Z,57.00,45.00
2026-06-02T02:45:00Z,57.00,45.00
2026-06-02T03:16:00Z,57.00,45.00
2026-06-02T03:31:00Z,57.00,44.00
2026-06-02T05:18:00Z,57.00,44.00
2026-06-02T05:36:00Z,57.00,45.00
2026-06-02T05:40:00Z,57.00,45.00
2026-06-02T05:42:00Z,57.00,45.00
2026-06-02T06:31:00Z,57.00,45.00
2026-06-02T06:38:00Z,57.00,45.00
2026-06-02T06:49:00Z,57.00,45.00
2026-06-02T07:28:00Z,57.00,45.00
2026-06-02T08:58:00Z,57.00,44.00
2026-06-02T09:11:00Z,57.00,44.00
2026-06-02T09:33:00Z,57.00,44.00
2026-06-02T09:38:00Z,57.00,44.00
2026-06-02T09:41:00Z,56.00,44.00
2026-06-02T09:42:00Z,61.00,42.00
2026-06-02T09:43:00Z,61.00,42.00
2026-06-02T09:45:00Z,59.00,41.67
2026-06-02T09:46:00Z,65.00,35.19
2026-06-02T09:47:00Z,70.63,28.06
2026-06-02T09:50:00Z,70.63,24.00
2026-06-02T09:53:00Z,78.00,22.00
2026-06-02T09:55:00Z,75.00,22.00
2026-06-02T09:56:00Z,72.00,26.02
2026-06-02T09:57:00Z,73.00,26.02
2026-06-02T09:59:00Z,72.31,27.58
2026-06-02T10:00:00Z,72.31,26.01
2026-06-02T10:01:00Z,73.00,27.00
2026-06-02T10:02:00Z,72.02,28.26
2026-06-02T10:03:00Z,77.00,23.89
2026-06-02T10:04:00Z,80.00,20.00
2026-06-02T10:05:00Z,79.00,21.50
2026-06-02T10:06:00Z,79.00,22.00
2026-06-02T10:07:00Z,79.00,22.00
2026-06-02T10:08:00Z,76.00,22.00
2026-06-02T10:10:00Z,77.00,25.00
2026-06-02T10:11:00Z,78.50,25.00
2026-06-02T10:15:00Z,78.72,25.00
2026-06-02T10:16:00Z,79.00,25.00
2026-06-02T10:18:00Z,82.00,25.00
2026-06-02T10:20:00Z,82.00,20.00
2026-06-02T10:21:00Z,80.00,16.00
2026-06-02T10:22:00Z,84.00,16.00
2026-06-02T10:23:00Z,82.97,17.97
2026-06-02T10:24:00Z,83.99,16.00
2026-06-02T10:25:00Z,86.75,15.05
2026-06-02T10:26:00Z,84.00,19.00
2026-06-02T10:27:00Z,81.00,20.42
2026-06-02T10:28:00Z,81.00,19.00
2026-06-02T10:29:00Z,89.83,11.01
2026-06-02T10:30:00Z,91.00,11.01
2026-06-02T10:31:00Z,92.00,8.00
2026-06-02T10:32:00Z,93.00,6.00
2026-06-02T10:33:00Z,93.00,8.00
2026-06-02T10:34:00Z,92.02,8.89
2026-06-02T10:35:00Z,94.00,8.89
2026-06-02T10:36:00Z,94.98,8.89
2026-06-02T10:37:00Z,93.96,6.02
2026-06-02T10:38:00Z,90.97,9.00
2026-06-02T10:39:00Z,91.99,8.59
2026-06-02T10:40:00Z,91.00,9.31
2026-06-02T10:41:00Z,84.66,14.65
2026-06-02T10:42:00Z,82.91,16.26
2026-06-02T10:44:00Z,79.00,20.98
2026-06-02T10:45:00Z,77.64,22.98
2026-06-02T10:46:00Z,77.64,23.47
2026-06-02T10:47:00Z,74.60,25.87
2026-06-02T10:48:00Z,75.07,25.09
2026-06-02T10:50:00Z,79.43,21.66
2026-06-02T10:51:00Z,78.00,22.89
2026-06-02T10:52:00Z,76.31,25.01
2026-06-02T10:53:00Z,74.00,28.00
2026-06-02T10:54:00Z,73.75,27.03
2026-06-02T10:55:00Z,65.54,34.04
2026-06-02T10:56:00Z,68.39,32.65
2026-06-02T10:57:00Z,60.65,35.58
2026-06-02T10:58:00Z,55.54,44.89
2026-06-02T10:59:00Z,47.99,50.05
2026-06-02T11:00:00Z,49.00,52.43
2026-06-02T11:01:00Z,49.00,52.40
2026-06-02T11:02:00Z,49.00,51.07
2026-06-02T11:03:00Z,49.00,51.23
2026-06-02T11:04:00Z,49.00,52.00
2026-06-02T11:05:00Z,49.00,52.00
2026-06-02T11:06:00Z,50.00,50.31
2026-06-02T11:07:00Z,50.55,53.74
2026-06-02T11:08:00Z,47.29,56.68
2026-06-02T11:09:00Z,38.56,60.66
2026-06-02T11:10:00Z,33.74,70.07
2026-06-02T11:11:00Z,25.35,74.48
2026-06-02T11:12:00Z,29.60,75.00
2026-06-02T11:13:00Z,21.06,79.71
2026-06-02T11:14:00Z,18.53,79.90
2026-06-02T11:15:00Z,17.22,84.67
2026-06-02T11:16:00Z,17.12,85.53
2026-06-02T11:17:00Z,21.53,80.80
2026-06-02T11:18:00Z,23.36,76.85
2026-06-02T11:19:00Z,26.83,67.53
2026-06-02T11:20:00Z,43.19,58.32
2026-06-02T11:21:00Z,50.77,58.32
2026-06-02T11:22:00Z,51.20,49.00
2026-06-02T11:23:00Z,51.64,48.82
2026-06-02T11:24:00Z,57.77,44.73
2026-06-02T11:25:00Z,58.68,43.54
2026-06-02T11:26:00Z,60.93,39.64
2026-06-02T11:27:00Z,64.41,37.30
2026-06-02T11:28:00Z,57.82,41.63
2026-06-02T11:29:00Z,59.00,42.23
2026-06-02T11:30:00Z,63.86,36.08
2026-06-02T11:31:00Z,83.22,18.60
2026-06-02T11:32:00Z,86.98,14.95
2026-06-02T11:33:00Z,88.75,9.89
2026-06-02T11:34:00Z,88.31,15.05
2026-06-02T11:35:00Z,85.81,14.48
2026-06-02T11:36:00Z,90.37,10.61
2026-06-02T11:37:00Z,92.87,7.89
2026-06-02T11:38:00Z,89.95,9.80
2026-06-02T11:39:00Z,90.00,10.30
2026-06-02T11:40:00Z,89.56,17.08
2026-06-02T11:41:00Z,88.65,10.00
2026-06-02T11:42:00Z,97.54,3.64
2026-06-02T11:43:00Z,95.55,4.64
2026-06-02T11:44:00Z,98.96,1.16
2026-06-02T11:45:00Z,99.00,1.16
2026-06-02T11:46:00Z,99.00,1.16
2026-06-02T11:50:00Z,99.00,1.16
2026-06-02T11:52:00Z,99.00,1.16
