# event_ticker=KXATPCHALLENGERMATCH-26APR13ROYCEC
# final_score=6-2 1-6 6-4
# score_resolution=2-6 6-1 4-6
# match_winner=Valentin Royer
# fav_player=Marco Cecchinato
# dog_player=Valentin Royer
# kalshi_date=2026-04-13
timestamp,Marco Cecchinato,Valentin Royer
2026-04-13T02:36:00Z,39.00,
2026-04-13T03:20:00Z,39.00,64.00
2026-04-13T05:11:00Z,39.00,64.00
2026-04-13T05:31:00Z,36.00,64.00
2026-04-13T07:01:00Z,39.00,64.00
2026-04-13T07:19:00Z,39.00,64.00
2026-04-13T07:27:00Z,39.00,64.00
2026-04-13T08:44:00Z,38.00,64.00
2026-04-13T11:01:00Z,38.00,65.00
2026-04-13T11:06:00Z,38.00,65.00
2026-04-13T11:24:00Z,38.00,65.00
2026-04-13T11:30:00Z,38.00,65.00
2026-04-13T11:47:00Z,38.00,65.00
2026-04-13T12:46:00Z,38.00,65.00
2026-04-13T12:47:00Z,38.00,65.00
2026-04-13T13:03:00Z,38.00,65.00
2026-04-13T13:09:00Z,38.00,65.00
2026-04-13T13:10:00Z,38.00,65.00
2026-04-13T13:14:00Z,38.00,65.00
2026-04-13T13:17:00Z,38.00,65.88
2026-04-13T13:18:00Z,38.00,66.00
2026-04-13T13:30:00Z,38.00,65.00
2026-04-13T13:32:00Z,38.00,65.00
2026-04-13T13:34:00Z,38.00,65.00
2026-04-13T13:35:00Z,38.00,65.00
2026-04-13T13:36:00Z,38.00,65.00
2026-04-13T13:37:00Z,38.00,65.00
2026-04-13T13:38:00Z,38.00,65.00
2026-04-13T13:40:00Z,38.00,65.00
2026-04-13T13:41:00Z,37.00,65.15
2026-04-13T13:45:00Z,37.00,65.13
2026-04-13T13:47:00Z,38.00,65.00
2026-04-13T13:48:00Z,36.50,65.00
2026-04-13T13:49:00Z,38.00,65.00
2026-04-13T13:50:00Z,38.00,65.00
2026-04-13T13:51:00Z,38.00,65.00
2026-04-13T13:52:00Z,38.00,65.00
2026-04-13T13:53:00Z,29.66,69.87
2026-04-13T13:54:00Z,28.25,72.98
2026-04-13T13:55:00Z,29.00,76.89
2026-04-13T13:56:00Z,22.00,78.03
2026-04-13T13:57:00Z,21.10,80.52
2026-04-13T13:58:00Z,18.00,81.43
2026-04-13T13:59:00Z,19.00,83.05
2026-04-13T14:00:00Z,15.19,84.28
2026-04-13T14:01:00Z,15.19,81.37
2026-04-13T14:02:00Z,20.42,81.00
2026-04-13T14:03:00Z,20.00,81.00
2026-04-13T14:04:00Z,19.00,82.28
2026-04-13T14:05:00Z,18.00,81.04
2026-04-13T14:06:00Z,21.69,78.38
2026-04-13T14:07:00Z,21.83,79.39
2026-04-13T14:08:00Z,19.14,82.69
2026-04-13T14:09:00Z,17.78,83.29
2026-04-13T14:10:00Z,21.74,79.43
2026-04-13T14:11:00Z,21.74,77.79
2026-04-13T14:12:00Z,23.94,78.31
2026-04-13T14:13:00Z,24.85,75.61
2026-04-13T14:14:00Z,24.15,75.19
2026-04-13T14:15:00Z,24.15,79.35
2026-04-13T14:16:00Z,18.00,81.00
2026-04-13T14:17:00Z,18.62,80.38
2026-04-13T14:18:00Z,19.76,81.62
2026-04-13T14:19:00Z,17.72,82.39
2026-04-13T14:20:00Z,17.00,85.00
2026-04-13T14:21:00Z,14.00,86.07
2026-04-13T14:22:00Z,13.25,87.12
2026-04-13T14:23:00Z,13.05,87.70
2026-04-13T14:24:00Z,14.00,86.97
2026-04-13T14:25:00Z,13.21,88.90
2026-04-13T14:26:00Z,13.00,88.94
2026-04-13T14:27:00Z,13.00,89.00
2026-04-13T14:28:00Z,13.00,88.69
2026-04-13T14:29:00Z,12.00,89.00
2026-04-13T14:30:00Z,8.90,92.37
2026-04-13T14:31:00Z,7.70,93.75
2026-04-13T14:32:00Z,9.91,93.58
2026-04-13T14:33:00Z,12.08,88.77
2026-04-13T14:34:00Z,12.00,88.63
2026-04-13T14:35:00Z,14.46,87.01
2026-04-13T14:36:00Z,16.48,85.87
2026-04-13T14:37:00Z,15.69,85.53
2026-04-13T14:38:00Z,25.66,75.23
2026-04-13T14:39:00Z,29.09,73.01
2026-04-13T14:40:00Z,24.90,75.97
2026-04-13T14:41:00Z,26.40,73.16
2026-04-13T14:42:00Z,29.86,70.54
2026-04-13T14:43:00Z,30.00,70.30
2026-04-13T14:44:00Z,28.90,71.01
2026-04-13T14:45:00Z,28.46,71.97
2026-04-13T14:46:00Z,28.45,72.22
2026-04-13T14:47:00Z,33.07,67.24
2026-04-13T14:48:00Z,37.23,63.32
2026-04-13T14:49:00Z,37.86,61.23
2026-04-13T14:50:00Z,40.53,59.87
2026-04-13T14:51:00Z,37.17,62.58
2026-04-13T14:52:00Z,37.92,62.85
2026-04-13T14:53:00Z,39.97,62.30
2026-04-13T14:54:00Z,40.93,59.93
2026-04-13T14:55:00Z,41.39,59.72
2026-04-13T14:56:00Z,42.17,60.27
2026-04-13T14:57:00Z,39.83,60.29
2026-04-13T14:58:00Z,38.29,62.47
2026-04-13T14:59:00Z,37.77,62.09
2026-04-13T15:00:00Z,38.91,61.42
2026-04-13T15:01:00Z,38.50,61.00
2026-04-13T15:02:00Z,39.46,61.33
2026-04-13T15:03:00Z,40.72,61.87
2026-04-13T15:04:00Z,40.37,61.23
2026-04-13T15:05:00Z,40.22,62.00
2026-04-13T15:06:00Z,40.00,61.76
2026-04-13T15:07:00Z,37.82,63.93
2026-04-13T15:08:00Z,34.80,65.79
2026-04-13T15:09:00Z,35.81,66.02
2026-04-13T15:10:00Z,31.40,68.23
2026-04-13T15:11:00Z,31.71,67.87
2026-04-13T15:12:00Z,35.17,65.46
2026-04-13T15:13:00Z,27.59,78.08
2026-04-13T15:14:00Z,24.73,75.53
2026-04-13T15:15:00Z,14.93,87.54
2026-04-13T15:16:00Z,9.05,89.95
2026-04-13T15:17:00Z,10.08,90.10
2026-04-13T15:18:00Z,8.05,92.21
2026-04-13T15:19:00Z,9.00,92.28
2026-04-13T15:20:00Z,11.29,90.15
2026-04-13T15:21:00Z,11.57,89.57
2026-04-13T15:22:00Z,8.13,91.91
2026-04-13T15:23:00Z,6.37,93.97
