# event_ticker=KXATPMATCH-25OCT29CERKEC
# final_score=7-5 1-6 7-6(4)
# score_resolution=7-5 1-6 7-6
# match_winner=Francisco Cerundolo
# fav_player=Francisco Cerundolo
# dog_player=Miomir Kecmanovic
# kalshi_date=2025-10-29
timestamp,Francisco Cerundolo,Miomir Kecmanovic
2025-10-29T00:11:00Z,67.00,
2025-10-29T00:13:00Z,67.00,34.00
2025-10-29T00:32:00Z,67.00,34.00
2025-10-29T00:51:00Z,67.00,34.00
2025-10-29T01:50:00Z,67.00,34.00
2025-10-29T01:54:00Z,67.00,34.00
2025-10-29T01:56:00Z,67.00,34.00
2025-10-29T02:08:00Z,67.00,34.00
2025-10-29T02:27:00Z,67.00,34.00
2025-10-29T02:28:00Z,67.00,34.00
2025-10-29T02:39:00Z,67.00,34.00
2025-10-29T02:41:00Z,67.00,34.00
2025-10-29T02:43:00Z,67.00,34.00
2025-10-29T03:14:00Z,67.00,34.00
2025-10-29T03:25:00Z,67.00,34.00
2025-10-29T03:46:00Z,67.00,34.00
2025-10-29T04:25:00Z,67.00,34.00
2025-10-29T04:27:00Z,67.00,34.00
2025-10-29T04:41:00Z,67.00,34.00
2025-10-29T04:43:00Z,67.00,34.00
2025-10-29T04:45:00Z,67.00,34.00
2025-10-29T04:46:00Z,67.00,34.00
2025-10-29T04:53:00Z,67.00,34.00
2025-10-29T04:54:00Z,67.00,34.00
2025-10-29T05:16:00Z,68.00,34.00
2025-10-29T05:35:00Z,67.00,34.00
2025-10-29T05:36:00Z,68.00,34.00
2025-10-29T05:57:00Z,68.00,34.00
2025-10-29T06:10:00Z,68.00,34.00
2025-10-29T07:07:00Z,68.00,34.00
2025-10-29T07:10:00Z,68.00,34.00
2025-10-29T07:16:00Z,68.00,33.00
2025-10-29T07:20:00Z,68.00,33.00
2025-10-29T07:36:00Z,68.00,33.00
2025-10-29T07:39:00Z,68.00,33.00
2025-10-29T07:51:00Z,68.00,33.00
2025-10-29T07:59:00Z,68.00,33.00
2025-10-29T08:39:00Z,68.57,33.00
2025-10-29T08:45:00Z,69.00,33.00
2025-10-29T09:33:00Z,69.00,33.00
2025-10-29T09:36:00Z,69.00,33.00
2025-10-29T10:09:00Z,69.00,33.00
2025-10-29T10:12:00Z,69.00,33.00
2025-10-29T10:17:00Z,69.00,33.00
2025-10-29T10:48:00Z,69.00,33.00
2025-10-29T10:51:00Z,69.00,33.00
2025-10-29T10:54:00Z,69.00,33.00
2025-10-29T10:59:00Z,69.00,33.00
2025-10-29T11:06:00Z,69.00,33.00
2025-10-29T11:12:00Z,69.00,33.00
2025-10-29T11:20:00Z,69.00,33.00
2025-10-29T11:22:00Z,69.00,33.00
2025-10-29T11:27:00Z,69.00,33.00
2025-10-29T11:29:00Z,69.00,33.00
2025-10-29T11:37:00Z,69.00,33.00
2025-10-29T11:38:00Z,69.00,33.00
2025-10-29T11:39:00Z,69.00,33.00
2025-10-29T11:41:00Z,69.00,33.00
2025-10-29T11:42:00Z,69.00,33.00
2025-10-29T11:43:00Z,69.00,33.72
2025-10-29T11:44:00Z,69.00,34.00
2025-10-29T11:45:00Z,72.00,29.00
2025-10-29T11:46:00Z,77.60,25.97
2025-10-29T11:47:00Z,80.01,21.00
2025-10-29T11:48:00Z,80.01,20.33
2025-10-29T11:49:00Z,81.00,19.00
2025-10-29T11:50:00Z,82.80,18.80
2025-10-29T11:51:00Z,85.00,16.09
2025-10-29T11:52:00Z,83.30,17.14
2025-10-29T11:53:00Z,83.30,19.00
2025-10-29T11:54:00Z,80.00,19.00
2025-10-29T11:55:00Z,80.00,22.00
2025-10-29T11:56:00Z,80.00,20.00
2025-10-29T11:57:00Z,75.64,24.69
2025-10-29T11:58:00Z,66.91,33.03
2025-10-29T11:59:00Z,64.30,37.00
2025-10-29T12:00:00Z,64.30,38.00
2025-10-29T12:01:00Z,64.00,38.00
2025-10-29T12:02:00Z,63.00,36.01
2025-10-29T12:04:00Z,63.00,34.00
2025-10-29T12:06:00Z,71.77,29.98
2025-10-29T12:07:00Z,68.00,32.88
2025-10-29T12:08:00Z,63.00,38.62
2025-10-29T12:09:00Z,63.00,41.29
2025-10-29T12:10:00Z,61.00,37.22
2025-10-29T12:11:00Z,53.69,41.34
2025-10-29T12:12:00Z,50.07,50.71
2025-10-29T12:13:00Z,54.00,50.71
2025-10-29T12:14:00Z,55.77,46.00
2025-10-29T12:15:00Z,65.00,35.75
2025-10-29T12:16:00Z,65.00,38.68
2025-10-29T12:17:00Z,65.00,39.00
2025-10-29T12:18:00Z,65.00,41.68
2025-10-29T12:19:00Z,60.00,40.00
2025-10-29T12:21:00Z,60.00,37.00
2025-10-29T12:22:00Z,62.21,38.93
2025-10-29T12:23:00Z,63.94,40.97
2025-10-29T12:24:00Z,72.72,24.32
2025-10-29T12:25:00Z,81.00,19.15
2025-10-29T12:26:00Z,83.58,18.00
2025-10-29T12:27:00Z,84.00,18.00
2025-10-29T12:28:00Z,84.00,16.00
2025-10-29T12:29:00Z,86.00,15.14
2025-10-29T12:30:00Z,85.00,13.37
2025-10-29T12:31:00Z,82.00,24.55
2025-10-29T12:32:00Z,85.92,15.00
2025-10-29T12:33:00Z,79.93,27.17
2025-10-29T12:34:00Z,76.65,50.68
2025-10-29T12:35:00Z,78.85,50.68
2025-10-29T12:36:00Z,80.08,21.47
2025-10-29T12:37:00Z,71.56,30.84
2025-10-29T12:38:00Z,74.07,32.91
2025-10-29T12:39:00Z,76.07,20.97
2025-10-29T12:40:00Z,81.17,20.97
2025-10-29T12:41:00Z,81.17,24.00
2025-10-29T12:42:00Z,75.10,26.55
2025-10-29T12:43:00Z,75.10,25.35
2025-10-29T12:44:00Z,78.89,24.69
2025-10-29T12:45:00Z,78.89,26.97
2025-10-29T12:46:00Z,75.93,30.00
2025-10-29T12:47:00Z,74.19,32.84
2025-10-29T12:48:00Z,75.01,23.88
2025-10-29T12:49:00Z,80.60,19.55
2025-10-29T12:50:00Z,84.04,17.52
2025-10-29T12:51:00Z,87.65,15.39
2025-10-29T12:52:00Z,85.38,15.78
2025-10-29T12:53:00Z,82.82,17.66
2025-10-29T12:54:00Z,83.11,17.94
