# event_ticker=KXATPMATCH-25AUG08CORNAV
# final_score=6-3 7-5
# match_winner=Emilio Nava
# fav_player=Emilio Nava
# dog_player=Borna Coric
# kalshi_date=2025-08-08
timestamp,Emilio Nava,Borna Coric
2025-08-08T06:30:00Z,67.00,
2025-08-08T06:34:00Z,66.00,
2025-08-08T07:31:00Z,67.00,
2025-08-08T08:47:00Z,67.00,42.00
2025-08-08T11:34:00Z,67.00,39.00
2025-08-08T11:39:00Z,66.00,39.00
2025-08-08T11:41:00Z,66.00,39.00
2025-08-08T12:59:00Z,63.00,39.00
2025-08-08T13:00:00Z,63.00,39.00
2025-08-08T13:27:00Z,63.00,39.00
2025-08-08T13:37:00Z,63.00,39.00
2025-08-08T13:46:00Z,63.00,39.00
2025-08-08T13:47:00Z,63.00,39.00
2025-08-08T13:55:00Z,61.00,39.00
2025-08-08T14:00:00Z,61.00,39.00
2025-08-08T14:42:00Z,62.00,39.00
2025-08-08T14:46:00Z,63.00,39.00
2025-08-08T15:02:00Z,63.00,39.00
2025-08-08T15:20:00Z,63.00,40.00
2025-08-08T15:24:00Z,62.00,40.00
2025-08-08T15:36:00Z,62.00,40.00
2025-08-08T15:39:00Z,60.00,40.00
2025-08-08T15:57:00Z,60.00,40.87
2025-08-08T15:58:00Z,61.00,40.87
2025-08-08T16:06:00Z,61.00,40.87
2025-08-08T16:08:00Z,61.00,41.00
2025-08-08T16:14:00Z,61.00,41.00
2025-08-08T16:38:00Z,61.00,41.00
2025-08-08T17:06:00Z,63.00,41.00
2025-08-08T17:34:00Z,63.00,37.00
2025-08-08T17:37:00Z,63.00,37.00
2025-08-08T17:38:00Z,63.00,37.00
2025-08-08T17:39:00Z,63.00,37.00
2025-08-08T17:42:00Z,63.35,37.00
2025-08-08T17:46:00Z,63.35,37.00
2025-08-08T17:53:00Z,64.00,38.98
2025-08-08T17:54:00Z,64.00,39.00
2025-08-08T17:55:00Z,64.00,39.00
2025-08-08T17:59:00Z,64.00,39.00
2025-08-08T18:00:00Z,64.00,39.00
2025-08-08T18:02:00Z,64.00,40.68
2025-08-08T18:07:00Z,62.00,37.24
2025-08-08T18:09:00Z,62.00,40.00
2025-08-08T18:11:00Z,63.00,40.00
2025-08-08T18:12:00Z,63.00,38.00
2025-08-08T18:13:00Z,67.60,30.78
2025-08-08T18:14:00Z,72.00,29.00
2025-08-08T18:15:00Z,72.10,31.58
2025-08-08T18:16:00Z,76.46,23.50
2025-08-08T18:17:00Z,76.46,20.00
2025-08-08T18:18:00Z,76.46,20.00
2025-08-08T18:19:00Z,81.26,19.00
2025-08-08T18:20:00Z,84.00,17.10
2025-08-08T18:21:00Z,84.00,19.00
2025-08-08T18:22:00Z,84.00,18.00
