# event_ticker=KXATPCHALLENGERMATCH-26MAY12PRARIE
# final_score=6-7(5) 6-1 6-3
# score_resolution=6-7 6-1 6-3
# match_winner=Leandro Riedi
# fav_player=Leandro Riedi
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-05-12
timestamp,Juan Carlos Prado Angelo,Leandro Riedi
2026-05-12T02:07:00Z,33.00,
2026-05-12T02:29:00Z,33.00,69.00
2026-05-12T05:14:00Z,33.00,69.00
2026-05-12T05:30:00Z,32.00,69.00
2026-05-12T10:47:00Z,34.00,69.00
2026-05-12T12:01:00Z,34.00,69.00
2026-05-12T12:26:00Z,34.00,68.00
2026-05-12T12:40:00Z,34.72,68.00
2026-05-12T12:42:00Z,34.72,67.00
2026-05-12T12:47:00Z,34.72,67.00
2026-05-12T13:21:00Z,34.72,66.00
2026-05-12T13:22:00Z,35.00,66.00
2026-05-12T13:31:00Z,35.00,66.00
2026-05-12T13:44:00Z,35.00,66.00
2026-05-12T13:46:00Z,34.00,66.00
2026-05-12T13:55:00Z,33.01,66.40
2026-05-12T13:56:00Z,35.00,65.00
2026-05-12T13:57:00Z,39.06,65.00
2026-05-12T13:58:00Z,40.00,65.00
2026-05-12T14:00:00Z,44.18,58.00
2026-05-12T14:01:00Z,47.87,58.00
2026-05-12T14:02:00Z,49.88,51.86
2026-05-12T14:03:00Z,52.19,47.55
2026-05-12T14:04:00Z,52.24,49.15
2026-05-12T14:05:00Z,52.24,53.02
2026-05-12T14:06:00Z,51.43,50.33
2026-05-12T14:07:00Z,52.85,50.38
2026-05-12T14:08:00Z,44.01,57.18
2026-05-12T14:09:00Z,44.01,59.79
2026-05-12T14:10:00Z,44.01,60.00
2026-05-12T14:11:00Z,36.00,65.00
2026-05-12T14:13:00Z,36.00,62.61
2026-05-12T14:14:00Z,39.00,62.61
2026-05-12T14:15:00Z,41.00,62.61
2026-05-12T14:16:00Z,41.67,58.49
2026-05-12T14:17:00Z,45.88,56.41
2026-05-12T14:18:00Z,52.72,44.17
2026-05-12T14:19:00Z,56.50,43.39
2026-05-12T14:20:00Z,51.31,52.21
2026-05-12T14:21:00Z,45.99,53.00
2026-05-12T14:22:00Z,45.99,55.55
2026-05-12T14:23:00Z,45.99,58.00
2026-05-12T14:24:00Z,45.24,54.85
2026-05-12T14:25:00Z,43.01,57.00
2026-05-12T14:26:00Z,39.50,62.12
2026-05-12T14:27:00Z,39.28,61.00
2026-05-12T14:28:00Z,35.38,65.36
2026-05-12T14:29:00Z,34.57,66.47
2026-05-12T14:30:00Z,35.04,65.18
2026-05-12T14:31:00Z,39.89,59.87
2026-05-12T14:32:00Z,44.00,57.00
2026-05-12T14:33:00Z,48.13,53.19
2026-05-12T14:34:00Z,44.64,56.49
2026-05-12T14:35:00Z,44.00,55.47
2026-05-12T14:36:00Z,41.96,57.06
2026-05-12T14:37:00Z,36.57,61.00
2026-05-12T14:38:00Z,37.74,61.45
2026-05-12T14:39:00Z,43.27,61.35
2026-05-12T14:40:00Z,44.10,56.85
2026-05-12T14:41:00Z,46.00,56.00
2026-05-12T14:42:00Z,48.51,53.02
2026-05-12T14:43:00Z,44.17,57.31
2026-05-12T14:44:00Z,53.10,49.33
2026-05-12T14:45:00Z,41.43,58.33
2026-05-12T14:46:00Z,46.74,53.62
2026-05-12T14:47:00Z,51.85,52.05
2026-05-12T14:48:00Z,48.86,47.46
2026-05-12T14:49:00Z,45.82,54.10
2026-05-12T14:50:00Z,44.60,55.29
2026-05-12T14:51:00Z,43.83,55.19
2026-05-12T14:52:00Z,43.22,57.68
2026-05-12T14:53:00Z,47.57,45.35
2026-05-12T14:54:00Z,61.55,37.87
2026-05-12T14:55:00Z,63.48,37.00
2026-05-12T14:56:00Z,63.56,37.43
2026-05-12T14:57:00Z,63.88,37.42
2026-05-12T14:58:00Z,63.26,37.62
2026-05-12T14:59:00Z,62.02,38.00
2026-05-12T15:00:00Z,63.49,37.86
2026-05-12T15:01:00Z,59.92,40.27
2026-05-12T15:02:00Z,58.53,41.92
2026-05-12T15:03:00Z,56.73,45.10
2026-05-12T15:04:00Z,48.91,52.96
2026-05-12T15:05:00Z,48.09,53.32
2026-05-12T15:06:00Z,45.38,54.62
2026-05-12T15:07:00Z,41.72,57.67
2026-05-12T15:08:00Z,51.39,53.74
2026-05-12T15:09:00Z,53.22,45.72
2026-05-12T15:10:00Z,56.16,43.92
2026-05-12T15:11:00Z,57.16,46.77
2026-05-12T15:12:00Z,52.53,45.25
2026-05-12T15:13:00Z,47.04,52.48
2026-05-12T15:14:00Z,55.35,46.59
2026-05-12T15:15:00Z,50.70,53.18
2026-05-12T15:16:00Z,44.48,56.92
2026-05-12T15:17:00Z,43.71,56.81
2026-05-12T15:18:00Z,40.04,59.90
2026-05-12T15:19:00Z,38.84,59.40
2026-05-12T15:20:00Z,38.99,61.03
2026-05-12T15:21:00Z,36.73,63.63
2026-05-12T15:22:00Z,34.28,66.43
2026-05-12T15:23:00Z,34.00,66.26
2026-05-12T15:24:00Z,35.00,65.63
2026-05-12T15:25:00Z,32.97,66.47
2026-05-12T15:26:00Z,33.00,66.27
2026-05-12T15:27:00Z,33.00,67.99
2026-05-12T15:28:00Z,32.96,67.94
2026-05-12T15:29:00Z,32.92,67.92
2026-05-12T15:30:00Z,33.00,67.24
2026-05-12T15:31:00Z,32.08,67.49
2026-05-12T15:32:00Z,33.68,67.16
2026-05-12T15:33:00Z,33.96,67.22
2026-05-12T15:34:00Z,33.37,68.00
2026-05-12T15:35:00Z,35.93,66.88
2026-05-12T15:36:00Z,34.00,70.30
2026-05-12T15:37:00Z,19.21,79.99
2026-05-12T15:38:00Z,15.20,85.65
2026-05-12T15:39:00Z,18.61,81.18
2026-05-12T15:40:00Z,15.92,86.40
2026-05-12T15:41:00Z,13.43,89.15
2026-05-12T15:42:00Z,10.06,88.82
2026-05-12T15:43:00Z,14.45,86.85
2026-05-12T15:44:00Z,13.79,85.71
2026-05-12T15:45:00Z,15.34,84.94
2026-05-12T15:46:00Z,18.43,80.26
2026-05-12T15:47:00Z,19.81,83.02
2026-05-12T15:48:00Z,20.39,75.96
2026-05-12T15:49:00Z,25.00,74.52
2026-05-12T15:50:00Z,13.72,88.07
2026-05-12T15:51:00Z,11.31,88.22
2026-05-12T15:52:00Z,15.25,85.36
2026-05-12T15:53:00Z,15.74,84.33
2026-05-12T15:54:00Z,16.86,83.85
2026-05-12T15:55:00Z,17.00,81.07
2026-05-12T15:56:00Z,27.31,72.25
2026-05-12T15:57:00Z,37.41,58.89
2026-05-12T15:58:00Z,39.65,62.24
2026-05-12T15:59:00Z,26.41,71.81
2026-05-12T16:00:00Z,23.18,75.85
2026-05-12T16:01:00Z,18.73,79.24
2026-05-12T16:02:00Z,15.86,84.82
2026-05-12T16:03:00Z,17.08,87.87
2026-05-12T16:04:00Z,14.68,84.02
2026-05-12T16:05:00Z,10.86,92.27
2026-05-12T16:06:00Z,6.49,93.88
2026-05-12T16:07:00Z,5.77,94.91
2026-05-12T16:08:00Z,4.45,96.01
2026-05-12T16:09:00Z,4.93,96.64
2026-05-12T16:10:00Z,1.17,98.90
2026-05-12T16:11:00Z,1.17,99.00
2026-05-12T16:12:00Z,1.17,99.00
