# event_ticker=KXATPCHALLENGERMATCH-26MAR03GIUFEL
# final_score=6-3 6-3
# match_winner=Lorenzo Giustino
# fav_player=Lorenzo Giustino
# dog_player=Pietro Orlando Fellin
# kalshi_date=2026-03-03
timestamp,Lorenzo Giustino,Pietro Orlando Fellin
2026-03-02T22:49:00Z,65.00,
2026-03-02T23:19:00Z,68.00,
2026-03-03T00:19:00Z,65.00,
2026-03-03T00:40:00Z,68.00,
2026-03-03T00:41:00Z,69.00,
2026-03-03T01:16:00Z,68.00,35.00
2026-03-03T02:27:00Z,68.00,35.00
2026-03-03T02:32:00Z,68.00,35.00
2026-03-03T03:47:00Z,68.00,34.00
2026-03-03T04:01:00Z,68.00,34.00
2026-03-03T04:17:00Z,68.00,34.00
2026-03-03T04:31:00Z,68.00,34.00
2026-03-03T04:44:00Z,68.10,34.00
2026-03-03T04:54:00Z,69.00,34.00
2026-03-03T05:26:00Z,69.00,34.00
2026-03-03T05:58:00Z,65.00,34.00
2026-03-03T06:02:00Z,68.00,34.00
2026-03-03T06:21:00Z,68.00,34.00
2026-03-03T06:39:00Z,68.00,34.00
2026-03-03T06:40:00Z,69.00,34.00
2026-03-03T06:41:00Z,69.00,34.00
2026-03-03T06:43:00Z,69.00,35.00
2026-03-03T06:45:00Z,69.00,35.00
2026-03-03T08:31:00Z,68.00,35.00
2026-03-03T09:00:00Z,68.00,35.00
2026-03-03T09:08:00Z,68.00,34.00
2026-03-03T09:16:00Z,68.00,34.00
2026-03-03T09:37:00Z,68.00,34.00
2026-03-03T09:39:00Z,68.78,34.00
2026-03-03T09:42:00Z,68.00,34.00
2026-03-03T09:44:00Z,72.43,25.19
2026-03-03T09:45:00Z,75.00,25.19
2026-03-03T09:46:00Z,78.43,23.32
2026-03-03T09:47:00Z,71.99,25.58
2026-03-03T09:48:00Z,76.00,25.58
2026-03-03T09:49:00Z,74.37,27.00
2026-03-03T09:50:00Z,72.16,27.31
2026-03-03T09:52:00Z,72.20,27.82
2026-03-03T09:53:00Z,75.00,27.82
2026-03-03T09:54:00Z,79.36,21.58
2026-03-03T09:55:00Z,79.00,21.58
2026-03-03T09:56:00Z,77.93,24.00
2026-03-03T09:57:00Z,78.00,23.39
2026-03-03T09:58:00Z,76.00,24.49
2026-03-03T09:59:00Z,76.00,25.00
2026-03-03T10:00:00Z,73.00,28.00
2026-03-03T10:01:00Z,70.00,29.79
2026-03-03T10:02:00Z,71.54,29.06
2026-03-03T10:03:00Z,78.16,23.00
2026-03-03T10:04:00Z,80.00,20.00
2026-03-03T10:05:00Z,79.95,21.14
2026-03-03T10:06:00Z,76.94,22.00
2026-03-03T10:07:00Z,80.51,22.19
2026-03-03T10:08:00Z,79.57,19.59
2026-03-03T10:09:00Z,77.58,24.77
