# event_ticker=KXATPCHALLENGERMATCH-26APR22BICPOU
# final_score=6-4 6-4
# match_winner=Blaise Bicknell
# fav_player=Blaise Bicknell
# dog_player=Oskar Brostrom Poulsen
# kalshi_date=2026-04-22
timestamp,Blaise Bicknell,Oskar Brostrom Poulsen
2026-04-22T05:17:00Z,64.00,
2026-04-22T05:27:00Z,69.00,
2026-04-22T07:00:00Z,75.49,26.00
2026-04-22T10:08:00Z,73.00,26.00
2026-04-22T10:54:00Z,73.00,31.00
2026-04-22T11:42:00Z,70.00,31.00
2026-04-22T12:13:00Z,70.00,31.00
2026-04-22T12:38:00Z,70.00,31.00
2026-04-22T13:02:00Z,70.00,32.28
2026-04-22T13:23:00Z,71.00,32.28
2026-04-22T14:18:00Z,71.00,31.00
2026-04-22T15:13:00Z,70.00,31.00
2026-04-22T15:37:00Z,70.00,31.00
2026-04-22T16:29:00Z,69.00,31.00
2026-04-22T16:38:00Z,69.00,31.00
2026-04-22T16:40:00Z,69.00,31.00
2026-04-22T16:44:00Z,70.59,31.00
2026-04-22T16:46:00Z,68.05,31.00
2026-04-22T16:48:00Z,66.00,31.00
2026-04-22T16:49:00Z,67.00,33.00
2026-04-22T16:50:00Z,70.00,33.00
2026-04-22T16:51:00Z,69.97,33.00
2026-04-22T16:52:00Z,69.97,30.00
2026-04-22T16:54:00Z,66.00,35.00
2026-04-22T16:55:00Z,66.00,33.00
2026-04-22T16:56:00Z,66.00,32.50
2026-04-22T17:01:00Z,65.00,32.50
2026-04-22T17:02:00Z,62.62,38.53
2026-04-22T17:03:00Z,62.80,41.00
2026-04-22T17:06:00Z,69.00,41.00
2026-04-22T17:07:00Z,69.00,32.00
2026-04-22T17:08:00Z,69.00,32.02
2026-04-22T17:09:00Z,68.69,31.02
2026-04-22T17:11:00Z,64.00,38.00
2026-04-22T17:12:00Z,64.00,38.00
2026-04-22T17:14:00Z,64.00,38.00
2026-04-22T17:15:00Z,64.99,38.00
2026-04-22T17:16:00Z,60.51,40.68
2026-04-22T17:17:00Z,63.41,33.70
2026-04-22T17:19:00Z,68.98,31.03
2026-04-22T17:20:00Z,77.00,20.06
2026-04-22T17:21:00Z,77.20,22.00
2026-04-22T17:22:00Z,85.11,15.35
2026-04-22T17:24:00Z,87.00,15.35
2026-04-22T17:26:00Z,88.00,12.00
2026-04-22T17:27:00Z,89.00,11.00
2026-04-22T17:28:00Z,90.00,9.95
2026-04-22T17:29:00Z,89.44,9.07
2026-04-22T17:30:00Z,88.00,12.00
2026-04-22T17:31:00Z,88.58,13.00
2026-04-22T17:32:00Z,88.58,13.73
2026-04-22T17:33:00Z,87.00,14.00
2026-04-22T17:34:00Z,86.00,14.09
2026-04-22T17:35:00Z,86.72,17.06
2026-04-22T17:36:00Z,88.00,12.00
2026-04-22T17:37:00Z,88.00,12.00
2026-04-22T17:38:00Z,90.90,8.46
2026-04-22T17:39:00Z,90.00,10.00
2026-04-22T17:40:00Z,89.69,13.08
2026-04-22T17:41:00Z,88.00,12.66
2026-04-22T17:42:00Z,83.71,16.18
2026-04-22T17:43:00Z,86.74,16.18
2026-04-22T17:44:00Z,89.00,16.18
2026-04-22T17:45:00Z,89.00,13.00
2026-04-22T17:46:00Z,89.00,13.00
2026-04-22T17:47:00Z,89.00,12.00
2026-04-22T17:48:00Z,88.00,12.00
2026-04-22T17:49:00Z,87.00,12.00
2026-04-22T17:50:00Z,86.00,12.00
2026-04-22T17:51:00Z,85.00,14.83
2026-04-22T17:52:00Z,87.00,14.83
2026-04-22T17:53:00Z,88.00,13.00
2026-04-22T17:54:00Z,88.00,13.00
2026-04-22T17:55:00Z,87.00,13.00
2026-04-22T17:57:00Z,87.96,12.00
2026-04-22T17:58:00Z,88.00,12.39
2026-04-22T17:59:00Z,86.00,13.00
2026-04-22T18:00:00Z,86.00,14.00
2026-04-22T18:01:00Z,87.00,13.00
2026-04-22T18:02:00Z,89.00,13.00
2026-04-22T18:03:00Z,89.00,12.00
2026-04-22T18:04:00Z,92.60,9.00
2026-04-22T18:05:00Z,93.02,7.54
2026-04-22T18:06:00Z,91.44,7.16
2026-04-22T18:07:00Z,98.61,1.86
2026-04-22T18:08:00Z,99.00,1.86
