# event_ticker=KXATPCHALLENGERMATCH-26APR02DEMFOR
# final_score=6-1 7-6(2)
# score_resolution=6-1 7-6
# match_winner=Jonas Forejtek
# fav_player=Jonas Forejtek
# dog_player=Yaroslav Demin
# kalshi_date=2026-04-02
timestamp,Jonas Forejtek,Yaroslav Demin
2026-04-01T20:22:00Z,78.00,22.00
2026-04-01T20:48:00Z,81.00,22.00
2026-04-01T21:59:00Z,80.00,22.00
2026-04-02T00:44:00Z,80.00,22.00
2026-04-02T04:02:00Z,81.00,19.67
2026-04-02T04:16:00Z,81.00,21.00
2026-04-02T04:34:00Z,81.00,21.00
2026-04-02T04:35:00Z,81.00,21.81
2026-04-02T04:59:00Z,81.00,21.00
2026-04-02T05:22:00Z,78.00,21.00
2026-04-02T06:36:00Z,79.00,21.00
2026-04-02T06:41:00Z,79.00,20.00
2026-04-02T06:52:00Z,80.11,20.00
2026-04-02T09:01:00Z,83.58,17.57
2026-04-02T09:02:00Z,88.00,11.53
2026-04-02T09:03:00Z,92.00,16.05
2026-04-02T09:04:00Z,95.09,13.07
2026-04-02T09:05:00Z,93.29,9.08
2026-04-02T09:06:00Z,93.55,11.40
2026-04-02T09:07:00Z,95.28,8.31
2026-04-02T09:08:00Z,96.00,6.35
2026-04-02T09:09:00Z,94.02,7.94
2026-04-02T09:10:00Z,90.91,10.00
2026-04-02T09:11:00Z,91.03,11.78
2026-04-02T09:12:00Z,92.00,14.45
2026-04-02T09:13:00Z,92.58,8.96
2026-04-02T09:14:00Z,93.72,7.78
2026-04-02T09:15:00Z,92.71,9.83
2026-04-02T09:16:00Z,92.00,8.78
2026-04-02T09:17:00Z,92.00,10.83
2026-04-02T09:18:00Z,89.53,14.01
2026-04-02T09:19:00Z,89.99,11.67
2026-04-02T09:20:00Z,88.59,14.73
2026-04-02T09:21:00Z,83.58,14.83
2026-04-02T09:22:00Z,92.06,9.88
2026-04-02T09:23:00Z,94.10,13.28
2026-04-02T09:24:00Z,88.04,13.55
2026-04-02T09:25:00Z,85.35,18.54
2026-04-02T09:26:00Z,89.05,11.88
2026-04-02T09:27:00Z,92.38,9.41
2026-04-02T09:28:00Z,93.35,8.62
2026-04-02T09:29:00Z,93.06,9.64
2026-04-02T09:30:00Z,94.96,7.00
2026-04-02T09:31:00Z,98.25,1.98
2026-04-02T09:32:00Z,99.00,1.00
