# event_ticker=KXATPCHALLENGERMATCH-26MAY12COPBUT
# final_score=6-4 7-6(5)
# score_resolution=6-4 7-6
# match_winner=Kimmer Coppejans
# fav_player=Kimmer Coppejans
# dog_player=Edas Butvilas
# kalshi_date=2026-05-12
timestamp,Kimmer Coppejans,Edas Butvilas
2026-05-12T14:29:00Z,67.24,33.52
2026-05-12T14:30:00Z,67.00,34.06
2026-05-12T14:31:00Z,67.27,34.42
2026-05-12T14:32:00Z,65.18,33.49
2026-05-12T14:33:00Z,60.61,37.58
2026-05-12T14:34:00Z,60.89,39.53
2026-05-12T14:35:00Z,60.73,39.58
2026-05-12T14:36:00Z,65.57,36.95
2026-05-12T14:37:00Z,67.32,33.97
2026-05-12T14:38:00Z,69.99,31.97
2026-05-12T14:39:00Z,70.06,31.44
2026-05-12T14:40:00Z,67.30,34.98
2026-05-12T14:41:00Z,66.44,35.00
2026-05-12T14:42:00Z,68.04,33.89
2026-05-12T14:43:00Z,69.77,32.05
2026-05-12T14:44:00Z,70.33,30.09
2026-05-12T14:45:00Z,66.54,33.29
2026-05-12T14:46:00Z,64.61,34.65
2026-05-12T14:47:00Z,65.90,33.56
2026-05-12T14:48:00Z,68.82,32.00
2026-05-12T14:49:00Z,67.61,32.90
2026-05-12T14:50:00Z,67.00,34.08
2026-05-12T14:51:00Z,67.00,34.16
2026-05-12T14:52:00Z,67.58,34.95
2026-05-12T14:53:00Z,69.69,31.72
2026-05-12T14:54:00Z,70.77,31.70
2026-05-12T14:55:00Z,71.87,29.28
2026-05-12T14:56:00Z,72.60,29.09
2026-05-12T14:57:00Z,72.41,28.98
2026-05-12T14:58:00Z,72.49,29.59
2026-05-12T14:59:00Z,72.02,29.51
2026-05-12T15:00:00Z,73.29,26.30
2026-05-12T15:01:00Z,74.45,27.73
2026-05-12T15:02:00Z,70.11,30.87
2026-05-12T15:03:00Z,71.97,29.34
2026-05-12T15:04:00Z,81.92,19.36
2026-05-12T15:05:00Z,86.00,15.44
2026-05-12T15:06:00Z,84.04,16.63
2026-05-12T15:07:00Z,82.88,17.94
2026-05-12T15:08:00Z,79.01,22.03
2026-05-12T15:09:00Z,73.85,26.09
2026-05-12T15:10:00Z,80.25,21.30
2026-05-12T15:11:00Z,83.65,17.68
2026-05-12T15:12:00Z,80.43,19.59
2026-05-12T15:13:00Z,78.77,23.47
2026-05-12T15:14:00Z,75.55,25.94
2026-05-12T15:15:00Z,71.20,28.42
2026-05-12T15:16:00Z,70.65,30.61
2026-05-12T15:17:00Z,72.54,27.65
2026-05-12T15:18:00Z,73.32,27.70
2026-05-12T15:19:00Z,72.87,27.99
2026-05-12T15:20:00Z,72.13,28.00
2026-05-12T15:21:00Z,76.39,24.83
2026-05-12T15:22:00Z,79.47,19.34
2026-05-12T15:23:00Z,73.26,25.35
2026-05-12T15:24:00Z,68.00,31.97
2026-05-12T15:25:00Z,67.61,32.40
2026-05-12T15:26:00Z,66.13,35.08
2026-05-12T15:27:00Z,69.84,32.87
2026-05-12T15:28:00Z,71.93,28.01
2026-05-12T15:29:00Z,73.98,26.11
2026-05-12T15:30:00Z,73.11,27.23
2026-05-12T15:31:00Z,78.24,23.69
2026-05-12T15:32:00Z,81.66,21.37
2026-05-12T15:33:00Z,80.96,22.57
2026-05-12T15:34:00Z,73.76,26.90
2026-05-12T15:35:00Z,73.12,28.70
2026-05-12T15:36:00Z,77.44,21.72
2026-05-12T15:37:00Z,77.53,19.83
2026-05-12T15:38:00Z,77.36,27.46
2026-05-12T15:39:00Z,74.01,26.02
2026-05-12T15:40:00Z,74.85,25.15
2026-05-12T15:41:00Z,74.15,26.20
2026-05-12T15:42:00Z,77.26,24.22
2026-05-12T15:43:00Z,72.33,26.85
2026-05-12T15:44:00Z,71.07,29.01
2026-05-12T15:45:00Z,70.78,30.77
2026-05-12T15:46:00Z,62.36,37.08
2026-05-12T15:47:00Z,57.12,42.69
2026-05-12T15:48:00Z,67.03,36.87
2026-05-12T15:49:00Z,69.71,33.07
2026-05-12T15:50:00Z,67.90,36.99
2026-05-12T15:51:00Z,67.62,35.52
2026-05-12T15:52:00Z,54.89,48.82
2026-05-12T15:53:00Z,54.53,48.63
2026-05-12T15:54:00Z,61.03,39.22
2026-05-12T15:55:00Z,67.51,34.91
2026-05-12T15:56:00Z,68.04,31.17
2026-05-12T15:57:00Z,62.96,33.33
2026-05-12T15:58:00Z,63.57,35.95
2026-05-12T15:59:00Z,67.18,34.76
2026-05-12T16:00:00Z,76.86,23.32
2026-05-12T16:01:00Z,79.62,17.57
2026-05-12T16:02:00Z,75.05,24.46
2026-05-12T16:03:00Z,80.11,19.26
2026-05-12T16:04:00Z,82.58,19.48
2026-05-12T16:05:00Z,73.03,27.13
2026-05-12T16:06:00Z,70.80,29.99
2026-05-12T16:07:00Z,67.86,33.30
2026-05-12T16:08:00Z,70.39,29.80
2026-05-12T16:09:00Z,76.14,24.81
2026-05-12T16:10:00Z,74.70,28.06
2026-05-12T16:11:00Z,75.57,25.36
2026-05-12T16:12:00Z,80.90,20.47
2026-05-12T16:13:00Z,87.98,13.10
2026-05-12T16:14:00Z,87.81,13.72
2026-05-12T16:15:00Z,87.13,13.37
2026-05-12T16:16:00Z,88.35,12.63
2026-05-12T16:17:00Z,78.51,20.81
2026-05-12T16:18:00Z,83.86,17.25
2026-05-12T16:19:00Z,98.35,1.39
2026-05-12T16:20:00Z,99.00,1.39
2026-05-12T16:21:00Z,99.00,1.39
2026-05-12T16:22:00Z,99.00,1.39
