# event_ticker=KXATPCHALLENGERMATCH-26MAY26BARSHE
# final_score=6-4 6-1
# match_winner=Hynek Barton
# fav_player=Hynek Barton
# dog_player=Abdullah Shelbayh
# kalshi_date=2026-05-26
timestamp,Hynek Barton,Abdullah Shelbayh
2026-05-26T02:32:00Z,,29.00
2026-05-26T05:04:00Z,,29.00
2026-05-26T05:05:00Z,,29.00
2026-05-26T05:06:00Z,,29.00
2026-05-26T10:18:00Z,74.00,29.00
2026-05-26T12:12:00Z,75.00,28.00
2026-05-26T12:15:00Z,75.00,27.00
2026-05-26T12:29:00Z,74.00,27.00
2026-05-26T12:31:00Z,74.00,27.00
2026-05-26T12:40:00Z,76.00,27.00
2026-05-26T13:01:00Z,76.00,27.00
2026-05-26T13:22:00Z,77.00,27.00
2026-05-26T13:27:00Z,77.00,27.00
2026-05-26T13:36:00Z,77.00,27.00
2026-05-26T13:38:00Z,77.00,27.00
2026-05-26T13:43:00Z,77.00,26.05
2026-05-26T13:47:00Z,76.00,26.05
2026-05-26T13:50:00Z,76.00,24.00
2026-05-26T13:51:00Z,75.00,24.00
2026-05-26T13:52:00Z,75.00,27.00
2026-05-26T13:53:00Z,75.00,27.00
2026-05-26T13:54:00Z,74.00,27.00
2026-05-26T13:56:00Z,74.00,28.00
2026-05-26T14:00:00Z,70.00,32.00
2026-05-26T14:01:00Z,70.00,39.00
2026-05-26T14:02:00Z,68.00,30.00
2026-05-26T14:04:00Z,68.00,31.00
2026-05-26T14:06:00Z,73.00,28.00
2026-05-26T14:09:00Z,71.00,28.00
2026-05-26T14:10:00Z,71.00,30.00
2026-05-26T14:11:00Z,75.00,25.00
2026-05-26T14:12:00Z,78.33,21.67
2026-05-26T14:13:00Z,78.00,22.00
2026-05-26T14:14:00Z,78.00,22.90
2026-05-26T14:15:00Z,77.00,22.90
2026-05-26T14:16:00Z,77.00,22.85
2026-05-26T14:17:00Z,73.36,27.04
2026-05-26T14:18:00Z,78.49,21.06
2026-05-26T14:19:00Z,85.65,14.25
2026-05-26T14:20:00Z,87.00,14.25
2026-05-26T14:21:00Z,89.00,12.00
2026-05-26T14:22:00Z,89.00,10.00
2026-05-26T14:23:00Z,90.00,9.00
2026-05-26T14:24:00Z,90.00,11.00
2026-05-26T14:27:00Z,90.00,8.43
2026-05-26T14:28:00Z,90.44,9.69
2026-05-26T14:29:00Z,91.79,9.00
2026-05-26T14:30:00Z,90.00,10.00
2026-05-26T14:31:00Z,89.02,11.11
2026-05-26T14:32:00Z,88.00,11.11
2026-05-26T14:33:00Z,88.00,12.93
2026-05-26T14:34:00Z,89.00,12.00
2026-05-26T14:35:00Z,90.00,10.98
2026-05-26T14:36:00Z,91.72,9.00
2026-05-26T14:37:00Z,92.00,8.00
2026-05-26T14:38:00Z,91.00,9.46
2026-05-26T14:39:00Z,94.49,6.82
2026-05-26T14:40:00Z,95.17,5.00
2026-05-26T14:41:00Z,95.00,5.00
2026-05-26T14:42:00Z,95.39,5.00
2026-05-26T14:43:00Z,95.39,5.00
2026-05-26T14:44:00Z,96.82,3.02
2026-05-26T14:45:00Z,98.00,2.00
2026-05-26T14:46:00Z,98.89,2.00
2026-05-26T14:47:00Z,97.73,2.83
2026-05-26T14:48:00Z,98.65,1.28
2026-05-26T14:50:00Z,98.65,1.00
2026-05-26T14:52:00Z,98.65,1.00
2026-05-26T14:53:00Z,98.65,1.00
2026-05-26T14:54:00Z,99.00,1.00
