# event_ticker=KXATPMATCH-25OCT13GIRBEL
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Marcos Giron
# fav_player=Mattia Bellucci
# dog_player=Marcos Giron
# kalshi_date=2025-10-13
timestamp,Mattia Bellucci,Marcos Giron
2025-10-13T04:06:00Z,,59.00
2025-10-13T04:17:00Z,,58.00
2025-10-13T04:29:00Z,,58.00
2025-10-13T04:31:00Z,44.00,58.00
2025-10-13T04:36:00Z,44.00,58.00
2025-10-13T04:40:00Z,42.00,58.00
2025-10-13T05:09:00Z,44.00,58.00
2025-10-13T05:19:00Z,44.00,58.00
2025-10-13T05:24:00Z,44.00,58.00
2025-10-13T05:38:00Z,44.00,58.00
2025-10-13T05:46:00Z,44.00,58.00
2025-10-13T05:52:00Z,44.00,58.00
2025-10-13T06:18:00Z,44.00,57.00
2025-10-13T07:35:00Z,44.00,58.00
2025-10-13T07:42:00Z,44.00,58.00
2025-10-13T08:17:00Z,43.00,58.00
2025-10-13T08:23:00Z,43.00,58.00
2025-10-13T08:58:00Z,43.00,58.00
2025-10-13T09:08:00Z,43.00,58.00
2025-10-13T10:01:00Z,43.00,58.00
2025-10-13T10:09:00Z,43.00,58.00
2025-10-13T10:28:00Z,44.00,58.00
2025-10-13T10:31:00Z,44.00,56.00
2025-10-13T10:34:00Z,44.00,56.00
2025-10-13T10:38:00Z,44.00,56.00
2025-10-13T10:39:00Z,44.00,57.00
2025-10-13T10:50:00Z,44.00,56.00
2025-10-13T10:55:00Z,45.00,56.00
2025-10-13T10:58:00Z,45.00,56.00
2025-10-13T11:00:00Z,45.00,56.00
2025-10-13T11:03:00Z,45.00,56.00
2025-10-13T11:07:00Z,45.00,56.00
2025-10-13T11:21:00Z,45.00,56.00
2025-10-13T11:25:00Z,45.00,55.00
2025-10-13T11:28:00Z,45.00,56.00
2025-10-13T11:29:00Z,45.00,56.00
2025-10-13T11:40:00Z,45.00,56.00
2025-10-13T11:41:00Z,45.00,56.00
2025-10-13T11:42:00Z,45.00,56.00
2025-10-13T11:54:00Z,45.00,56.00
2025-10-13T11:59:00Z,45.00,56.72
2025-10-13T12:03:00Z,45.00,57.00
2025-10-13T12:09:00Z,45.00,57.00
2025-10-13T12:12:00Z,45.00,56.00
2025-10-13T12:14:00Z,45.00,57.00
2025-10-13T12:15:00Z,45.00,57.00
2025-10-13T12:18:00Z,45.00,57.00
2025-10-13T12:21:00Z,45.00,57.00
2025-10-13T12:22:00Z,45.00,57.00
2025-10-13T12:23:00Z,45.00,57.00
2025-10-13T12:27:00Z,45.00,57.00
2025-10-13T12:32:00Z,45.00,57.00
2025-10-13T12:34:00Z,45.00,57.00
2025-10-13T12:35:00Z,45.00,57.00
2025-10-13T12:37:00Z,45.00,57.00
2025-10-13T12:39:00Z,45.00,57.00
2025-10-13T12:41:00Z,45.00,57.00
2025-10-13T12:42:00Z,45.00,57.00
2025-10-13T12:44:00Z,45.00,57.00
2025-10-13T12:47:00Z,45.00,57.00
2025-10-13T12:48:00Z,45.00,57.00
2025-10-13T12:50:00Z,45.00,56.00
2025-10-13T12:51:00Z,45.00,56.00
2025-10-13T12:55:00Z,45.00,56.37
2025-10-13T12:56:00Z,43.78,56.00
2025-10-13T12:57:00Z,43.72,56.00
2025-10-13T12:59:00Z,43.00,58.00
2025-10-13T13:00:00Z,43.00,58.00
2025-10-13T13:02:00Z,43.00,58.00
2025-10-13T13:04:00Z,43.00,58.00
2025-10-13T13:06:00Z,43.00,58.00
2025-10-13T13:07:00Z,43.72,58.00
2025-10-13T13:09:00Z,43.72,58.00
2025-10-13T13:10:00Z,43.72,58.00
2025-10-13T13:11:00Z,43.72,58.00
2025-10-13T13:12:00Z,43.72,56.00
2025-10-13T13:16:00Z,43.72,58.00
2025-10-13T13:22:00Z,43.72,58.00
2025-10-13T13:24:00Z,43.72,58.00
2025-10-13T13:25:00Z,43.72,58.00
2025-10-13T13:26:00Z,43.72,58.00
2025-10-13T13:28:00Z,45.00,58.00
2025-10-13T13:29:00Z,45.00,57.00
2025-10-13T13:30:00Z,45.00,57.00
2025-10-13T13:32:00Z,45.00,57.00
2025-10-13T13:33:00Z,45.00,56.81
2025-10-13T13:34:00Z,45.00,58.00
2025-10-13T13:35:00Z,45.00,57.99
2025-10-13T13:36:00Z,44.18,57.99
2025-10-13T13:37:00Z,44.00,58.00
2025-10-13T13:38:00Z,44.00,58.00
2025-10-13T13:39:00Z,44.00,58.53
2025-10-13T13:41:00Z,48.84,58.36
2025-10-13T13:42:00Z,44.00,58.87
2025-10-13T13:43:00Z,41.68,61.56
2025-10-13T13:44:00Z,37.00,63.14
2025-10-13T13:45:00Z,41.54,67.00
2025-10-13T13:46:00Z,37.88,68.58
2025-10-13T13:47:00Z,28.06,74.16
2025-10-13T13:48:00Z,25.10,79.00
2025-10-13T13:49:00Z,26.95,75.72
2025-10-13T13:50:00Z,28.20,71.27
2025-10-13T13:51:00Z,27.94,73.36
2025-10-13T13:52:00Z,27.94,78.00
2025-10-13T13:53:00Z,22.00,78.00
2025-10-13T13:54:00Z,21.00,80.19
2025-10-13T13:55:00Z,23.93,78.89
2025-10-13T13:56:00Z,23.93,77.27
2025-10-13T13:57:00Z,28.00,78.71
2025-10-13T13:58:00Z,28.00,75.82
2025-10-13T13:59:00Z,23.00,75.24
2025-10-13T14:00:00Z,22.65,80.00
2025-10-13T14:01:00Z,22.65,81.34
