# event_ticker=KXATPCHALLENGERMATCH-26APR07DUTTAB
# final_score=7-5 7-6(4)
# score_resolution=5-7 6-7
# match_winner=Daniel Dutra da Silva
# fav_player=Clement Tabur
# dog_player=Daniel Dutra Da Silva
# kalshi_date=2026-04-07
timestamp,Clement Tabur,Daniel Dutra Da Silva
2026-04-07T21:34:00Z,86.00,14.84
2026-04-07T21:35:00Z,87.00,15.00
2026-04-07T21:36:00Z,87.00,14.00
2026-04-07T21:37:00Z,87.00,14.86
2026-04-07T21:38:00Z,83.85,17.88
2026-04-07T21:39:00Z,82.00,16.00
2026-04-07T21:40:00Z,77.86,22.77
2026-04-07T21:41:00Z,76.00,25.34
2026-04-07T21:42:00Z,75.12,23.47
2026-04-07T21:43:00Z,73.52,27.32
2026-04-07T21:44:00Z,69.00,30.80
2026-04-07T21:45:00Z,69.55,31.48
2026-04-07T21:46:00Z,71.00,29.75
2026-04-07T21:47:00Z,73.00,26.70
2026-04-07T21:48:00Z,71.67,27.82
2026-04-07T21:49:00Z,75.00,27.44
2026-04-07T21:50:00Z,74.12,23.46
2026-04-07T21:51:00Z,74.12,29.83
2026-04-07T21:52:00Z,74.37,31.02
2026-04-07T21:53:00Z,69.44,29.96
2026-04-07T21:54:00Z,66.95,33.24
2026-04-07T21:55:00Z,67.00,32.50
2026-04-07T21:56:00Z,66.79,35.03
2026-04-07T21:57:00Z,67.53,32.82
2026-04-07T21:58:00Z,70.54,29.65
2026-04-07T21:59:00Z,69.93,34.50
2026-04-07T22:00:00Z,74.04,27.75
2026-04-07T22:01:00Z,74.47,25.87
2026-04-07T22:02:00Z,69.01,32.06
2026-04-07T22:03:00Z,74.98,31.40
2026-04-07T22:04:00Z,68.38,32.04
2026-04-07T22:05:00Z,67.00,34.01
2026-04-07T22:06:00Z,56.55,44.43
2026-04-07T22:07:00Z,50.16,53.97
2026-04-07T22:08:00Z,44.83,55.47
2026-04-07T22:09:00Z,52.17,53.87
2026-04-07T22:10:00Z,51.11,49.04
2026-04-07T22:11:00Z,54.29,47.62
2026-04-07T22:12:00Z,52.15,50.39
2026-04-07T22:13:00Z,44.00,58.78
2026-04-07T22:14:00Z,44.89,54.17
2026-04-07T22:15:00Z,44.49,56.16
2026-04-07T22:16:00Z,45.06,55.60
2026-04-07T22:17:00Z,44.45,59.21
2026-04-07T22:18:00Z,42.48,60.49
2026-04-07T22:19:00Z,46.05,51.62
2026-04-07T22:20:00Z,50.38,51.98
2026-04-07T22:21:00Z,50.23,50.22
2026-04-07T22:22:00Z,55.10,47.97
2026-04-07T22:23:00Z,59.77,39.78
2026-04-07T22:24:00Z,65.20,34.76
2026-04-07T22:25:00Z,65.84,34.12
2026-04-07T22:26:00Z,67.97,34.51
2026-04-07T22:27:00Z,65.63,35.49
2026-04-07T22:28:00Z,69.54,31.29
2026-04-07T22:29:00Z,69.69,31.76
2026-04-07T22:30:00Z,69.02,29.78
2026-04-07T22:31:00Z,65.20,34.91
2026-04-07T22:32:00Z,65.28,34.96
2026-04-07T22:33:00Z,66.58,35.98
2026-04-07T22:34:00Z,67.89,34.20
2026-04-07T22:35:00Z,60.88,40.17
2026-04-07T22:36:00Z,62.73,40.71
2026-04-07T22:37:00Z,69.43,30.83
2026-04-07T22:38:00Z,71.49,25.88
2026-04-07T22:39:00Z,69.67,31.99
2026-04-07T22:40:00Z,68.08,30.78
2026-04-07T22:41:00Z,70.27,31.31
2026-04-07T22:42:00Z,66.99,32.63
2026-04-07T22:43:00Z,70.03,30.72
2026-04-07T22:44:00Z,66.11,33.54
2026-04-07T22:45:00Z,63.54,37.23
2026-04-07T22:46:00Z,64.10,37.42
2026-04-07T22:47:00Z,68.95,29.92
2026-04-07T22:48:00Z,72.65,25.81
2026-04-07T22:49:00Z,72.14,28.38
2026-04-07T22:50:00Z,69.59,30.51
2026-04-07T22:51:00Z,70.78,29.36
2026-04-07T22:52:00Z,70.51,30.04
2026-04-07T22:53:00Z,71.50,30.69
2026-04-07T22:54:00Z,69.50,31.49
2026-04-07T22:55:00Z,62.33,37.97
2026-04-07T22:56:00Z,53.34,43.95
2026-04-07T22:57:00Z,60.98,40.66
2026-04-07T22:58:00Z,62.12,41.81
2026-04-07T22:59:00Z,60.01,39.30
2026-04-07T23:00:00Z,60.77,40.85
2026-04-07T23:01:00Z,62.05,38.30
2026-04-07T23:02:00Z,57.84,44.85
2026-04-07T23:03:00Z,58.07,41.92
2026-04-07T23:04:00Z,65.14,36.45
2026-04-07T23:05:00Z,61.57,36.84
2026-04-07T23:06:00Z,49.05,49.95
2026-04-07T23:07:00Z,41.13,60.54
2026-04-07T23:08:00Z,32.59,67.45
2026-04-07T23:09:00Z,30.74,68.66
2026-04-07T23:10:00Z,30.77,69.31
2026-04-07T23:11:00Z,30.67,69.22
2026-04-07T23:12:00Z,35.18,66.09
2026-04-07T23:13:00Z,40.05,60.30
2026-04-07T23:14:00Z,39.17,57.93
2026-04-07T23:15:00Z,43.07,58.54
2026-04-07T23:16:00Z,42.97,60.21
2026-04-07T23:17:00Z,37.30,62.80
2026-04-07T23:18:00Z,46.44,53.88
2026-04-07T23:19:00Z,36.06,61.32
2026-04-07T23:20:00Z,21.50,78.03
2026-04-07T23:21:00Z,9.72,91.57
2026-04-07T23:22:00Z,4.82,95.32
2026-04-07T23:23:00Z,5.39,92.93
2026-04-07T23:24:00Z,4.45,98.57
2026-04-07T23:25:00Z,1.00,99.00
2026-04-07T23:26:00Z,1.00,99.00
2026-04-07T23:27:00Z,1.00,99.00
2026-04-07T23:28:00Z,1.00,99.00
2026-04-07T23:29:00Z,1.00,99.00
2026-04-07T23:30:00Z,1.00,99.00
2026-04-07T23:31:00Z,1.00,99.00
2026-04-07T23:32:00Z,1.00,99.00
2026-04-07T23:33:00Z,1.00,99.00
