# event_ticker=KXATPCHALLENGERMATCH-26APR06POLALU
# final_score=6-1 6-1
# match_winner=Marc Polmans
# fav_player=Marc Polmans
# dog_player=Rodrigo Alujas
# kalshi_date=2026-04-06
timestamp,Marc Polmans,Rodrigo Alujas
2026-04-06T12:54:00Z,78.00,
2026-04-06T12:58:00Z,87.77,
2026-04-06T13:34:00Z,87.77,23.00
2026-04-06T13:47:00Z,87.77,22.00
2026-04-06T13:48:00Z,87.77,21.00
2026-04-06T14:28:00Z,80.00,21.00
2026-04-06T14:41:00Z,80.00,21.00
2026-04-06T15:00:00Z,80.00,21.00
2026-04-06T15:04:00Z,80.00,21.00
2026-04-06T15:05:00Z,80.00,20.00
2026-04-06T15:09:00Z,82.00,20.00
2026-04-06T15:23:00Z,82.00,20.00
2026-04-06T16:01:00Z,83.00,20.00
2026-04-06T16:17:00Z,83.00,18.00
2026-04-06T16:44:00Z,83.00,18.00
2026-04-06T16:47:00Z,83.00,18.00
2026-04-06T17:01:00Z,83.00,18.00
2026-04-06T17:08:00Z,83.00,18.00
2026-04-06T17:09:00Z,83.00,21.00
2026-04-06T17:17:00Z,83.00,21.00
2026-04-06T17:55:00Z,83.00,17.00
2026-04-06T18:11:00Z,83.00,20.00
2026-04-06T19:04:00Z,83.00,20.00
2026-04-06T19:52:00Z,83.00,20.00
2026-04-06T20:05:00Z,83.00,20.00
2026-04-06T20:35:00Z,83.00,20.00
2026-04-06T20:42:00Z,83.00,20.00
2026-04-06T21:16:00Z,83.00,20.00
2026-04-06T21:22:00Z,83.00,20.00
2026-04-06T21:33:00Z,83.00,20.00
2026-04-06T21:38:00Z,83.00,20.00
2026-04-06T21:47:00Z,82.00,20.00
2026-04-06T21:53:00Z,83.00,20.00
2026-04-06T22:01:00Z,83.00,20.00
2026-04-06T22:04:00Z,83.00,20.00
2026-04-06T22:27:00Z,83.00,20.00
2026-04-06T22:35:00Z,83.00,20.00
2026-04-06T22:40:00Z,83.00,20.00
2026-04-06T22:45:00Z,83.00,20.00
2026-04-06T22:48:00Z,83.00,18.00
2026-04-06T22:57:00Z,83.00,18.00
2026-04-06T23:12:00Z,83.00,18.00
2026-04-06T23:19:00Z,83.00,18.00
2026-04-06T23:24:00Z,83.00,18.00
2026-04-06T23:32:00Z,83.00,18.00
2026-04-06T23:33:00Z,83.00,18.00
2026-04-06T23:35:00Z,83.00,18.00
2026-04-06T23:36:00Z,83.00,18.00
2026-04-06T23:37:00Z,84.92,18.00
