# event_ticker=KXATPCHALLENGERMATCH-26MAY13ARNGLI
# final_score=6-3 6-2
# match_winner=Gilles Arnaud Bailly
# fav_player=Gilles Arnaud Bailly
# dog_player=Daniil Glinka
# kalshi_date=2026-05-13
timestamp,Gilles Arnaud Bailly,Daniil Glinka
2026-05-12T22:07:00Z,,48.00
2026-05-12T22:09:00Z,54.93,48.00
2026-05-12T22:38:00Z,55.00,48.00
2026-05-12T22:39:00Z,55.00,48.00
2026-05-12T23:10:00Z,53.00,48.00
2026-05-13T00:34:00Z,53.00,49.00
2026-05-13T01:41:00Z,53.00,50.00
2026-05-13T02:29:00Z,53.00,49.00
2026-05-13T02:51:00Z,53.00,49.00
2026-05-13T03:03:00Z,53.00,48.00
2026-05-13T03:06:00Z,53.00,48.00
2026-05-13T03:20:00Z,53.36,48.00
2026-05-13T03:33:00Z,54.00,48.00
2026-05-13T03:37:00Z,54.00,46.00
2026-05-13T03:48:00Z,54.00,47.00
2026-05-13T03:51:00Z,54.00,47.00
2026-05-13T04:07:00Z,54.00,47.00
2026-05-13T04:49:00Z,55.00,47.00
2026-05-13T04:53:00Z,55.00,47.00
2026-05-13T04:55:00Z,55.00,47.00
2026-05-13T05:09:00Z,55.00,47.00
2026-05-13T05:10:00Z,55.00,47.00
2026-05-13T05:11:00Z,55.00,47.00
2026-05-13T05:12:00Z,55.00,47.00
2026-05-13T05:55:00Z,55.00,47.00
2026-05-13T05:57:00Z,55.00,47.00
2026-05-13T06:16:00Z,55.00,47.00
2026-05-13T06:41:00Z,54.00,47.00
2026-05-13T06:49:00Z,54.00,47.00
2026-05-13T07:15:00Z,54.00,47.00
2026-05-13T08:58:00Z,54.00,47.00
2026-05-13T09:00:00Z,54.00,46.00
2026-05-13T09:10:00Z,55.80,46.92
2026-05-13T09:11:00Z,57.00,45.00
2026-05-13T09:12:00Z,57.00,46.00
2026-05-13T09:13:00Z,57.00,45.32
2026-05-13T09:14:00Z,57.00,41.00
2026-05-13T09:15:00Z,57.00,45.00
2026-05-13T09:17:00Z,50.25,50.35
2026-05-13T09:18:00Z,50.25,56.91
2026-05-13T09:19:00Z,44.00,56.91
2026-05-13T09:20:00Z,42.25,60.00
2026-05-13T09:21:00Z,42.25,62.00
2026-05-13T09:22:00Z,43.68,57.83
2026-05-13T09:24:00Z,43.68,62.00
2026-05-13T09:25:00Z,43.00,62.96
2026-05-13T09:26:00Z,43.00,55.00
2026-05-13T09:27:00Z,44.00,55.00
2026-05-13T09:28:00Z,43.00,55.00
2026-05-13T09:29:00Z,49.15,51.52
2026-05-13T09:30:00Z,55.00,51.52
2026-05-13T09:31:00Z,55.00,44.06
2026-05-13T09:32:00Z,55.00,44.06
2026-05-13T09:33:00Z,55.00,43.00
2026-05-13T09:35:00Z,59.98,42.01
2026-05-13T09:36:00Z,63.28,37.28
2026-05-13T09:37:00Z,63.90,34.82
2026-05-13T09:38:00Z,62.17,36.41
2026-05-13T09:39:00Z,58.00,36.41
2026-05-13T09:40:00Z,64.68,35.55
2026-05-13T09:41:00Z,68.98,29.18
2026-05-13T09:42:00Z,74.00,26.00
2026-05-13T09:43:00Z,74.00,25.62
2026-05-13T09:44:00Z,70.00,30.00
2026-05-13T09:45:00Z,74.00,30.00
2026-05-13T09:46:00Z,74.00,25.00
2026-05-13T09:47:00Z,65.87,25.00
2026-05-13T09:49:00Z,63.00,38.00
2026-05-13T09:50:00Z,67.00,34.75
2026-05-13T09:52:00Z,78.00,34.75
2026-05-13T09:53:00Z,79.94,20.01
2026-05-13T09:54:00Z,82.00,19.00
2026-05-13T09:55:00Z,84.00,19.00
2026-05-13T09:56:00Z,84.00,19.00
2026-05-13T09:57:00Z,76.00,19.00
2026-05-13T09:58:00Z,76.71,19.00
2026-05-13T09:59:00Z,80.00,18.00
2026-05-13T10:00:00Z,80.00,18.00
