# event_ticker=KXATPCHALLENGERMATCH-26APR23JIAROM
# final_score=6-3 6-2
# match_winner=Filip Cristian Jianu
# fav_player=Filip Cristian Jianu
# dog_player=Filippo Romano
# kalshi_date=2026-04-23
timestamp,Filip Cristian Jianu,Filippo Romano
2026-04-23T02:11:00Z,,44.00
2026-04-23T02:14:00Z,,44.00
2026-04-23T03:02:00Z,56.00,44.00
2026-04-23T03:53:00Z,58.00,44.00
2026-04-23T04:54:00Z,58.00,43.00
2026-04-23T05:37:00Z,58.00,40.00
2026-04-23T06:52:00Z,60.00,40.00
2026-04-23T09:25:00Z,60.00,41.00
2026-04-23T09:46:00Z,60.00,41.00
2026-04-23T10:23:00Z,60.00,41.00
2026-04-23T11:08:00Z,57.00,42.00
2026-04-23T11:09:00Z,60.00,43.00
2026-04-23T11:12:00Z,60.00,43.00
2026-04-23T11:15:00Z,60.00,42.00
2026-04-23T11:17:00Z,60.00,44.00
2026-04-23T11:20:00Z,58.00,45.64
2026-04-23T11:24:00Z,63.00,45.64
2026-04-23T11:25:00Z,69.47,45.64
2026-04-23T11:26:00Z,73.88,45.64
2026-04-23T11:27:00Z,70.84,45.64
2026-04-23T11:28:00Z,77.00,45.64
2026-04-23T11:29:00Z,77.00,25.00
2026-04-23T11:30:00Z,84.69,25.00
2026-04-23T11:31:00Z,77.72,26.59
2026-04-23T11:32:00Z,74.94,26.59
2026-04-23T11:33:00Z,74.94,33.09
2026-04-23T11:34:00Z,74.05,23.76
2026-04-23T11:35:00Z,73.71,27.00
2026-04-23T11:36:00Z,75.00,27.00
2026-04-23T11:37:00Z,75.00,29.00
2026-04-23T11:39:00Z,75.00,34.89
2026-04-23T11:40:00Z,75.00,31.61
2026-04-23T11:41:00Z,77.00,31.61
2026-04-23T11:42:00Z,77.00,24.26
2026-04-23T11:43:00Z,76.00,25.00
2026-04-23T11:45:00Z,76.00,30.00
2026-04-23T11:46:00Z,73.91,31.00
2026-04-23T11:47:00Z,79.00,22.00
2026-04-23T11:48:00Z,78.00,24.00
2026-04-23T11:50:00Z,79.17,24.00
2026-04-23T11:51:00Z,81.12,17.29
2026-04-23T11:52:00Z,85.00,17.00
2026-04-23T11:53:00Z,85.00,16.99
2026-04-23T11:54:00Z,85.00,17.10
2026-04-23T11:55:00Z,81.00,18.10
2026-04-23T11:56:00Z,83.00,17.16
2026-04-23T11:57:00Z,80.86,18.84
2026-04-23T11:58:00Z,80.86,19.00
2026-04-23T11:59:00Z,84.00,19.00
2026-04-23T12:00:00Z,88.33,14.18
2026-04-23T12:01:00Z,90.25,9.95
2026-04-23T12:02:00Z,91.19,8.97
2026-04-23T12:03:00Z,89.30,9.00
2026-04-23T12:04:00Z,85.00,14.04
2026-04-23T12:05:00Z,91.13,14.04
2026-04-23T12:06:00Z,94.01,5.00
2026-04-23T12:07:00Z,96.00,3.65
2026-04-23T12:09:00Z,97.07,3.00
2026-04-23T12:10:00Z,98.00,2.00
2026-04-23T12:11:00Z,99.00,2.00
2026-04-23T12:12:00Z,98.85,1.00
2026-04-23T12:14:00Z,97.00,1.00
2026-04-23T12:15:00Z,97.00,1.00
2026-04-23T12:16:00Z,99.00,1.86
2026-04-23T12:17:00Z,99.00,1.00
2026-04-23T12:18:00Z,98.05,2.18
2026-04-23T12:19:00Z,98.00,2.00
2026-04-23T12:20:00Z,97.44,2.76
2026-04-23T12:21:00Z,96.97,3.04
2026-04-23T12:22:00Z,98.99,1.00
