# event_ticker=KXATPCHALLENGERMATCH-26MAR10GENBER
# final_score=2-6 6-4 6-2
# score_resolution=6-2 4-6 2-6
# match_winner=Tom Gentzsch
# fav_player=Jacopo Berrettini
# dog_player=Tom Gentzsch
# kalshi_date=2026-03-10
timestamp,Jacopo Berrettini,Tom Gentzsch
2026-03-10T04:53:00Z,,64.00
2026-03-10T05:02:00Z,,63.19
2026-03-10T05:12:00Z,,64.00
2026-03-10T05:41:00Z,,64.00
2026-03-10T06:12:00Z,,63.00
2026-03-10T06:13:00Z,,64.00
2026-03-10T06:44:00Z,,63.00
2026-03-10T07:14:00Z,37.00,63.00
2026-03-10T08:46:00Z,37.00,63.09
2026-03-10T09:27:00Z,38.00,63.09
2026-03-10T09:42:00Z,38.00,64.00
2026-03-10T10:33:00Z,38.00,65.00
2026-03-10T10:39:00Z,38.00,64.00
2026-03-10T10:58:00Z,38.00,65.00
2026-03-10T11:36:00Z,38.00,65.94
2026-03-10T12:09:00Z,38.00,66.00
2026-03-10T12:11:00Z,38.00,67.00
2026-03-10T12:19:00Z,38.00,67.00
2026-03-10T12:21:00Z,38.00,67.00
2026-03-10T12:31:00Z,38.00,67.00
2026-03-10T12:40:00Z,38.00,67.00
2026-03-10T12:42:00Z,38.00,67.00
2026-03-10T12:43:00Z,38.00,67.00
2026-03-10T12:46:00Z,38.00,67.00
2026-03-10T12:50:00Z,38.00,64.00
2026-03-10T12:51:00Z,38.00,64.00
2026-03-10T12:52:00Z,38.00,65.59
2026-03-10T12:55:00Z,31.00,65.59
2026-03-10T12:56:00Z,31.00,69.00
2026-03-10T12:57:00Z,31.00,67.00
2026-03-10T12:58:00Z,37.89,67.00
2026-03-10T13:00:00Z,37.57,63.41
2026-03-10T13:01:00Z,37.57,63.68
2026-03-10T13:02:00Z,39.50,62.00
2026-03-10T13:03:00Z,36.00,64.76
2026-03-10T13:04:00Z,36.00,66.18
2026-03-10T13:05:00Z,32.00,69.41
2026-03-10T13:06:00Z,33.64,68.00
2026-03-10T13:07:00Z,36.80,66.09
2026-03-10T13:08:00Z,36.80,61.00
2026-03-10T13:09:00Z,45.00,57.51
2026-03-10T13:10:00Z,48.96,51.56
2026-03-10T13:11:00Z,59.07,44.37
2026-03-10T13:12:00Z,59.07,43.99
2026-03-10T13:13:00Z,59.07,44.00
