# event_ticker=KXATPCHALLENGERMATCH-26FEB23ZARCAD
# final_score=6-2 3-6 7-5
# score_resolution=2-6 6-3 5-7
# match_winner=Gianluca Cadenasso
# fav_player=Carlos Maria Zarate
# dog_player=Gianluca Cadenasso
# kalshi_date=2026-02-23
timestamp,Carlos Maria Zarate,Gianluca Cadenasso
2026-02-23T05:01:00Z,45.00,71.00
2026-02-23T07:38:00Z,84.00,71.00
2026-02-23T10:44:00Z,84.00,81.00
2026-02-23T11:05:00Z,84.00,77.00
2026-02-23T11:06:00Z,24.00,76.00
2026-02-23T11:26:00Z,24.00,76.00
2026-02-23T11:36:00Z,24.00,76.00
2026-02-23T14:22:00Z,23.00,76.00
2026-02-23T14:40:00Z,23.00,76.00
2026-02-23T14:50:00Z,23.00,80.00
2026-02-23T15:22:00Z,23.00,80.00
2026-02-23T15:25:00Z,23.00,78.00
2026-02-23T15:26:00Z,23.00,78.00
2026-02-23T15:29:00Z,23.00,78.00
2026-02-23T15:40:00Z,23.00,78.00
2026-02-23T15:51:00Z,23.00,78.00
2026-02-23T15:52:00Z,23.00,78.00
2026-02-23T15:59:00Z,23.00,78.00
2026-02-23T16:00:00Z,23.00,78.00
2026-02-23T16:01:00Z,23.00,78.00
2026-02-23T16:05:00Z,23.00,78.00
2026-02-23T16:06:00Z,23.00,78.00
2026-02-23T16:11:00Z,23.00,78.00
2026-02-23T16:15:00Z,23.00,78.00
2026-02-23T16:23:00Z,23.00,78.00
2026-02-23T16:24:00Z,23.00,78.00
2026-02-23T16:25:00Z,22.99,78.00
2026-02-23T16:26:00Z,22.86,79.48
2026-02-23T16:27:00Z,22.00,79.48
2026-02-23T16:28:00Z,22.00,79.00
2026-02-23T16:29:00Z,22.94,79.00
2026-02-23T16:30:00Z,19.23,83.00
2026-02-23T16:31:00Z,18.39,85.00
2026-02-23T16:32:00Z,19.04,83.61
2026-02-23T16:33:00Z,21.27,81.88
2026-02-23T16:34:00Z,21.08,78.98
2026-02-23T16:35:00Z,18.15,78.98
2026-02-23T16:36:00Z,22.01,77.86
2026-02-23T16:37:00Z,23.98,77.86
2026-02-23T16:38:00Z,23.69,77.00
2026-02-23T16:39:00Z,20.06,77.21
2026-02-23T16:40:00Z,19.07,83.00
2026-02-23T16:41:00Z,15.65,82.34
2026-02-23T16:42:00Z,16.40,83.00
2026-02-23T16:43:00Z,16.87,85.99
2026-02-23T16:44:00Z,18.00,85.00
2026-02-23T16:45:00Z,18.08,84.07
2026-02-23T16:46:00Z,13.04,87.00
2026-02-23T16:47:00Z,12.77,88.00
2026-02-23T16:48:00Z,11.60,89.02
2026-02-23T16:49:00Z,10.49,89.00
2026-02-23T16:50:00Z,10.65,92.00
2026-02-23T16:51:00Z,9.68,92.00
2026-02-23T16:52:00Z,10.45,92.00
2026-02-23T16:53:00Z,12.17,89.00
2026-02-23T16:54:00Z,10.68,89.00
2026-02-23T16:55:00Z,12.00,89.00
2026-02-23T16:56:00Z,10.09,90.00
2026-02-23T16:57:00Z,8.96,91.00
2026-02-23T16:58:00Z,10.14,92.00
2026-02-23T16:59:00Z,10.21,91.55
2026-02-23T17:00:00Z,11.06,91.55
2026-02-23T17:01:00Z,11.08,91.00
2026-02-23T17:02:00Z,8.92,91.26
2026-02-23T17:03:00Z,8.19,92.00
2026-02-23T17:04:00Z,9.45,91.88
2026-02-23T17:05:00Z,9.44,91.49
2026-02-23T17:06:00Z,8.21,93.13
2026-02-23T17:07:00Z,8.36,94.43
2026-02-23T17:08:00Z,8.45,94.93
2026-02-23T17:09:00Z,7.73,94.28
2026-02-23T17:10:00Z,6.31,94.38
2026-02-23T17:11:00Z,6.34,93.09
2026-02-23T17:12:00Z,8.99,94.97
2026-02-23T17:13:00Z,5.99,94.89
2026-02-23T17:14:00Z,4.80,95.88
2026-02-23T17:15:00Z,6.28,96.68
2026-02-23T17:16:00Z,3.95,97.90
2026-02-23T17:17:00Z,4.19,98.00
2026-02-23T17:18:00Z,7.24,96.16
2026-02-23T17:19:00Z,9.24,95.37
2026-02-23T17:20:00Z,10.34,94.11
2026-02-23T17:21:00Z,9.89,95.45
2026-02-23T17:22:00Z,11.04,90.15
2026-02-23T17:23:00Z,13.18,89.01
2026-02-23T17:24:00Z,10.35,91.06
2026-02-23T17:25:00Z,14.39,88.63
2026-02-23T17:26:00Z,15.20,89.74
2026-02-23T17:27:00Z,12.41,89.04
2026-02-23T17:28:00Z,11.90,88.10
2026-02-23T17:29:00Z,10.20,90.04
2026-02-23T17:30:00Z,12.00,90.23
2026-02-23T17:31:00Z,10.55,91.76
2026-02-23T17:32:00Z,14.60,89.64
2026-02-23T17:33:00Z,16.65,86.52
2026-02-23T17:34:00Z,16.83,85.27
2026-02-23T17:35:00Z,19.16,86.29
2026-02-23T17:36:00Z,23.49,79.92
2026-02-23T17:37:00Z,23.83,77.23
2026-02-23T17:38:00Z,25.37,74.75
2026-02-23T17:39:00Z,24.18,76.13
2026-02-23T17:40:00Z,26.23,76.16
2026-02-23T17:41:00Z,25.86,76.00
2026-02-23T17:42:00Z,28.45,70.73
2026-02-23T17:43:00Z,30.52,73.54
2026-02-23T17:44:00Z,30.28,71.84
2026-02-23T17:45:00Z,29.17,71.00
2026-02-23T17:46:00Z,30.94,71.00
2026-02-23T17:47:00Z,29.60,71.00
2026-02-23T17:48:00Z,28.70,71.69
2026-02-23T17:49:00Z,30.30,71.37
2026-02-23T17:50:00Z,31.00,71.30
2026-02-23T17:51:00Z,31.36,71.00
2026-02-23T17:52:00Z,30.91,71.60
2026-02-23T17:53:00Z,29.25,76.41
2026-02-23T17:54:00Z,32.56,68.19
2026-02-23T17:55:00Z,45.14,56.96
2026-02-23T17:56:00Z,37.87,60.34
2026-02-23T17:57:00Z,41.18,57.73
2026-02-23T17:58:00Z,46.82,58.41
2026-02-23T17:59:00Z,51.10,52.07
2026-02-23T18:00:00Z,56.32,45.11
2026-02-23T18:01:00Z,62.18,37.71
2026-02-23T18:02:00Z,63.74,39.29
2026-02-23T18:03:00Z,60.24,41.88
2026-02-23T18:04:00Z,59.74,42.93
2026-02-23T18:05:00Z,59.47,43.00
2026-02-23T18:06:00Z,62.42,39.37
2026-02-23T18:07:00Z,67.00,36.82
2026-02-23T18:08:00Z,60.24,39.72
2026-02-23T18:09:00Z,67.14,36.75
2026-02-23T18:10:00Z,72.96,30.05
2026-02-23T18:11:00Z,75.48,27.97
2026-02-23T18:12:00Z,88.17,13.83
2026-02-23T18:13:00Z,91.84,5.70
2026-02-23T18:14:00Z,94.03,6.94
2026-02-23T18:15:00Z,94.33,6.34
2026-02-23T18:16:00Z,93.24,8.25
2026-02-23T18:17:00Z,89.27,14.23
2026-02-23T18:18:00Z,87.78,13.90
2026-02-23T18:19:00Z,78.48,21.96
2026-02-23T18:20:00Z,71.22,33.46
2026-02-23T18:21:00Z,63.47,38.88
2026-02-23T18:22:00Z,66.03,29.34
2026-02-23T18:23:00Z,67.04,34.26
2026-02-23T18:24:00Z,74.22,22.78
2026-02-23T18:25:00Z,74.94,29.30
2026-02-23T18:26:00Z,67.80,28.43
2026-02-23T18:27:00Z,39.60,56.85
2026-02-23T18:28:00Z,24.36,69.80
2026-02-23T18:29:00Z,18.13,82.24
2026-02-23T18:30:00Z,18.03,82.70
2026-02-23T18:31:00Z,19.37,79.83
2026-02-23T18:32:00Z,26.48,72.80
2026-02-23T18:33:00Z,31.71,67.59
2026-02-23T18:34:00Z,25.89,73.79
2026-02-23T18:35:00Z,19.53,80.75
2026-02-23T18:36:00Z,20.78,80.80
2026-02-23T18:37:00Z,15.57,84.58
2026-02-23T18:38:00Z,18.74,81.51
2026-02-23T18:39:00Z,21.77,77.99
2026-02-23T18:40:00Z,17.13,83.45
2026-02-23T18:41:00Z,5.43,95.47
2026-02-23T18:42:00Z,1.00,99.00
2026-02-23T18:43:00Z,1.00,99.00
2026-02-23T18:44:00Z,1.00,99.00
2026-02-23T18:45:00Z,1.00,99.00
2026-02-23T18:46:00Z,1.00,99.00
2026-02-23T18:47:00Z,1.00,99.00
