# event_ticker=KXATPCHALLENGERMATCH-26FEB19RONBUE
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Gonzalo Bueno
# fav_player=Franco Roncadelli
# dog_player=Gonzalo Bueno
# kalshi_date=2026-02-19
timestamp,Franco Roncadelli,Gonzalo Bueno
2026-02-19T01:51:00Z,,68.00
2026-02-19T03:16:00Z,,68.00
2026-02-19T03:43:00Z,,68.00
2026-02-19T05:06:00Z,,68.00
2026-02-19T05:14:00Z,,68.00
2026-02-19T05:20:00Z,,68.00
2026-02-19T05:40:00Z,,68.00
2026-02-19T05:49:00Z,36.00,68.00
2026-02-19T06:00:00Z,32.00,68.00
2026-02-19T06:11:00Z,32.00,68.00
2026-02-19T06:25:00Z,36.00,68.00
2026-02-19T06:26:00Z,36.00,67.00
2026-02-19T06:27:00Z,36.00,68.00
2026-02-19T06:38:00Z,36.00,68.00
2026-02-19T06:55:00Z,36.00,68.00
2026-02-19T07:01:00Z,36.00,68.00
2026-02-19T07:13:00Z,36.00,68.00
2026-02-19T07:24:00Z,36.00,68.00
2026-02-19T07:45:00Z,36.00,68.00
2026-02-19T10:02:00Z,32.00,68.00
2026-02-19T10:22:00Z,32.00,68.00
2026-02-19T10:25:00Z,32.00,68.00
2026-02-19T10:32:00Z,35.00,68.00
2026-02-19T10:51:00Z,35.00,68.00
2026-02-19T10:54:00Z,35.00,68.00
2026-02-19T11:39:00Z,35.00,68.00
2026-02-19T11:42:00Z,35.00,68.00
2026-02-19T11:46:00Z,35.00,68.00
2026-02-19T11:49:00Z,35.00,68.00
2026-02-19T11:53:00Z,35.00,68.00
2026-02-19T12:02:00Z,35.00,68.00
2026-02-19T12:03:00Z,35.00,68.00
2026-02-19T12:09:00Z,35.00,68.00
2026-02-19T12:10:00Z,35.00,68.00
2026-02-19T12:15:00Z,35.00,69.00
2026-02-19T12:23:00Z,35.00,69.00
2026-02-19T12:33:00Z,35.00,69.00
2026-02-19T12:34:00Z,35.00,69.00
2026-02-19T12:38:00Z,35.00,69.00
2026-02-19T12:45:00Z,35.00,69.00
2026-02-19T12:47:00Z,35.00,69.00
2026-02-19T12:49:00Z,35.00,69.00
2026-02-19T12:52:00Z,35.00,69.00
2026-02-19T12:57:00Z,35.00,69.00
2026-02-19T13:03:00Z,35.00,69.00
2026-02-19T13:08:00Z,35.00,70.40
2026-02-19T13:09:00Z,40.37,68.00
2026-02-19T13:10:00Z,37.00,69.61
2026-02-19T13:11:00Z,36.42,68.64
2026-02-19T13:12:00Z,36.42,69.59
2026-02-19T13:13:00Z,39.64,69.59
2026-02-19T13:14:00Z,34.19,73.46
2026-02-19T13:15:00Z,34.52,67.50
2026-02-19T13:16:00Z,34.33,68.05
2026-02-19T13:17:00Z,39.34,63.00
2026-02-19T13:18:00Z,38.00,63.00
2026-02-19T13:19:00Z,40.68,65.02
2026-02-19T13:20:00Z,45.00,58.36
2026-02-19T13:21:00Z,38.70,66.14
2026-02-19T13:22:00Z,37.49,64.21
2026-02-19T13:23:00Z,44.82,64.00
2026-02-19T13:24:00Z,42.05,60.11
2026-02-19T13:25:00Z,49.79,55.31
2026-02-19T13:26:00Z,47.33,55.40
2026-02-19T13:27:00Z,48.77,54.77
2026-02-19T13:28:00Z,48.65,48.65
2026-02-19T13:29:00Z,49.66,47.03
2026-02-19T13:30:00Z,47.89,65.00
2026-02-19T13:31:00Z,40.58,61.00
