# event_ticker=KXATPCHALLENGERMATCH-26FEB16DHANOG
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Rio Noguchi
# fav_player=Manas Dhamne
# dog_player=Rio Noguchi
# kalshi_date=2026-02-16
timestamp,Manas Dhamne,Rio Noguchi
2026-02-16T19:40:00Z,,55.00
2026-02-16T20:20:00Z,,55.00
2026-02-16T20:37:00Z,,55.00
2026-02-16T20:38:00Z,48.00,55.00
2026-02-16T20:39:00Z,45.00,55.00
2026-02-16T20:40:00Z,45.00,55.00
2026-02-16T21:01:00Z,45.00,55.00
2026-02-16T21:22:00Z,45.00,55.00
2026-02-16T21:42:00Z,45.00,55.00
2026-02-16T21:58:00Z,46.00,55.00
2026-02-16T22:01:00Z,48.00,55.00
2026-02-16T22:22:00Z,48.00,55.00
2026-02-16T22:23:00Z,48.00,55.00
2026-02-16T22:43:00Z,48.00,55.00
2026-02-16T22:55:00Z,48.00,55.00
2026-02-16T23:01:00Z,48.00,55.00
2026-02-16T23:02:00Z,48.00,55.00
2026-02-16T23:03:00Z,48.00,55.00
2026-02-16T23:04:00Z,48.00,55.00
2026-02-16T23:09:00Z,48.00,55.62
2026-02-16T23:11:00Z,48.00,55.00
2026-02-16T23:16:00Z,48.00,55.00
2026-02-16T23:20:00Z,47.00,55.00
2026-02-16T23:27:00Z,47.35,55.00
2026-02-16T23:47:00Z,49.00,55.00
2026-02-16T23:55:00Z,49.00,51.61
2026-02-16T23:59:00Z,49.00,51.61
2026-02-17T00:02:00Z,49.00,51.61
2026-02-17T00:06:00Z,48.00,51.61
2026-02-17T00:10:00Z,48.00,51.61
2026-02-17T00:12:00Z,48.00,54.00
2026-02-17T00:15:00Z,48.00,54.00
2026-02-17T00:20:00Z,48.00,54.00
2026-02-17T00:39:00Z,49.00,54.00
2026-02-17T00:45:00Z,49.00,53.26
2026-02-17T00:46:00Z,49.00,54.59
2026-02-17T00:47:00Z,49.00,54.00
2026-02-17T00:50:00Z,49.00,54.65
2026-02-17T00:54:00Z,49.00,55.00
2026-02-17T00:57:00Z,48.00,55.00
2026-02-17T01:08:00Z,48.52,55.00
2026-02-17T01:22:00Z,48.00,55.00
2026-02-17T01:24:00Z,48.00,55.00
2026-02-17T01:26:00Z,49.00,55.00
2026-02-17T01:27:00Z,45.89,55.00
2026-02-17T01:30:00Z,48.98,55.00
