# event_ticker=KXATPCHALLENGERMATCH-26MAY23ALCGAD
# final_score=2-6 6-1 6-1
# match_winner=Max Alcala Gurri
# fav_player=Max Alcala Gurri
# dog_player=Buvaysar Gadamauri
# kalshi_date=2026-05-23
timestamp,Max Alcala Gurri,Buvaysar Gadamauri
2026-05-23T03:21:00Z,,44.00
2026-05-23T03:35:00Z,,43.00
2026-05-23T03:36:00Z,60.00,43.00
2026-05-23T03:41:00Z,60.00,43.00
2026-05-23T03:48:00Z,60.00,43.00
2026-05-23T04:02:00Z,60.00,43.00
2026-05-23T04:18:00Z,60.00,42.00
2026-05-23T04:20:00Z,60.00,42.00
2026-05-23T04:27:00Z,60.00,43.00
2026-05-23T04:28:00Z,60.00,43.00
2026-05-23T04:30:00Z,60.00,43.00
2026-05-23T04:40:00Z,60.00,43.00
2026-05-23T04:42:00Z,60.00,43.00
2026-05-23T04:43:00Z,60.00,43.00
2026-05-23T04:50:00Z,60.00,44.00
2026-05-23T04:53:00Z,59.00,44.00
2026-05-23T04:59:00Z,60.00,44.00
2026-05-23T05:05:00Z,59.00,43.48
2026-05-23T05:10:00Z,60.00,43.48
2026-05-23T05:12:00Z,61.00,43.48
2026-05-23T05:20:00Z,61.00,42.00
2026-05-23T05:21:00Z,61.00,42.00
2026-05-23T05:22:00Z,61.00,42.00
2026-05-23T05:23:00Z,60.00,42.00
2026-05-23T05:25:00Z,60.00,42.00
2026-05-23T05:32:00Z,60.00,42.00
2026-05-23T05:44:00Z,60.00,42.00
2026-05-23T05:51:00Z,60.00,42.00
2026-05-23T05:59:00Z,60.00,42.00
2026-05-23T06:02:00Z,60.00,42.00
2026-05-23T06:21:00Z,60.00,42.00
2026-05-23T06:32:00Z,60.00,42.00
2026-05-23T06:42:00Z,60.00,42.05
2026-05-23T06:45:00Z,59.41,43.00
2026-05-23T06:50:00Z,60.00,43.00
2026-05-23T06:51:00Z,60.00,43.00
2026-05-23T06:57:00Z,58.00,43.00
2026-05-23T06:59:00Z,60.00,43.00
2026-05-23T07:00:00Z,60.00,42.00
2026-05-23T07:39:00Z,60.00,42.00
2026-05-23T07:42:00Z,60.00,42.00
2026-05-23T07:52:00Z,60.00,42.00
2026-05-23T07:53:00Z,60.00,42.00
2026-05-23T08:11:00Z,60.00,42.00
2026-05-23T08:13:00Z,60.00,42.00
2026-05-23T08:17:00Z,60.00,42.00
2026-05-23T08:37:00Z,59.00,42.00
2026-05-23T08:39:00Z,59.00,42.00
2026-05-23T08:45:00Z,59.00,42.00
2026-05-23T08:55:00Z,59.00,42.00
2026-05-23T09:30:00Z,59.00,42.00
2026-05-23T09:42:00Z,59.00,42.00
2026-05-23T09:45:00Z,59.00,42.00
