# event_ticker=KXATPCHALLENGERMATCH-26MAY26BERECH
# final_score=6-2 3-6 6-3
# match_winner=Remy Bertola
# fav_player=Remy Bertola
# dog_player=Moez Echargui
# kalshi_date=2026-05-26
timestamp,Remy Bertola,Moez Echargui
2026-05-26T02:32:00Z,,37.00
2026-05-26T04:10:00Z,64.82,37.00
2026-05-26T06:47:00Z,65.00,37.00
2026-05-26T07:20:00Z,64.00,37.00
2026-05-26T07:30:00Z,64.00,37.00
2026-05-26T08:11:00Z,64.00,37.00
2026-05-26T08:21:00Z,64.00,37.00
2026-05-26T08:39:00Z,64.00,38.00
2026-05-26T08:43:00Z,64.00,37.00
2026-05-26T08:44:00Z,65.00,35.00
2026-05-26T08:45:00Z,74.00,29.00
2026-05-26T08:46:00Z,76.00,23.00
2026-05-26T08:47:00Z,80.46,23.00
2026-05-26T08:48:00Z,80.46,21.00
2026-05-26T08:49:00Z,79.00,21.00
2026-05-26T08:50:00Z,81.00,21.00
2026-05-26T08:51:00Z,84.04,21.00
2026-05-26T08:52:00Z,86.00,14.12
2026-05-26T08:54:00Z,88.27,12.00
2026-05-26T08:55:00Z,89.00,11.26
2026-05-26T08:56:00Z,90.00,11.85
2026-05-26T08:57:00Z,89.00,11.85
2026-05-26T08:58:00Z,90.00,11.85
2026-05-26T08:59:00Z,90.00,11.00
2026-05-26T09:00:00Z,88.00,12.00
2026-05-26T09:01:00Z,88.00,12.00
2026-05-26T09:02:00Z,88.00,12.00
2026-05-26T09:03:00Z,88.00,12.00
2026-05-26T09:04:00Z,86.01,13.54
2026-05-26T09:05:00Z,87.00,13.00
2026-05-26T09:07:00Z,88.00,13.00
2026-05-26T09:08:00Z,88.00,11.00
2026-05-26T09:10:00Z,88.00,13.00
2026-05-26T09:13:00Z,88.00,12.00
2026-05-26T09:14:00Z,88.00,12.00
2026-05-26T09:16:00Z,88.00,13.00
2026-05-26T09:17:00Z,89.00,13.00
2026-05-26T09:19:00Z,89.00,13.00
2026-05-26T09:20:00Z,89.00,15.74
2026-05-26T09:21:00Z,84.08,17.00
2026-05-26T09:22:00Z,84.08,14.06
2026-05-26T09:23:00Z,85.50,14.06
2026-05-26T09:24:00Z,88.00,12.00
2026-05-26T09:25:00Z,88.00,14.00
2026-05-26T09:26:00Z,85.00,16.00
2026-05-26T09:27:00Z,84.00,16.00
2026-05-26T09:28:00Z,84.00,16.00
2026-05-26T09:29:00Z,80.93,19.12
2026-05-26T09:30:00Z,85.50,14.00
2026-05-26T09:31:00Z,86.00,14.00
2026-05-26T09:32:00Z,86.00,14.03
2026-05-26T09:33:00Z,86.00,17.00
2026-05-26T09:35:00Z,83.00,17.00
2026-05-26T09:36:00Z,82.70,20.67
2026-05-26T09:37:00Z,85.00,20.67
2026-05-26T09:39:00Z,87.00,14.00
2026-05-26T09:40:00Z,87.36,14.82
2026-05-26T09:41:00Z,88.98,14.82
2026-05-26T09:42:00Z,85.83,15.98
2026-05-26T09:43:00Z,83.00,15.98
2026-05-26T09:44:00Z,82.00,18.00
2026-05-26T09:45:00Z,77.17,21.87
2026-05-26T09:46:00Z,77.95,22.78
2026-05-26T09:47:00Z,70.00,27.39
2026-05-26T09:48:00Z,64.42,34.93
2026-05-26T09:49:00Z,64.42,37.67
2026-05-26T09:50:00Z,61.00,38.39
2026-05-26T09:51:00Z,61.00,40.00
2026-05-26T09:52:00Z,60.95,40.00
2026-05-26T09:53:00Z,61.00,40.00
2026-05-26T09:54:00Z,61.83,39.81
2026-05-26T09:55:00Z,62.00,39.00
2026-05-26T09:56:00Z,62.00,39.00
2026-05-26T09:57:00Z,62.64,40.50
2026-05-26T09:58:00Z,63.52,39.10
2026-05-26T09:59:00Z,62.60,33.39
2026-05-26T10:00:00Z,66.20,34.42
2026-05-26T10:01:00Z,64.27,34.17
2026-05-26T10:02:00Z,77.41,22.77
2026-05-26T10:03:00Z,85.24,14.00
2026-05-26T10:04:00Z,89.00,11.00
2026-05-26T10:05:00Z,89.76,14.00
2026-05-26T10:06:00Z,89.03,14.37
2026-05-26T10:07:00Z,91.00,10.00
2026-05-26T10:08:00Z,90.01,10.00
2026-05-26T10:09:00Z,89.96,12.00
2026-05-26T10:10:00Z,89.53,13.00
2026-05-26T10:11:00Z,89.53,12.00
2026-05-26T10:12:00Z,87.86,12.95
2026-05-26T10:13:00Z,91.79,14.36
2026-05-26T10:14:00Z,91.41,8.42
2026-05-26T10:15:00Z,92.06,7.77
2026-05-26T10:16:00Z,94.34,4.39
2026-05-26T10:17:00Z,96.74,4.28
2026-05-26T10:18:00Z,95.00,6.83
2026-05-26T10:19:00Z,94.00,5.00
2026-05-26T10:20:00Z,95.51,5.24
2026-05-26T10:21:00Z,92.22,8.00
2026-05-26T10:22:00Z,91.00,10.00
2026-05-26T10:23:00Z,92.61,9.92
2026-05-26T10:24:00Z,95.00,9.92
2026-05-26T10:25:00Z,96.00,4.00
2026-05-26T10:26:00Z,96.00,5.00
2026-05-26T10:27:00Z,94.27,6.00
2026-05-26T10:28:00Z,94.63,6.00
2026-05-26T10:29:00Z,92.14,7.05
2026-05-26T10:30:00Z,93.67,8.69
2026-05-26T10:31:00Z,91.72,12.06
2026-05-26T10:32:00Z,97.41,1.70
2026-05-26T10:33:00Z,99.00,1.70
2026-05-26T10:34:00Z,99.00,1.70
2026-05-26T10:36:00Z,99.00,1.00
