# event_ticker=KXATPCHALLENGERMATCH-26MAR09ERHMAR
# final_score=6-7(5) 6-1 6-3
# score_resolution=6-7 6-1 6-3
# match_winner=Andrej Martin
# fav_player=Andrej Martin
# dog_player=Mathys Erhard
# kalshi_date=2026-03-09
timestamp,Andrej Martin,Mathys Erhard
2026-03-09T04:12:00Z,,60.00
2026-03-09T05:03:00Z,42.00,60.00
2026-03-09T05:11:00Z,42.00,61.00
2026-03-09T05:16:00Z,42.00,61.00
2026-03-09T05:18:00Z,42.00,61.00
2026-03-09T05:40:00Z,42.99,61.00
2026-03-09T05:57:00Z,40.00,61.00
2026-03-09T07:41:00Z,43.00,61.00
2026-03-09T08:32:00Z,43.00,59.00
2026-03-09T09:26:00Z,42.00,59.00
2026-03-09T09:31:00Z,42.00,58.00
2026-03-09T09:39:00Z,42.00,58.00
2026-03-09T09:42:00Z,42.00,58.00
2026-03-09T09:51:00Z,42.00,58.00
2026-03-09T09:56:00Z,42.00,56.00
2026-03-09T10:01:00Z,42.00,58.00
2026-03-09T10:05:00Z,45.00,58.00
2026-03-09T10:39:00Z,45.00,58.00
2026-03-09T10:42:00Z,45.00,55.00
2026-03-09T10:48:00Z,45.00,58.00
2026-03-09T10:53:00Z,45.00,59.00
2026-03-09T10:55:00Z,44.00,59.00
2026-03-09T10:59:00Z,44.00,59.00
2026-03-09T11:00:00Z,44.00,59.00
2026-03-09T11:01:00Z,45.00,59.00
2026-03-09T11:02:00Z,45.00,59.00
2026-03-09T11:03:00Z,44.11,59.00
2026-03-09T11:04:00Z,50.00,58.79
2026-03-09T11:05:00Z,49.44,52.84
2026-03-09T11:06:00Z,43.90,58.47
2026-03-09T11:07:00Z,39.78,62.00
2026-03-09T11:08:00Z,42.77,62.22
2026-03-09T11:09:00Z,44.42,56.60
2026-03-09T11:10:00Z,47.36,57.00
2026-03-09T11:11:00Z,47.89,52.75
2026-03-09T11:12:00Z,54.67,49.00
2026-03-09T11:13:00Z,51.82,50.75
2026-03-09T11:14:00Z,44.05,50.75
2026-03-09T11:15:00Z,44.05,59.31
2026-03-09T11:16:00Z,43.53,59.12
2026-03-09T11:17:00Z,46.00,57.13
2026-03-09T11:18:00Z,47.00,56.05
2026-03-09T11:19:00Z,51.85,48.11
2026-03-09T11:20:00Z,58.65,44.16
2026-03-09T11:21:00Z,46.75,51.45
2026-03-09T11:22:00Z,45.00,55.32
2026-03-09T11:23:00Z,45.88,58.67
2026-03-09T11:24:00Z,42.06,58.59
2026-03-09T11:25:00Z,48.53,53.73
2026-03-09T11:26:00Z,51.78,50.42
2026-03-09T11:27:00Z,51.49,50.13
2026-03-09T11:28:00Z,51.49,50.61
2026-03-09T11:29:00Z,50.36,47.33
2026-03-09T11:30:00Z,48.00,53.00
2026-03-09T11:31:00Z,49.25,56.82
2026-03-09T11:32:00Z,44.32,54.31
2026-03-09T11:33:00Z,45.24,58.37
2026-03-09T11:34:00Z,51.01,50.53
2026-03-09T11:35:00Z,50.39,48.00
2026-03-09T11:36:00Z,47.94,53.88
2026-03-09T11:37:00Z,47.47,55.00
2026-03-09T11:38:00Z,42.08,66.84
2026-03-09T11:39:00Z,38.34,65.07
2026-03-09T11:40:00Z,48.68,53.97
