# event_ticker=KXATPCHALLENGERMATCH-26APR08GUEBEL
# final_score=6-3 6-4
# match_winner=Mattia Bellucci
# fav_player=Mattia Bellucci
# dog_player=Andrea Guerrieri
# kalshi_date=2026-04-08
timestamp,Mattia Bellucci,Andrea Guerrieri
2026-04-08T00:37:00Z,75.00,
2026-04-08T00:46:00Z,75.00,
2026-04-08T02:03:00Z,75.00,27.00
2026-04-08T02:52:00Z,75.00,27.00
2026-04-08T03:23:00Z,73.29,27.00
2026-04-08T03:44:00Z,73.29,27.00
2026-04-08T04:08:00Z,73.29,27.00
2026-04-08T04:21:00Z,75.00,27.00
2026-04-08T04:56:00Z,72.12,27.00
2026-04-08T04:58:00Z,74.00,27.00
2026-04-08T05:36:00Z,74.00,27.00
2026-04-08T05:52:00Z,74.00,27.00
2026-04-08T06:04:00Z,74.00,27.00
2026-04-08T06:05:00Z,74.00,27.00
2026-04-08T06:10:00Z,74.00,27.00
2026-04-08T06:35:00Z,74.00,27.00
2026-04-08T06:54:00Z,74.00,27.00
2026-04-08T06:57:00Z,74.99,27.00
2026-04-08T07:12:00Z,75.02,27.00
2026-04-08T07:18:00Z,75.02,26.00
2026-04-08T07:53:00Z,75.00,26.00
2026-04-08T07:55:00Z,75.00,26.00
2026-04-08T08:21:00Z,75.00,26.00
2026-04-08T08:38:00Z,75.00,26.00
2026-04-08T09:21:00Z,75.00,26.00
2026-04-08T09:31:00Z,75.00,25.00
2026-04-08T09:43:00Z,75.00,26.00
2026-04-08T10:08:00Z,75.00,26.00
2026-04-08T10:31:00Z,75.00,26.00
2026-04-08T10:36:00Z,75.00,26.00
2026-04-08T10:45:00Z,75.00,26.00
2026-04-08T10:48:00Z,75.00,26.00
2026-04-08T10:49:00Z,75.00,26.00
2026-04-08T10:52:00Z,75.00,26.00
2026-04-08T10:57:00Z,75.00,26.00
2026-04-08T11:09:00Z,75.00,26.00
2026-04-08T11:21:00Z,75.00,26.00
2026-04-08T11:23:00Z,75.00,26.00
2026-04-08T11:25:00Z,75.00,26.00
2026-04-08T11:28:00Z,75.00,26.00
2026-04-08T11:30:00Z,75.00,26.00
2026-04-08T11:35:00Z,75.00,26.00
2026-04-08T11:36:00Z,76.00,26.00
2026-04-08T11:38:00Z,76.00,26.00
2026-04-08T11:41:00Z,74.00,26.26
2026-04-08T11:42:00Z,73.38,28.00
2026-04-08T11:43:00Z,74.00,27.91
2026-04-08T11:44:00Z,75.00,27.91
2026-04-08T11:45:00Z,74.00,27.91
2026-04-08T11:46:00Z,74.26,26.00
2026-04-08T11:47:00Z,74.26,28.03
2026-04-08T11:48:00Z,74.26,28.00
2026-04-08T11:49:00Z,73.00,28.00
2026-04-08T11:51:00Z,70.00,31.88
2026-04-08T11:52:00Z,70.00,35.19
2026-04-08T11:53:00Z,71.74,32.08
2026-04-08T11:54:00Z,75.00,27.00
2026-04-08T11:55:00Z,75.00,27.00
2026-04-08T11:56:00Z,72.94,27.32
2026-04-08T11:57:00Z,71.00,31.00
2026-04-08T11:58:00Z,73.00,26.31
2026-04-08T11:59:00Z,75.29,27.00
2026-04-08T12:00:00Z,75.29,28.00
2026-04-08T12:01:00Z,72.00,28.27
2026-04-08T12:02:00Z,75.00,28.27
2026-04-08T12:03:00Z,75.00,26.00
2026-04-08T12:04:00Z,76.00,25.57
2026-04-08T12:05:00Z,81.84,21.15
2026-04-08T12:06:00Z,81.84,16.51
2026-04-08T12:07:00Z,88.81,13.02
2026-04-08T12:08:00Z,85.47,14.00
2026-04-08T12:09:00Z,89.43,12.92
2026-04-08T12:10:00Z,87.89,12.92
2026-04-08T12:11:00Z,87.89,16.10
2026-04-08T12:12:00Z,88.99,16.10
2026-04-08T12:13:00Z,88.99,11.09
2026-04-08T12:14:00Z,89.00,11.00
2026-04-08T12:15:00Z,89.00,12.74
2026-04-08T12:16:00Z,89.00,14.00
2026-04-08T12:17:00Z,86.00,14.00
2026-04-08T12:18:00Z,90.00,14.00
2026-04-08T12:20:00Z,90.00,14.00
2026-04-08T12:21:00Z,90.00,14.00
2026-04-08T12:22:00Z,90.00,10.00
2026-04-08T12:23:00Z,90.00,11.00
2026-04-08T12:24:00Z,90.00,11.00
2026-04-08T12:25:00Z,90.00,12.00
2026-04-08T12:26:00Z,92.00,7.17
2026-04-08T12:27:00Z,90.18,10.00
2026-04-08T12:28:00Z,87.00,13.00
2026-04-08T12:29:00Z,87.00,14.39
2026-04-08T12:30:00Z,83.00,18.99
2026-04-08T12:31:00Z,84.72,17.14
2026-04-08T12:32:00Z,80.85,21.49
