# event_ticker=KXATPCHALLENGERMATCH-26FEB26BUTTUN
# final_score=6-3 3-0 RET
# match_winner=Edas Butvilas
# fav_player=Tung-Lin Wu
# dog_player=Edas Butvilas
# kalshi_date=2026-02-26
timestamp,Tung-Lin Wu,Edas Butvilas
2026-02-26T00:20:00Z,44.00,56.00
2026-02-26T00:49:00Z,49.00,56.00
2026-02-26T02:38:00Z,49.00,52.00
2026-02-26T02:54:00Z,49.00,56.00
2026-02-26T02:57:00Z,49.00,56.00
2026-02-26T03:12:00Z,49.00,56.00
2026-02-26T03:33:00Z,47.00,56.00
2026-02-26T03:34:00Z,47.00,56.00
2026-02-26T04:22:00Z,47.00,57.00
2026-02-26T04:52:00Z,47.00,56.00
2026-02-26T05:07:00Z,47.00,56.00
2026-02-26T05:15:00Z,47.00,56.00
2026-02-26T05:33:00Z,47.00,56.00
2026-02-26T05:36:00Z,47.00,56.00
2026-02-26T05:43:00Z,47.00,56.00
2026-02-26T05:45:00Z,47.00,53.00
2026-02-26T05:46:00Z,47.00,53.00
2026-02-26T05:47:00Z,47.00,53.00
2026-02-26T05:51:00Z,47.00,53.00
2026-02-26T05:52:00Z,47.00,53.00
2026-02-26T05:58:00Z,47.00,56.00
2026-02-26T05:59:00Z,47.00,56.00
2026-02-26T06:02:00Z,47.00,56.00
2026-02-26T06:03:00Z,47.00,56.97
2026-02-26T06:04:00Z,47.00,56.28
2026-02-26T06:08:00Z,47.00,56.28
2026-02-26T06:15:00Z,45.16,56.28
2026-02-26T06:17:00Z,47.00,56.28
2026-02-26T06:18:00Z,47.00,56.28
2026-02-26T06:20:00Z,47.00,56.28
2026-02-26T06:25:00Z,47.00,55.00
2026-02-26T06:26:00Z,47.00,55.00
2026-02-26T06:28:00Z,47.63,55.00
2026-02-26T06:32:00Z,47.63,55.00
2026-02-26T06:35:00Z,47.63,55.00
2026-02-26T06:36:00Z,47.00,55.00
2026-02-26T06:37:00Z,47.00,55.00
2026-02-26T06:38:00Z,47.00,55.00
2026-02-26T06:39:00Z,47.00,55.00
2026-02-26T06:40:00Z,47.00,55.00
2026-02-26T06:41:00Z,47.00,55.00
2026-02-26T06:42:00Z,47.00,55.00
2026-02-26T06:44:00Z,47.00,53.20
2026-02-26T06:45:00Z,47.00,53.20
2026-02-26T06:46:00Z,47.47,53.20
2026-02-26T06:47:00Z,47.47,55.00
2026-02-26T06:50:00Z,47.47,56.00
2026-02-26T06:53:00Z,47.47,56.00
2026-02-26T06:54:00Z,47.47,56.00
2026-02-26T06:57:00Z,45.00,56.00
2026-02-26T06:59:00Z,45.00,56.48
2026-02-26T07:00:00Z,45.00,56.48
2026-02-26T07:01:00Z,45.00,56.48
2026-02-26T07:02:00Z,45.00,56.00
2026-02-26T07:04:00Z,45.00,56.00
2026-02-26T07:05:00Z,45.00,56.00
2026-02-26T07:06:00Z,45.00,56.00
2026-02-26T07:07:00Z,45.00,56.00
2026-02-26T07:08:00Z,45.00,56.00
2026-02-26T07:09:00Z,45.00,56.00
2026-02-26T07:10:00Z,45.00,56.00
2026-02-26T07:11:00Z,45.00,55.89
2026-02-26T07:14:00Z,45.00,57.00
2026-02-26T07:15:00Z,45.00,57.00
2026-02-26T07:16:00Z,45.00,57.00
2026-02-26T07:17:00Z,45.00,57.00
2026-02-26T07:18:00Z,45.00,57.00
2026-02-26T07:19:00Z,45.00,57.00
2026-02-26T07:20:00Z,42.92,57.00
2026-02-26T07:21:00Z,42.92,56.00
2026-02-26T07:22:00Z,45.00,56.00
2026-02-26T07:23:00Z,45.00,56.00
2026-02-26T07:24:00Z,45.00,56.00
2026-02-26T07:25:00Z,45.00,56.00
2026-02-26T07:26:00Z,44.00,56.00
2026-02-26T07:27:00Z,44.00,56.00
2026-02-26T07:28:00Z,44.00,56.00
2026-02-26T07:29:00Z,44.00,56.00
2026-02-26T07:30:00Z,44.00,57.00
2026-02-26T07:31:00Z,44.00,57.00
2026-02-26T07:34:00Z,47.00,57.00
2026-02-26T07:36:00Z,47.00,54.00
2026-02-26T07:38:00Z,47.00,57.00
2026-02-26T07:40:00Z,47.00,57.00
2026-02-26T07:42:00Z,47.00,58.00
2026-02-26T07:43:00Z,46.00,58.00
2026-02-26T07:44:00Z,42.00,61.16
2026-02-26T07:47:00Z,46.00,59.09
2026-02-26T07:49:00Z,46.00,53.22
2026-02-26T07:50:00Z,46.00,59.00
2026-02-26T07:51:00Z,45.76,59.00
2026-02-26T07:52:00Z,45.76,59.00
2026-02-26T07:53:00Z,46.00,59.00
2026-02-26T07:55:00Z,47.00,59.00
2026-02-26T07:56:00Z,46.00,59.00
2026-02-26T07:57:00Z,46.00,60.00
2026-02-26T07:58:00Z,47.00,60.00
2026-02-26T07:59:00Z,42.00,59.55
2026-02-26T08:00:00Z,46.00,57.71
2026-02-26T10:02:00Z,55.00,57.71
2026-02-26T10:03:00Z,49.44,58.88
2026-02-26T10:05:00Z,49.44,56.00
2026-02-26T10:06:00Z,49.44,56.00
2026-02-26T10:08:00Z,49.97,56.00
2026-02-26T10:09:00Z,49.97,55.74
2026-02-26T10:10:00Z,49.97,51.00
2026-02-26T10:11:00Z,49.97,58.00
2026-02-26T10:14:00Z,48.14,52.00
2026-02-26T10:15:00Z,48.14,56.00
2026-02-26T10:16:00Z,49.00,56.00
2026-02-26T10:20:00Z,49.00,56.00
2026-02-26T10:22:00Z,49.00,56.00
2026-02-26T10:24:00Z,49.00,56.00
2026-02-26T10:26:00Z,49.97,56.00
2026-02-26T10:27:00Z,49.97,56.09
2026-02-26T10:29:00Z,49.97,55.94
2026-02-26T10:33:00Z,49.97,56.00
2026-02-26T10:34:00Z,49.97,58.00
2026-02-26T10:40:00Z,49.97,57.27
2026-02-26T10:42:00Z,48.00,57.27
2026-02-26T10:44:00Z,48.00,56.00
2026-02-26T10:45:00Z,48.00,51.00
2026-02-26T10:48:00Z,49.00,51.00
2026-02-26T10:50:00Z,48.00,55.42
2026-02-26T10:51:00Z,48.00,56.49
2026-02-26T10:52:00Z,48.00,57.82
2026-02-26T10:56:00Z,48.00,58.97
2026-02-26T10:59:00Z,48.00,58.87
2026-02-26T11:04:00Z,48.00,56.00
2026-02-26T11:09:00Z,44.00,56.00
2026-02-26T11:12:00Z,43.00,60.00
2026-02-26T11:13:00Z,44.00,60.00
2026-02-26T11:14:00Z,43.00,60.00
2026-02-26T11:16:00Z,43.29,60.00
2026-02-26T11:18:00Z,44.00,60.00
2026-02-26T11:19:00Z,41.23,65.83
2026-02-26T11:21:00Z,45.32,54.40
2026-02-26T11:22:00Z,45.00,58.00
2026-02-26T11:23:00Z,45.00,58.00
2026-02-26T11:24:00Z,43.42,60.00
2026-02-26T11:25:00Z,47.00,59.00
2026-02-26T11:26:00Z,47.00,59.00
2026-02-26T11:28:00Z,47.00,59.00
2026-02-26T11:29:00Z,49.58,55.43
2026-02-26T11:30:00Z,48.30,59.67
2026-02-26T11:31:00Z,50.30,59.67
2026-02-26T11:32:00Z,50.76,53.81
2026-02-26T11:33:00Z,50.76,56.35
2026-02-26T11:34:00Z,47.32,56.04
2026-02-26T11:35:00Z,44.06,59.64
2026-02-26T11:36:00Z,41.06,64.37
2026-02-26T11:37:00Z,42.52,65.83
2026-02-26T11:38:00Z,34.66,69.52
2026-02-26T11:39:00Z,38.77,78.29
2026-02-26T11:40:00Z,43.33,60.28
2026-02-26T11:41:00Z,37.97,63.71
2026-02-26T11:42:00Z,35.16,66.51
2026-02-26T11:43:00Z,43.81,63.57
2026-02-26T11:44:00Z,40.87,62.50
2026-02-26T11:45:00Z,41.60,62.73
2026-02-26T11:46:00Z,50.52,56.10
2026-02-26T11:47:00Z,43.15,58.55
2026-02-26T11:48:00Z,50.37,53.51
2026-02-26T11:49:00Z,45.67,57.33
2026-02-26T11:50:00Z,46.53,56.25
2026-02-26T11:51:00Z,48.92,60.75
2026-02-26T11:52:00Z,44.85,60.05
2026-02-26T11:53:00Z,46.47,59.00
2026-02-26T11:54:00Z,39.17,64.05
2026-02-26T11:55:00Z,40.99,63.80
2026-02-26T11:56:00Z,37.86,69.20
2026-02-26T11:57:00Z,38.55,69.23
2026-02-26T11:58:00Z,44.80,58.10
2026-02-26T11:59:00Z,45.24,59.79
2026-02-26T12:00:00Z,41.41,63.13
2026-02-26T12:01:00Z,40.88,64.46
2026-02-26T12:02:00Z,40.00,66.83
2026-02-26T12:03:00Z,38.77,63.98
2026-02-26T12:04:00Z,38.51,65.05
2026-02-26T12:05:00Z,38.05,66.42
2026-02-26T12:06:00Z,37.83,65.87
2026-02-26T12:07:00Z,34.39,67.90
2026-02-26T12:08:00Z,23.06,78.37
2026-02-26T12:09:00Z,18.90,80.02
2026-02-26T12:10:00Z,17.13,82.48
2026-02-26T12:11:00Z,18.57,85.53
2026-02-26T12:12:00Z,20.53,81.04
2026-02-26T12:13:00Z,21.85,80.71
2026-02-26T12:14:00Z,23.20,74.44
2026-02-26T12:15:00Z,22.99,75.39
2026-02-26T12:16:00Z,19.98,81.39
2026-02-26T12:17:00Z,19.00,82.07
2026-02-26T12:18:00Z,19.86,81.70
2026-02-26T12:19:00Z,17.24,85.16
2026-02-26T12:20:00Z,12.54,88.97
2026-02-26T12:21:00Z,11.55,89.46
2026-02-26T12:22:00Z,9.65,91.83
2026-02-26T12:23:00Z,9.00,92.83
2026-02-26T12:24:00Z,7.89,92.25
2026-02-26T12:25:00Z,6.90,92.85
2026-02-26T12:26:00Z,3.87,93.45
2026-02-26T12:27:00Z,5.86,95.09
2026-02-26T12:28:00Z,2.26,97.96
2026-02-26T12:29:00Z,1.95,98.92
2026-02-26T12:30:00Z,2.73,98.34
2026-02-26T12:31:00Z,1.00,98.96
2026-02-26T12:32:00Z,1.00,99.00
