# event_ticker=KXATPCHALLENGERMATCH-26MAY30TSENEU
# final_score=5-7 6-2 7-6(4)
# score_resolution=7-5 2-6 6-7
# match_winner=Lukas Neumayer
# fav_player=Chun Hsin Tseng
# dog_player=Lukas Neumayer
# kalshi_date=2026-05-30
timestamp,Chun Hsin Tseng,Lukas Neumayer
2026-05-30T00:26:00Z,33.00,
2026-05-30T00:37:00Z,33.00,67.00
2026-05-30T00:53:00Z,33.00,69.00
2026-05-30T01:34:00Z,34.00,69.00
2026-05-30T02:36:00Z,34.00,67.00
2026-05-30T02:39:00Z,34.00,67.00
2026-05-30T03:13:00Z,34.00,67.00
2026-05-30T03:24:00Z,34.00,67.00
2026-05-30T04:00:00Z,34.00,67.00
2026-05-30T04:37:00Z,33.00,67.00
2026-05-30T04:51:00Z,34.00,67.00
2026-05-30T04:55:00Z,34.00,67.00
2026-05-30T05:05:00Z,34.00,67.00
2026-05-30T05:35:00Z,33.00,67.00
2026-05-30T06:20:00Z,33.00,67.00
2026-05-30T06:31:00Z,33.00,67.00
2026-05-30T06:38:00Z,33.00,67.00
2026-05-30T06:56:00Z,33.00,67.00
2026-05-30T07:44:00Z,33.00,67.00
2026-05-30T07:48:00Z,33.00,67.00
2026-05-30T07:54:00Z,33.00,67.00
2026-05-30T08:00:00Z,33.00,67.00
2026-05-30T11:58:00Z,34.00,67.00
2026-05-30T12:04:00Z,35.63,67.00
2026-05-30T12:15:00Z,35.63,67.00
2026-05-30T12:17:00Z,35.63,67.00
2026-05-30T12:18:00Z,35.63,67.00
2026-05-30T12:21:00Z,34.55,67.94
2026-05-30T12:23:00Z,36.99,64.00
2026-05-30T12:24:00Z,40.00,64.00
2026-05-30T12:25:00Z,38.00,62.88
2026-05-30T12:26:00Z,36.43,63.09
2026-05-30T12:27:00Z,37.00,63.09
2026-05-30T12:28:00Z,37.00,62.00
2026-05-30T12:29:00Z,36.92,62.00
2026-05-30T12:30:00Z,35.00,70.82
2026-05-30T12:31:00Z,32.00,70.73
2026-05-30T12:32:00Z,29.20,70.29
2026-05-30T12:33:00Z,34.00,70.29
2026-05-30T12:34:00Z,34.00,61.00
2026-05-30T12:35:00Z,34.00,61.00
2026-05-30T12:36:00Z,44.49,56.86
2026-05-30T12:37:00Z,41.00,56.86
2026-05-30T12:38:00Z,40.00,62.97
2026-05-30T12:39:00Z,40.00,62.97
2026-05-30T12:40:00Z,40.27,63.00
2026-05-30T12:41:00Z,39.00,63.00
2026-05-30T12:42:00Z,36.00,66.00
2026-05-30T12:43:00Z,25.80,72.80
2026-05-30T12:44:00Z,24.27,72.80
2026-05-30T12:45:00Z,25.00,77.00
2026-05-30T12:46:00Z,30.00,70.01
2026-05-30T12:47:00Z,34.60,65.50
2026-05-30T12:48:00Z,36.00,62.00
2026-05-30T12:49:00Z,36.08,69.00
2026-05-30T12:50:00Z,33.78,67.00
2026-05-30T12:51:00Z,35.00,63.89
2026-05-30T12:52:00Z,31.70,68.01
2026-05-30T12:53:00Z,25.00,75.00
2026-05-30T12:54:00Z,25.00,76.00
2026-05-30T12:55:00Z,25.40,74.37
2026-05-30T12:56:00Z,21.21,78.94
2026-05-30T12:57:00Z,19.09,80.04
2026-05-30T12:58:00Z,21.00,78.11
2026-05-30T12:59:00Z,23.89,77.07
2026-05-30T13:00:00Z,24.00,77.00
2026-05-30T13:01:00Z,22.01,78.00
2026-05-30T13:02:00Z,20.06,80.91
2026-05-30T13:03:00Z,20.03,79.00
2026-05-30T13:04:00Z,21.24,79.00
2026-05-30T13:05:00Z,25.24,75.08
2026-05-30T13:06:00Z,29.92,71.44
2026-05-30T13:07:00Z,32.06,67.18
2026-05-30T13:08:00Z,33.00,64.83
2026-05-30T13:09:00Z,35.11,64.68
2026-05-30T13:10:00Z,44.88,54.00
2026-05-30T13:11:00Z,48.23,51.43
2026-05-30T13:12:00Z,49.73,51.00
2026-05-30T13:13:00Z,49.13,51.00
2026-05-30T13:14:00Z,49.68,56.66
2026-05-30T13:15:00Z,44.00,55.96
2026-05-30T13:16:00Z,43.00,56.41
2026-05-30T13:17:00Z,49.07,51.96
2026-05-30T13:18:00Z,48.00,52.54
2026-05-30T13:19:00Z,56.25,46.83
2026-05-30T13:20:00Z,52.12,43.98
2026-05-30T13:21:00Z,51.76,50.22
2026-05-30T13:22:00Z,57.03,41.32
2026-05-30T13:23:00Z,53.07,47.50
2026-05-30T13:24:00Z,57.55,43.25
2026-05-30T13:25:00Z,53.43,50.80
2026-05-30T13:26:00Z,49.28,50.76
2026-05-30T13:27:00Z,53.30,47.11
2026-05-30T13:28:00Z,54.13,45.47
2026-05-30T13:29:00Z,70.24,31.81
2026-05-30T13:30:00Z,71.09,28.71
2026-05-30T13:31:00Z,71.87,29.00
2026-05-30T13:32:00Z,72.00,29.00
2026-05-30T13:33:00Z,72.00,28.96
2026-05-30T13:34:00Z,74.00,26.00
2026-05-30T13:35:00Z,74.04,25.58
2026-05-30T13:36:00Z,70.50,32.43
2026-05-30T13:37:00Z,59.09,40.26
2026-05-30T13:38:00Z,59.96,41.00
2026-05-30T13:39:00Z,62.12,39.33
2026-05-30T13:40:00Z,65.90,36.11
2026-05-30T13:41:00Z,64.79,40.14
2026-05-30T13:42:00Z,63.60,37.39
2026-05-30T13:43:00Z,63.23,36.35
2026-05-30T13:44:00Z,65.27,38.25
2026-05-30T13:45:00Z,64.09,37.95
2026-05-30T13:46:00Z,62.53,39.02
2026-05-30T13:47:00Z,59.04,40.60
2026-05-30T13:48:00Z,57.14,43.04
2026-05-30T13:49:00Z,55.95,44.58
2026-05-30T13:50:00Z,56.89,45.83
2026-05-30T13:51:00Z,58.88,42.11
2026-05-30T13:52:00Z,57.00,42.62
2026-05-30T13:53:00Z,57.00,45.29
2026-05-30T13:54:00Z,56.51,46.00
2026-05-30T13:55:00Z,56.27,46.45
2026-05-30T13:56:00Z,55.90,45.00
2026-05-30T13:57:00Z,52.92,45.97
2026-05-30T13:58:00Z,47.54,52.93
2026-05-30T13:59:00Z,49.56,52.44
2026-05-30T14:00:00Z,50.02,55.28
2026-05-30T14:01:00Z,49.99,56.00
2026-05-30T14:02:00Z,44.79,56.00
2026-05-30T14:03:00Z,42.58,55.90
2026-05-30T14:04:00Z,47.37,53.29
2026-05-30T14:05:00Z,53.30,51.12
2026-05-30T14:06:00Z,46.21,53.45
2026-05-30T14:07:00Z,45.25,54.65
2026-05-30T14:08:00Z,43.17,57.00
2026-05-30T14:09:00Z,44.00,57.97
2026-05-30T14:10:00Z,42.00,57.46
2026-05-30T14:11:00Z,42.15,57.82
2026-05-30T14:12:00Z,44.28,56.59
2026-05-30T14:13:00Z,45.00,55.91
2026-05-30T14:14:00Z,44.99,56.00
2026-05-30T14:15:00Z,45.00,55.00
2026-05-30T14:16:00Z,43.62,57.89
2026-05-30T14:17:00Z,43.00,57.06
2026-05-30T14:18:00Z,45.00,55.81
2026-05-30T14:19:00Z,45.13,55.99
2026-05-30T14:20:00Z,45.84,52.92
2026-05-30T14:21:00Z,46.19,52.78
2026-05-30T14:22:00Z,46.00,55.13
2026-05-30T14:23:00Z,46.00,54.03
2026-05-30T14:24:00Z,45.99,54.87
2026-05-30T14:25:00Z,45.27,55.00
2026-05-30T14:26:00Z,45.76,54.95
2026-05-30T14:27:00Z,46.00,55.00
2026-05-30T14:28:00Z,46.00,54.91
2026-05-30T14:29:00Z,46.00,55.00
2026-05-30T14:30:00Z,45.00,55.02
2026-05-30T14:31:00Z,41.46,60.51
2026-05-30T14:32:00Z,45.89,54.87
2026-05-30T14:33:00Z,45.48,56.09
