# event_ticker=KXATPCHALLENGERMATCH-26MAR02BAXPEN
# final_score=6-3 6-4
# match_winner=Florent Bax
# fav_player=Florent Bax
# dog_player=Gabriele Pennaforti
# kalshi_date=2026-03-02
timestamp,Florent Bax,Gabriele Pennaforti
2026-03-02T01:47:00Z,61.00,
2026-03-02T01:49:00Z,66.35,38.61
2026-03-02T02:09:00Z,62.00,38.61
2026-03-02T02:21:00Z,62.00,41.00
2026-03-02T02:24:00Z,62.00,41.00
2026-03-02T02:44:00Z,61.00,41.00
2026-03-02T02:46:00Z,62.14,41.00
2026-03-02T03:21:00Z,61.00,41.00
2026-03-02T03:35:00Z,61.00,41.00
2026-03-02T03:54:00Z,64.42,37.16
2026-03-02T04:00:00Z,64.42,40.00
2026-03-02T04:09:00Z,64.42,37.00
2026-03-02T04:12:00Z,64.42,39.00
2026-03-02T04:19:00Z,62.00,39.00
2026-03-02T04:22:00Z,62.00,39.00
2026-03-02T04:27:00Z,60.58,39.00
2026-03-02T04:37:00Z,60.58,42.00
2026-03-02T04:40:00Z,61.00,42.00
2026-03-02T04:47:00Z,62.00,42.00
2026-03-02T04:51:00Z,61.00,42.00
2026-03-02T04:59:00Z,62.00,42.00
2026-03-02T05:07:00Z,62.00,42.00
2026-03-02T05:13:00Z,60.00,42.00
2026-03-02T05:15:00Z,60.00,41.00
2026-03-02T05:16:00Z,60.00,41.00
2026-03-02T05:35:00Z,60.00,41.00
2026-03-02T05:40:00Z,60.00,41.00
2026-03-02T05:47:00Z,60.00,41.00
2026-03-02T05:52:00Z,60.00,41.00
2026-03-02T05:53:00Z,60.00,41.00
2026-03-02T06:26:00Z,60.00,41.00
2026-03-02T06:49:00Z,60.00,41.00
2026-03-02T07:02:00Z,60.00,41.00
2026-03-02T07:40:00Z,60.00,41.00
2026-03-02T07:47:00Z,60.00,41.00
2026-03-02T08:24:00Z,60.00,41.00
2026-03-02T08:58:00Z,60.00,41.00
2026-03-02T09:28:00Z,60.39,41.00
2026-03-02T10:25:00Z,60.39,41.00
2026-03-02T10:50:00Z,59.00,41.00
2026-03-02T11:19:00Z,61.00,41.00
2026-03-02T11:28:00Z,61.00,42.00
2026-03-02T11:37:00Z,60.00,42.00
2026-03-02T11:42:00Z,60.00,42.00
2026-03-02T11:54:00Z,60.00,42.00
2026-03-02T12:01:00Z,60.00,42.00
2026-03-02T12:02:00Z,60.00,42.00
2026-03-02T12:07:00Z,61.00,42.00
2026-03-02T12:10:00Z,61.00,42.00
2026-03-02T12:21:00Z,61.00,42.00
2026-03-02T12:22:00Z,61.00,42.00
2026-03-02T12:43:00Z,61.00,42.00
2026-03-02T12:45:00Z,61.00,42.00
2026-03-02T12:48:00Z,61.00,42.00
2026-03-02T12:49:00Z,61.00,42.00
2026-03-02T12:52:00Z,61.00,40.00
2026-03-02T12:56:00Z,61.00,40.95
2026-03-02T12:57:00Z,62.00,41.00
2026-03-02T12:58:00Z,62.00,41.00
2026-03-02T12:59:00Z,62.00,41.00
2026-03-02T13:00:00Z,62.00,41.00
2026-03-02T13:01:00Z,62.00,41.00
2026-03-02T13:02:00Z,58.83,41.33
2026-03-02T13:04:00Z,61.00,41.33
2026-03-02T13:05:00Z,61.06,41.33
2026-03-02T13:06:00Z,62.00,41.33
2026-03-02T13:07:00Z,62.00,41.00
2026-03-02T13:08:00Z,64.06,38.85
2026-03-02T13:10:00Z,57.00,43.00
2026-03-02T13:11:00Z,57.32,42.00
2026-03-02T13:12:00Z,58.21,42.00
2026-03-02T13:13:00Z,58.71,45.95
2026-03-02T13:14:00Z,58.71,39.99
2026-03-02T13:15:00Z,62.00,39.99
2026-03-02T13:16:00Z,58.01,43.00
2026-03-02T13:17:00Z,59.00,44.00
2026-03-02T13:18:00Z,60.80,44.00
2026-03-02T13:19:00Z,57.99,44.00
2026-03-02T13:20:00Z,57.00,46.00
