# event_ticker=KXATPMATCH-26JAN15MPEMEN
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Jakub Mensik
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Jakub Mensik
# kalshi_date=2026-01-15
timestamp,Giovanni Mpetshi Perricard,Jakub Mensik
2026-01-15T10:19:00Z,,55.00
2026-01-15T10:22:00Z,50.00,53.77
2026-01-15T10:24:00Z,50.00,55.00
2026-01-15T10:27:00Z,50.00,55.00
2026-01-15T10:28:00Z,50.00,55.00
2026-01-15T10:30:00Z,50.00,52.00
2026-01-15T10:31:00Z,50.00,50.00
2026-01-15T10:32:00Z,49.00,50.00
2026-01-15T10:33:00Z,49.94,50.00
2026-01-15T10:34:00Z,49.94,54.00
2026-01-15T10:36:00Z,50.00,54.00
2026-01-15T10:38:00Z,50.00,54.00
2026-01-15T10:39:00Z,50.00,54.00
2026-01-15T10:40:00Z,50.00,54.00
2026-01-15T10:41:00Z,50.00,54.00
2026-01-15T10:43:00Z,50.00,54.00
2026-01-15T10:44:00Z,50.00,54.00
2026-01-15T10:46:00Z,50.00,54.81
2026-01-15T10:48:00Z,50.00,51.30
2026-01-15T10:49:00Z,53.56,51.30
2026-01-15T10:50:00Z,53.56,55.00
2026-01-15T10:54:00Z,53.56,50.00
2026-01-15T10:56:00Z,53.56,55.00
2026-01-15T10:57:00Z,53.56,55.00
2026-01-15T10:58:00Z,53.56,51.18
2026-01-15T11:00:00Z,49.00,51.18
2026-01-15T11:01:00Z,49.00,55.00
2026-01-15T11:03:00Z,49.00,52.47
2026-01-15T11:04:00Z,49.00,55.00
2026-01-15T11:05:00Z,49.00,55.00
2026-01-15T11:07:00Z,49.00,55.00
2026-01-15T11:08:00Z,45.00,55.00
2026-01-15T11:12:00Z,49.00,55.00
2026-01-15T11:13:00Z,49.00,55.00
2026-01-15T11:14:00Z,49.73,54.00
2026-01-15T11:15:00Z,49.00,52.00
2026-01-15T11:16:00Z,49.00,54.83
2026-01-15T11:18:00Z,49.00,55.00
2026-01-15T11:19:00Z,49.00,54.00
2026-01-15T11:22:00Z,49.86,54.00
