# event_ticker=KXATPCHALLENGERMATCH-26MAR12BONRIE
# final_score=6-3 6-3
# match_winner=Benjamin Bonzi
# fav_player=Benjamin Bonzi
# dog_player=Leandro Riedi
# kalshi_date=2026-03-12
timestamp,Benjamin Bonzi,Leandro Riedi
2026-03-12T12:33:00Z,57.00,
2026-03-12T13:07:00Z,57.00,
2026-03-12T13:11:00Z,57.00,
2026-03-12T13:24:00Z,57.00,
2026-03-12T13:25:00Z,61.00,
2026-03-12T14:55:00Z,61.00,
2026-03-12T15:22:00Z,61.00,42.00
2026-03-12T15:41:00Z,61.57,42.00
2026-03-12T15:42:00Z,62.00,42.00
2026-03-12T15:48:00Z,62.00,42.00
2026-03-12T15:51:00Z,62.00,40.00
2026-03-12T16:07:00Z,62.00,40.00
2026-03-12T16:16:00Z,62.32,40.00
2026-03-12T16:29:00Z,62.00,40.00
2026-03-12T16:45:00Z,62.00,40.00
2026-03-12T16:48:00Z,62.00,40.00
2026-03-12T16:56:00Z,62.00,40.00
2026-03-12T17:05:00Z,62.00,40.00
2026-03-12T17:13:00Z,63.00,40.00
2026-03-12T17:16:00Z,63.00,40.00
2026-03-12T17:35:00Z,63.00,40.00
2026-03-12T17:39:00Z,63.00,40.00
2026-03-12T17:58:00Z,62.00,40.00
2026-03-12T18:06:00Z,63.00,40.00
2026-03-12T18:15:00Z,63.00,40.00
2026-03-12T18:22:00Z,63.00,40.00
2026-03-12T18:28:00Z,63.00,40.00
2026-03-12T18:30:00Z,63.00,40.00
2026-03-12T18:35:00Z,63.00,39.00
2026-03-12T18:43:00Z,63.00,39.00
2026-03-12T18:44:00Z,63.00,39.00
2026-03-12T18:54:00Z,63.00,39.00
2026-03-12T18:57:00Z,63.00,39.00
2026-03-12T19:05:00Z,63.00,39.00
2026-03-12T19:12:00Z,62.00,39.00
2026-03-12T19:15:00Z,63.17,39.00
2026-03-12T19:19:00Z,62.00,39.00
2026-03-12T19:20:00Z,62.00,39.00
2026-03-12T19:28:00Z,62.00,38.00
2026-03-12T19:29:00Z,62.00,38.00
2026-03-12T19:31:00Z,62.00,39.00
2026-03-12T19:37:00Z,63.00,39.00
2026-03-12T19:38:00Z,63.00,39.00
2026-03-12T19:42:00Z,64.00,38.00
2026-03-12T19:46:00Z,63.00,38.00
2026-03-12T19:48:00Z,63.00,38.00
2026-03-12T19:52:00Z,63.00,38.00
2026-03-12T19:53:00Z,63.00,38.00
2026-03-12T19:54:00Z,63.89,38.00
2026-03-12T19:58:00Z,63.89,37.00
2026-03-12T19:59:00Z,64.00,37.00
2026-03-12T20:00:00Z,64.00,38.00
2026-03-12T20:03:00Z,64.00,38.00
2026-03-12T20:05:00Z,64.00,38.00
2026-03-12T20:11:00Z,64.00,35.00
2026-03-12T20:13:00Z,64.00,35.00
2026-03-12T20:18:00Z,64.00,35.00
2026-03-12T20:30:00Z,64.00,35.00
2026-03-12T20:31:00Z,64.00,35.00
2026-03-12T20:32:00Z,64.00,38.00
2026-03-12T20:33:00Z,64.00,38.00
2026-03-12T20:34:00Z,64.27,38.00
2026-03-12T20:35:00Z,64.00,38.00
2026-03-12T20:40:00Z,64.07,38.00
2026-03-12T20:41:00Z,69.00,38.00
2026-03-12T20:42:00Z,70.50,38.00
2026-03-12T20:43:00Z,74.78,38.00
2026-03-12T20:44:00Z,75.00,24.82
2026-03-12T20:45:00Z,76.30,24.82
2026-03-12T20:46:00Z,78.42,21.11
2026-03-12T20:47:00Z,78.00,21.00
2026-03-12T20:48:00Z,74.68,21.00
2026-03-12T20:50:00Z,75.38,24.00
2026-03-12T20:51:00Z,78.86,23.00
2026-03-12T20:52:00Z,80.13,21.00
2026-03-12T20:53:00Z,82.00,17.00
2026-03-12T20:54:00Z,83.00,17.00
2026-03-12T20:55:00Z,81.05,18.26
2026-03-12T20:56:00Z,81.05,20.34
2026-03-12T20:57:00Z,79.00,20.34
2026-03-12T20:58:00Z,79.00,24.00
2026-03-12T20:59:00Z,76.00,24.06
2026-03-12T21:00:00Z,79.19,22.06
2026-03-12T21:01:00Z,80.00,21.11
2026-03-12T21:02:00Z,79.81,21.11
2026-03-12T21:03:00Z,79.81,21.00
2026-03-12T21:04:00Z,79.81,21.00
2026-03-12T21:05:00Z,82.00,19.05
2026-03-12T21:06:00Z,83.00,19.00
2026-03-12T21:07:00Z,85.05,16.00
