# event_ticker=KXATPCHALLENGERMATCH-26MAY11REIPAV
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Joao Lucas Reis Da Silva
# fav_player=Luka Pavlovic
# dog_player=Joao Lucas Reis Da Silva
# kalshi_date=2026-05-11
timestamp,Joao Lucas Reis Da Silva,Luka Pavlovic
2026-05-11T06:16:00Z,44.00,
2026-05-11T07:05:00Z,44.00,
2026-05-11T07:17:00Z,44.00,
2026-05-11T07:50:00Z,44.00,57.00
2026-05-11T07:57:00Z,44.10,57.00
2026-05-11T09:54:00Z,48.00,55.00
2026-05-11T11:52:00Z,48.00,55.00
2026-05-11T12:04:00Z,48.00,54.00
2026-05-11T12:05:00Z,48.00,54.00
2026-05-11T12:24:00Z,50.62,52.00
2026-05-11T12:28:00Z,50.62,54.73
2026-05-11T13:19:00Z,51.00,54.73
2026-05-11T13:25:00Z,53.00,49.50
2026-05-11T13:26:00Z,49.00,51.00
2026-05-11T13:27:00Z,50.06,51.00
2026-05-11T13:28:00Z,50.51,50.00
2026-05-11T13:29:00Z,54.18,44.77
2026-05-11T13:30:00Z,53.98,44.33
2026-05-11T13:31:00Z,56.18,43.29
2026-05-11T13:32:00Z,62.89,37.71
2026-05-11T13:33:00Z,64.00,36.00
2026-05-11T13:34:00Z,66.00,35.00
2026-05-11T13:35:00Z,67.89,33.10
2026-05-11T13:36:00Z,67.99,33.10
2026-05-11T13:37:00Z,68.17,30.27
2026-05-11T13:38:00Z,71.43,29.00
2026-05-11T13:39:00Z,71.27,28.71
2026-05-11T13:40:00Z,74.84,28.71
2026-05-11T13:41:00Z,69.86,27.37
2026-05-11T13:42:00Z,70.01,32.12
2026-05-11T13:43:00Z,69.03,30.81
2026-05-11T13:44:00Z,64.75,34.34
2026-05-11T13:45:00Z,55.55,44.99
2026-05-11T13:46:00Z,55.85,45.72
2026-05-11T13:47:00Z,50.82,50.80
2026-05-11T13:48:00Z,48.75,54.34
2026-05-11T13:49:00Z,46.07,55.21
2026-05-11T13:50:00Z,40.83,58.57
2026-05-11T13:51:00Z,46.81,55.16
2026-05-11T13:52:00Z,47.75,49.66
2026-05-11T13:53:00Z,51.08,49.00
2026-05-11T13:54:00Z,47.96,52.83
2026-05-11T13:55:00Z,47.96,54.86
2026-05-11T13:56:00Z,49.00,54.00
2026-05-11T13:57:00Z,51.97,50.00
2026-05-11T13:58:00Z,52.31,46.99
2026-05-11T13:59:00Z,54.14,46.99
2026-05-11T14:00:00Z,61.42,37.41
2026-05-11T14:01:00Z,55.73,43.95
2026-05-11T14:02:00Z,60.09,47.50
2026-05-11T14:03:00Z,54.42,45.33
2026-05-11T14:04:00Z,57.02,45.09
2026-05-11T14:05:00Z,59.80,40.25
2026-05-11T14:06:00Z,55.65,45.00
2026-05-11T14:07:00Z,64.50,36.56
2026-05-11T14:08:00Z,73.91,26.57
2026-05-11T14:09:00Z,75.70,25.00
2026-05-11T14:10:00Z,77.61,24.52
2026-05-11T14:11:00Z,77.61,25.53
2026-05-11T14:12:00Z,74.39,27.29
2026-05-11T14:13:00Z,78.12,23.19
2026-05-11T14:14:00Z,80.71,20.21
2026-05-11T14:15:00Z,78.31,21.14
2026-05-11T14:16:00Z,76.25,24.00
2026-05-11T14:17:00Z,76.14,23.35
2026-05-11T14:18:00Z,80.12,22.94
2026-05-11T14:19:00Z,80.55,21.00
2026-05-11T14:20:00Z,79.68,21.00
2026-05-11T14:21:00Z,79.34,21.00
2026-05-11T14:22:00Z,79.18,20.84
2026-05-11T14:23:00Z,82.45,19.68
2026-05-11T14:24:00Z,88.81,8.13
2026-05-11T14:25:00Z,93.77,8.06
2026-05-11T14:26:00Z,94.95,5.46
2026-05-11T14:27:00Z,95.69,4.15
2026-05-11T14:28:00Z,95.95,5.25
2026-05-11T14:29:00Z,96.00,4.60
2026-05-11T14:30:00Z,97.01,3.23
2026-05-11T14:31:00Z,98.39,2.00
2026-05-11T14:32:00Z,98.26,1.00
2026-05-11T14:33:00Z,99.00,1.00
2026-05-11T14:34:00Z,99.00,1.00
