# event_ticker=KXATPCHALLENGERMATCH-26MAR11GIUHEN
# final_score=6-3 4-6 6-3
# score_resolution=3-6 6-4 3-6
# match_winner=Lorenzo Giustino
# fav_player=Philip Henning
# dog_player=Lorenzo Giustino
# kalshi_date=2026-03-11
timestamp,Philip Henning,Lorenzo Giustino
2026-03-11T00:39:00Z,,52.00
2026-03-11T03:42:00Z,,53.00
2026-03-11T04:00:00Z,,53.00
2026-03-11T04:03:00Z,,53.00
2026-03-11T04:40:00Z,,54.00
2026-03-11T04:51:00Z,,53.00
2026-03-11T04:55:00Z,,54.00
2026-03-11T04:58:00Z,47.00,54.00
2026-03-11T05:05:00Z,47.00,53.00
2026-03-11T05:08:00Z,47.00,53.00
2026-03-11T05:13:00Z,48.74,53.00
2026-03-11T05:24:00Z,50.00,53.00
2026-03-11T05:40:00Z,50.00,53.00
2026-03-11T05:43:00Z,50.00,53.26
2026-03-11T05:51:00Z,52.63,49.05
2026-03-11T05:52:00Z,50.00,49.05
2026-03-11T05:59:00Z,50.00,51.00
2026-03-11T06:01:00Z,50.85,51.00
2026-03-11T06:02:00Z,51.90,51.00
2026-03-11T06:04:00Z,51.90,51.00
2026-03-11T06:16:00Z,51.00,51.00
2026-03-11T06:23:00Z,51.00,51.00
2026-03-11T06:25:00Z,51.00,49.00
2026-03-11T06:30:00Z,51.00,50.00
2026-03-11T06:32:00Z,51.00,50.00
2026-03-11T06:41:00Z,51.00,50.00
2026-03-11T06:50:00Z,51.00,50.00
2026-03-11T06:53:00Z,51.00,50.00
2026-03-11T06:54:00Z,51.00,50.00
2026-03-11T07:03:00Z,51.00,50.00
2026-03-11T07:09:00Z,51.00,50.00
2026-03-11T07:13:00Z,51.00,50.00
2026-03-11T07:20:00Z,51.00,50.00
2026-03-11T07:30:00Z,51.00,50.00
2026-03-11T07:37:00Z,50.00,50.00
2026-03-11T07:46:00Z,50.00,51.00
2026-03-11T07:57:00Z,50.00,52.50
2026-03-11T08:00:00Z,50.00,53.00
2026-03-11T08:05:00Z,50.00,54.00
2026-03-11T08:07:00Z,50.00,54.00
2026-03-11T08:08:00Z,47.00,53.51
2026-03-11T08:09:00Z,49.99,54.33
2026-03-11T08:10:00Z,49.99,51.85
2026-03-11T08:11:00Z,48.31,53.00
2026-03-11T08:12:00Z,50.00,55.00
2026-03-11T08:13:00Z,46.00,55.00
2026-03-11T08:14:00Z,41.80,58.00
2026-03-11T08:15:00Z,40.53,59.52
2026-03-11T08:16:00Z,36.06,63.16
2026-03-11T08:17:00Z,33.00,65.62
2026-03-11T08:18:00Z,32.00,68.60
2026-03-11T08:19:00Z,36.00,66.00
2026-03-11T08:20:00Z,42.27,62.31
2026-03-11T08:21:00Z,44.67,62.31
2026-03-11T08:22:00Z,45.00,55.81
2026-03-11T08:24:00Z,51.00,51.00
2026-03-11T08:25:00Z,49.02,55.34
2026-03-11T08:26:00Z,46.00,55.57
2026-03-11T08:27:00Z,47.01,53.81
2026-03-11T08:28:00Z,47.01,46.33
2026-03-11T08:29:00Z,59.00,44.86
2026-03-11T08:30:00Z,58.00,45.00
2026-03-11T08:31:00Z,56.00,46.74
2026-03-11T08:32:00Z,55.46,47.80
2026-03-11T08:33:00Z,49.00,52.92
2026-03-11T08:34:00Z,50.84,50.31
2026-03-11T08:35:00Z,56.39,43.49
2026-03-11T08:36:00Z,61.67,37.66
2026-03-11T08:37:00Z,67.00,35.84
2026-03-11T08:38:00Z,61.00,35.84
2026-03-11T08:39:00Z,57.73,43.92
2026-03-11T08:40:00Z,55.21,43.76
2026-03-11T08:41:00Z,51.28,48.82
2026-03-11T08:42:00Z,48.53,55.71
2026-03-11T08:43:00Z,48.53,54.17
2026-03-11T08:44:00Z,45.02,54.17
2026-03-11T08:45:00Z,46.39,55.92
2026-03-11T08:46:00Z,46.39,54.99
2026-03-11T08:47:00Z,45.00,57.00
2026-03-11T08:48:00Z,44.27,56.98
2026-03-11T08:50:00Z,40.00,67.50
2026-03-11T08:51:00Z,35.66,66.00
2026-03-11T08:52:00Z,43.00,53.00
2026-03-11T08:53:00Z,43.00,58.00
2026-03-11T08:54:00Z,43.00,62.00
2026-03-11T08:55:00Z,40.00,63.17
2026-03-11T08:56:00Z,39.55,64.29
2026-03-11T08:57:00Z,29.73,71.32
2026-03-11T08:58:00Z,27.06,73.00
2026-03-11T08:59:00Z,26.00,74.92
2026-03-11T09:00:00Z,26.00,73.02
2026-03-11T09:01:00Z,35.92,68.98
2026-03-11T09:02:00Z,37.54,68.36
2026-03-11T09:03:00Z,35.68,68.43
2026-03-11T09:04:00Z,26.00,75.48
2026-03-11T09:05:00Z,23.60,77.18
2026-03-11T09:06:00Z,23.96,77.76
2026-03-11T09:07:00Z,24.96,71.98
2026-03-11T09:08:00Z,29.95,72.00
2026-03-11T09:09:00Z,29.95,70.19
2026-03-11T09:10:00Z,34.00,67.99
