# event_ticker=KXATPCHALLENGERMATCH-26APR08DELOLI
# final_score=6-2 7-5
# match_winner=Hugo Dellien
# fav_player=Hugo Dellien
# dog_player=Genaro Alberto Olivieri
# kalshi_date=2026-04-08
timestamp,Hugo Dellien,Genaro Alberto Olivieri
2026-04-08T03:14:00Z,93.00,
2026-04-08T04:35:00Z,93.00,26.00
2026-04-08T05:04:00Z,93.00,26.35
2026-04-08T05:07:00Z,75.00,26.35
2026-04-08T05:08:00Z,75.00,26.35
2026-04-08T05:33:00Z,75.00,31.00
2026-04-08T05:39:00Z,75.00,31.00
2026-04-08T05:47:00Z,75.00,30.67
2026-04-08T05:52:00Z,76.42,26.68
2026-04-08T06:04:00Z,74.00,26.68
2026-04-08T06:18:00Z,74.00,26.68
2026-04-08T06:37:00Z,74.00,31.00
2026-04-08T06:48:00Z,76.00,31.00
2026-04-08T06:58:00Z,76.00,30.20
2026-04-08T07:02:00Z,74.00,30.20
2026-04-08T07:14:00Z,76.63,27.00
2026-04-08T07:32:00Z,75.00,27.00
2026-04-08T07:55:00Z,75.00,28.00
2026-04-08T07:56:00Z,73.00,28.00
2026-04-08T08:11:00Z,72.00,28.00
2026-04-08T08:18:00Z,72.00,28.00
2026-04-08T08:29:00Z,72.00,28.00
2026-04-08T08:39:00Z,72.00,28.00
2026-04-08T08:51:00Z,72.00,28.00
2026-04-08T09:29:00Z,72.00,28.00
2026-04-08T09:30:00Z,72.00,30.00
2026-04-08T10:13:00Z,70.00,30.00
2026-04-08T11:04:00Z,70.00,30.00
2026-04-08T11:35:00Z,70.00,30.00
2026-04-08T11:42:00Z,70.00,30.00
2026-04-08T12:05:00Z,70.00,30.00
2026-04-08T12:06:00Z,70.00,30.00
2026-04-08T12:15:00Z,70.00,30.00
2026-04-08T12:29:00Z,70.00,30.00
2026-04-08T12:42:00Z,70.00,29.00
2026-04-08T12:50:00Z,70.00,29.00
2026-04-08T12:57:00Z,70.00,29.00
2026-04-08T13:10:00Z,70.00,29.00
2026-04-08T13:13:00Z,70.00,29.00
2026-04-08T13:21:00Z,70.00,29.00
2026-04-08T13:33:00Z,70.00,30.00
2026-04-08T13:44:00Z,70.00,30.00
2026-04-08T13:50:00Z,70.00,30.00
2026-04-08T13:51:00Z,70.00,30.00
2026-04-08T13:56:00Z,70.00,29.00
2026-04-08T13:58:00Z,70.00,29.00
2026-04-08T14:03:00Z,70.00,29.00
2026-04-08T14:08:00Z,70.00,29.00
2026-04-08T14:10:00Z,70.00,29.00
2026-04-08T14:11:00Z,70.00,31.00
2026-04-08T14:13:00Z,69.29,31.00
2026-04-08T14:14:00Z,69.00,31.64
2026-04-08T14:15:00Z,69.62,33.53
2026-04-08T14:16:00Z,69.95,30.00
2026-04-08T14:17:00Z,72.00,29.00
2026-04-08T14:18:00Z,68.60,33.99
2026-04-08T14:20:00Z,71.00,33.99
2026-04-08T14:21:00Z,71.00,30.00
2026-04-08T14:22:00Z,70.00,30.00
2026-04-08T14:23:00Z,70.00,32.91
2026-04-08T14:24:00Z,67.00,33.55
2026-04-08T14:25:00Z,68.91,33.55
2026-04-08T14:26:00Z,68.91,31.97
2026-04-08T14:27:00Z,71.00,31.97
2026-04-08T14:28:00Z,69.00,32.93
2026-04-08T14:29:00Z,69.00,32.00
2026-04-08T14:31:00Z,65.99,34.74
2026-04-08T14:32:00Z,62.00,37.42
2026-04-08T14:33:00Z,61.22,37.83
2026-04-08T14:34:00Z,62.33,39.13
2026-04-08T14:35:00Z,64.41,36.77
2026-04-08T14:36:00Z,64.85,36.19
2026-04-08T14:37:00Z,67.91,32.94
2026-04-08T14:38:00Z,67.21,32.74
2026-04-08T14:39:00Z,68.60,32.00
2026-04-08T14:40:00Z,70.00,32.00
2026-04-08T14:41:00Z,70.00,31.00
2026-04-08T14:42:00Z,70.00,31.00
2026-04-08T14:43:00Z,69.15,33.25
2026-04-08T14:44:00Z,73.10,23.55
2026-04-08T14:45:00Z,80.69,18.32
2026-04-08T14:46:00Z,83.02,16.65
2026-04-08T14:47:00Z,83.49,17.55
2026-04-08T14:48:00Z,85.00,16.00
2026-04-08T14:49:00Z,85.01,15.06
2026-04-08T14:50:00Z,85.01,14.34
2026-04-08T14:51:00Z,83.55,16.36
2026-04-08T14:52:00Z,85.34,15.08
2026-04-08T14:53:00Z,86.96,15.25
2026-04-08T14:54:00Z,88.15,11.72
2026-04-08T14:55:00Z,88.94,12.00
2026-04-08T14:56:00Z,88.94,12.00
2026-04-08T14:57:00Z,88.00,12.00
2026-04-08T14:58:00Z,87.88,12.86
2026-04-08T14:59:00Z,87.04,14.01
2026-04-08T15:00:00Z,87.36,14.41
2026-04-08T15:01:00Z,84.72,16.96
2026-04-08T15:02:00Z,80.00,21.60
2026-04-08T15:03:00Z,80.00,20.17
