# event_ticker=KXATPMATCH-25OCT18SHARUU
# final_score=6-3 6-4
# match_winner=Casper Ruud
# fav_player=Casper Ruud
# dog_player=Denis Shapovalov
# kalshi_date=2025-10-18
timestamp,Casper Ruud,Denis Shapovalov
2025-10-18T06:43:00Z,59.00,
2025-10-18T06:46:00Z,59.00,
2025-10-18T07:15:00Z,58.00,
2025-10-18T07:23:00Z,59.00,
2025-10-18T07:34:00Z,59.00,
2025-10-18T07:53:00Z,59.00,41.00
2025-10-18T08:23:00Z,60.00,41.00
2025-10-18T08:32:00Z,61.00,41.00
2025-10-18T08:33:00Z,61.00,41.00
2025-10-18T08:42:00Z,59.48,41.00
2025-10-18T08:52:00Z,60.00,41.00
2025-10-18T08:54:00Z,60.00,41.00
2025-10-18T08:58:00Z,60.00,41.00
2025-10-18T09:04:00Z,60.00,41.00
2025-10-18T09:32:00Z,60.00,41.00
2025-10-18T10:12:00Z,60.00,40.00
2025-10-18T10:21:00Z,61.00,40.00
2025-10-18T10:32:00Z,61.00,40.00
2025-10-18T10:41:00Z,61.00,40.00
2025-10-18T10:52:00Z,61.00,40.00
2025-10-18T10:53:00Z,61.00,39.00
2025-10-18T11:13:00Z,61.00,39.00
2025-10-18T11:50:00Z,62.00,39.00
2025-10-18T11:58:00Z,62.00,39.00
2025-10-18T12:03:00Z,62.00,40.00
2025-10-18T12:10:00Z,61.00,39.00
2025-10-18T12:24:00Z,61.00,39.00
2025-10-18T12:44:00Z,62.00,39.00
2025-10-18T13:07:00Z,62.00,39.00
2025-10-18T13:18:00Z,62.00,39.00
2025-10-18T13:26:00Z,62.00,39.00
2025-10-18T13:38:00Z,62.00,40.00
2025-10-18T13:51:00Z,62.00,40.00
2025-10-18T13:52:00Z,62.00,40.00
2025-10-18T13:54:00Z,62.00,40.00
2025-10-18T14:00:00Z,62.00,40.00
2025-10-18T14:04:00Z,62.17,40.00
2025-10-18T14:05:00Z,62.00,40.00
2025-10-18T14:10:00Z,62.00,39.00
2025-10-18T14:11:00Z,62.00,39.00
2025-10-18T14:13:00Z,61.00,39.00
2025-10-18T14:15:00Z,61.00,39.00
2025-10-18T14:31:00Z,63.00,39.00
2025-10-18T14:36:00Z,62.00,39.00
2025-10-18T14:50:00Z,62.00,38.00
2025-10-18T15:02:00Z,62.00,38.00
2025-10-18T15:12:00Z,62.00,38.00
2025-10-18T15:15:00Z,63.00,38.00
2025-10-18T15:16:00Z,63.00,37.00
2025-10-18T15:19:00Z,63.00,37.00
2025-10-18T15:20:00Z,64.00,37.00
2025-10-18T15:21:00Z,64.00,37.00
2025-10-18T15:23:00Z,64.00,36.55
2025-10-18T15:27:00Z,64.00,37.00
2025-10-18T15:28:00Z,64.00,37.00
2025-10-18T15:30:00Z,65.00,37.00
2025-10-18T15:31:00Z,65.00,37.00
2025-10-18T15:32:00Z,64.00,37.00
2025-10-18T15:35:00Z,64.00,37.00
2025-10-18T15:36:00Z,64.00,37.00
2025-10-18T15:37:00Z,64.00,37.00
2025-10-18T15:39:00Z,64.00,37.00
2025-10-18T15:41:00Z,63.00,37.00
2025-10-18T15:42:00Z,64.00,37.00
