# event_ticker=KXATPMATCH-25AUG09MACMAN
# final_score=6-3 6-3
# match_winner=Adrian Mannarino
# fav_player=Adrian Mannarino
# dog_player=Tomas Machac
# kalshi_date=2025-08-09
timestamp,Adrian Mannarino,Tomas Machac
2025-08-09T11:37:00Z,39.00,
2025-08-09T11:45:00Z,39.00,65.00
2025-08-09T13:13:00Z,39.00,64.00
2025-08-09T13:48:00Z,37.00,64.00
2025-08-09T14:31:00Z,37.00,65.00
2025-08-09T15:15:00Z,37.00,64.00
2025-08-09T15:44:00Z,39.00,64.00
2025-08-09T16:18:00Z,39.00,64.00
2025-08-09T16:40:00Z,39.00,63.00
2025-08-09T17:17:00Z,39.00,62.00
2025-08-09T17:32:00Z,38.00,62.00
2025-08-09T17:37:00Z,38.00,62.00
2025-08-09T17:42:00Z,38.00,62.00
2025-08-09T17:50:00Z,41.40,62.00
2025-08-09T17:55:00Z,42.00,62.00
2025-08-09T18:04:00Z,41.00,62.00
2025-08-09T18:06:00Z,41.00,61.00
2025-08-09T18:12:00Z,41.00,60.00
2025-08-09T18:13:00Z,41.00,61.00
2025-08-09T18:14:00Z,42.00,61.00
2025-08-09T18:17:00Z,42.00,56.14
2025-08-09T18:18:00Z,42.00,48.83
2025-08-09T18:20:00Z,53.67,48.83
2025-08-09T18:21:00Z,56.20,45.85
2025-08-09T18:22:00Z,56.20,40.06
2025-08-09T18:23:00Z,58.00,40.06
2025-08-09T18:24:00Z,61.34,39.00
2025-08-09T18:26:00Z,59.00,39.00
2025-08-09T18:27:00Z,59.00,45.16
2025-08-09T18:29:00Z,59.00,42.50
2025-08-09T18:30:00Z,56.00,42.50
2025-08-09T18:31:00Z,51.99,45.00
2025-08-09T18:33:00Z,59.00,45.00
2025-08-09T18:34:00Z,59.00,45.00
2025-08-09T18:36:00Z,59.00,39.00
2025-08-09T18:37:00Z,59.00,39.00
2025-08-09T18:38:00Z,62.00,42.00
2025-08-09T18:40:00Z,62.00,43.00
2025-08-09T18:42:00Z,54.83,51.43
2025-08-09T18:44:00Z,54.83,57.00
2025-08-09T18:45:00Z,54.83,58.22
2025-08-09T18:46:00Z,44.00,53.70
2025-08-09T18:47:00Z,54.41,46.04
2025-08-09T18:48:00Z,61.02,39.45
2025-08-09T18:49:00Z,59.52,40.00
2025-08-09T18:50:00Z,59.52,45.00
2025-08-09T18:51:00Z,59.52,51.19
2025-08-09T18:52:00Z,63.00,51.19
2025-08-09T18:53:00Z,55.00,48.01
2025-08-09T18:56:00Z,60.00,40.00
2025-08-09T18:57:00Z,57.67,41.46
2025-08-09T18:58:00Z,57.67,39.00
2025-08-09T19:00:00Z,70.40,39.00
2025-08-09T19:01:00Z,68.00,32.42
2025-08-09T19:02:00Z,67.00,34.00
2025-08-09T19:03:00Z,67.00,37.00
2025-08-09T19:05:00Z,67.00,36.00
2025-08-09T19:06:00Z,68.00,36.00
2025-08-09T19:08:00Z,69.00,32.73
2025-08-09T19:09:00Z,73.00,28.50
2025-08-09T19:10:00Z,73.00,28.00
2025-08-09T19:11:00Z,73.00,28.00
2025-08-09T19:12:00Z,76.00,27.00
2025-08-09T19:13:00Z,76.64,25.00
2025-08-09T19:14:00Z,76.00,27.32
2025-08-09T19:15:00Z,76.00,25.19
2025-08-09T19:18:00Z,81.30,19.80
2025-08-09T19:19:00Z,77.09,21.25
2025-08-09T19:20:00Z,77.09,25.56
2025-08-09T19:22:00Z,80.02,21.00
2025-08-09T19:23:00Z,80.92,21.00
2025-08-09T19:24:00Z,81.00,21.00
2025-08-09T19:25:00Z,81.00,19.00
2025-08-09T19:26:00Z,88.05,6.28
2025-08-09T19:27:00Z,91.00,12.69
2025-08-09T19:28:00Z,91.00,15.28
2025-08-09T19:29:00Z,91.00,13.22
2025-08-09T19:30:00Z,91.62,13.22
2025-08-09T19:31:00Z,94.64,12.62
2025-08-09T19:32:00Z,95.14,5.00
2025-08-09T19:33:00Z,95.14,5.13
2025-08-09T19:34:00Z,95.25,4.81
2025-08-09T19:35:00Z,94.00,4.81
2025-08-09T19:36:00Z,92.18,4.81
2025-08-09T19:37:00Z,96.83,4.81
2025-08-09T19:38:00Z,99.00,2.73
2025-08-09T19:39:00Z,97.15,2.00
2025-08-09T19:40:00Z,97.15,1.00
2025-08-09T19:41:00Z,97.15,1.62
2025-08-09T19:43:00Z,99.00,1.62
2025-08-09T19:44:00Z,97.70,1.62
2025-08-09T19:45:00Z,99.00,1.47
2025-08-09T19:48:00Z,99.00,1.47
2025-08-09T19:49:00Z,99.00,1.47
