# event_ticker=KXATPCHALLENGERMATCH-26FEB25OFNBLA
# final_score=6-4 6-4
# match_winner=Sebastian Ofner
# fav_player=Sebastian Ofner
# dog_player=Geoffrey Blancaneaux
# kalshi_date=2026-02-25
timestamp,Sebastian Ofner,Geoffrey Blancaneaux
2026-02-24T23:24:00Z,64.00,
2026-02-24T23:57:00Z,63.00,
2026-02-25T02:09:00Z,63.00,41.00
2026-02-25T02:41:00Z,62.00,41.00
2026-02-25T03:02:00Z,62.00,41.00
2026-02-25T03:10:00Z,62.00,41.00
2026-02-25T03:17:00Z,62.00,41.00
2026-02-25T04:07:00Z,62.00,41.00
2026-02-25T04:11:00Z,62.00,41.00
2026-02-25T04:35:00Z,62.00,41.00
2026-02-25T04:37:00Z,62.00,41.00
2026-02-25T04:43:00Z,62.00,41.00
2026-02-25T04:56:00Z,62.00,41.00
2026-02-25T04:57:00Z,62.00,41.00
2026-02-25T05:19:00Z,62.00,41.00
2026-02-25T05:41:00Z,62.00,41.00
2026-02-25T05:56:00Z,62.00,38.00
2026-02-25T06:04:00Z,61.00,38.00
2026-02-25T06:10:00Z,61.00,38.00
2026-02-25T06:11:00Z,61.00,38.00
2026-02-25T06:15:00Z,61.00,38.00
2026-02-25T06:20:00Z,61.50,38.00
2026-02-25T06:21:00Z,62.00,38.00
2026-02-25T06:22:00Z,62.00,39.00
2026-02-25T06:25:00Z,62.00,39.00
2026-02-25T06:33:00Z,61.00,39.00
2026-02-25T06:39:00Z,61.00,39.00
2026-02-25T06:55:00Z,61.00,39.00
2026-02-25T06:57:00Z,61.00,39.00
2026-02-25T06:58:00Z,61.00,40.00
2026-02-25T07:10:00Z,61.84,40.00
2026-02-25T07:22:00Z,61.00,40.00
2026-02-25T07:35:00Z,61.90,40.00
2026-02-25T07:46:00Z,61.00,40.00
2026-02-25T07:53:00Z,62.00,40.00
2026-02-25T07:55:00Z,62.00,40.00
2026-02-25T08:05:00Z,62.00,40.00
2026-02-25T08:26:00Z,62.00,40.00
2026-02-25T08:52:00Z,62.00,40.00
2026-02-25T08:57:00Z,62.00,40.00
2026-02-25T09:12:00Z,61.00,40.00
2026-02-25T09:13:00Z,61.00,40.00
2026-02-25T09:15:00Z,62.00,40.00
2026-02-25T09:26:00Z,61.00,40.00
2026-02-25T09:31:00Z,61.00,40.00
2026-02-25T09:44:00Z,61.00,41.44
2026-02-25T09:46:00Z,61.00,40.00
2026-02-25T09:47:00Z,61.00,40.00
2026-02-25T09:57:00Z,61.00,40.00
2026-02-25T09:59:00Z,61.00,40.00
2026-02-25T10:04:00Z,61.00,40.00
2026-02-25T10:05:00Z,61.96,40.00
2026-02-25T10:06:00Z,62.00,40.97
2026-02-25T10:07:00Z,61.96,40.93
2026-02-25T10:08:00Z,62.72,40.97
2026-02-25T10:09:00Z,62.98,41.00
2026-02-25T10:10:00Z,60.16,41.44
2026-02-25T10:11:00Z,62.16,40.48
2026-02-25T10:12:00Z,62.41,44.59
2026-02-25T10:13:00Z,57.86,44.00
2026-02-25T10:14:00Z,57.64,39.00
2026-02-25T10:15:00Z,62.87,39.57
2026-02-25T10:16:00Z,66.23,31.49
2026-02-25T10:17:00Z,60.18,42.46
2026-02-25T10:18:00Z,60.22,41.90
2026-02-25T10:19:00Z,59.00,43.00
2026-02-25T10:20:00Z,61.96,43.00
2026-02-25T10:21:00Z,63.40,37.61
2026-02-25T10:22:00Z,63.71,38.78
2026-02-25T10:23:00Z,67.56,33.98
2026-02-25T10:24:00Z,67.98,35.33
2026-02-25T10:25:00Z,69.33,33.74
2026-02-25T10:26:00Z,61.11,40.96
2026-02-25T10:27:00Z,67.00,33.80
2026-02-25T10:28:00Z,70.00,30.05
2026-02-25T10:29:00Z,76.49,22.64
2026-02-25T10:30:00Z,79.00,22.64
2026-02-25T10:31:00Z,80.14,17.55
2026-02-25T10:32:00Z,80.00,18.56
2026-02-25T10:33:00Z,84.00,17.22
2026-02-25T10:34:00Z,83.09,15.61
2026-02-25T10:35:00Z,83.34,19.00
2026-02-25T10:36:00Z,82.00,17.18
2026-02-25T10:37:00Z,79.41,19.54
2026-02-25T10:38:00Z,82.78,19.67
2026-02-25T10:39:00Z,83.88,17.69
2026-02-25T10:40:00Z,84.00,18.00
2026-02-25T10:41:00Z,84.00,17.79
2026-02-25T10:42:00Z,84.00,18.33
2026-02-25T10:43:00Z,80.08,19.91
2026-02-25T10:44:00Z,81.47,20.00
2026-02-25T10:45:00Z,81.09,20.00
2026-02-25T10:46:00Z,82.48,21.26
2026-02-25T10:47:00Z,83.52,16.41
2026-02-25T10:48:00Z,83.52,18.25
2026-02-25T10:49:00Z,83.00,19.00
2026-02-25T10:50:00Z,81.00,19.00
2026-02-25T10:51:00Z,81.00,20.97
2026-02-25T10:52:00Z,81.00,21.88
2026-02-25T10:53:00Z,83.36,17.27
2026-02-25T10:54:00Z,81.75,16.52
2026-02-25T10:55:00Z,82.99,16.00
2026-02-25T10:56:00Z,80.27,20.91
2026-02-25T10:57:00Z,81.00,20.91
2026-02-25T10:58:00Z,81.87,20.91
2026-02-25T10:59:00Z,83.30,17.09
2026-02-25T11:00:00Z,84.00,17.50
2026-02-25T11:01:00Z,84.00,16.42
2026-02-25T11:02:00Z,82.95,16.29
2026-02-25T11:03:00Z,82.95,19.52
2026-02-25T11:04:00Z,80.00,22.00
2026-02-25T11:05:00Z,80.13,21.38
2026-02-25T11:06:00Z,81.00,17.04
2026-02-25T11:07:00Z,82.22,17.04
2026-02-25T11:08:00Z,81.37,17.23
2026-02-25T11:09:00Z,78.00,19.90
2026-02-25T11:10:00Z,78.13,20.68
2026-02-25T11:11:00Z,79.10,21.78
2026-02-25T11:12:00Z,83.00,16.94
2026-02-25T11:13:00Z,87.87,12.34
2026-02-25T11:14:00Z,87.87,15.51
2026-02-25T11:15:00Z,81.08,19.38
2026-02-25T11:16:00Z,80.83,20.99
2026-02-25T11:17:00Z,80.02,20.00
2026-02-25T11:18:00Z,83.66,20.00
2026-02-25T11:19:00Z,84.30,16.83
2026-02-25T11:20:00Z,88.79,12.21
2026-02-25T11:21:00Z,93.10,7.92
2026-02-25T11:22:00Z,92.42,9.06
2026-02-25T11:23:00Z,89.28,12.34
2026-02-25T11:24:00Z,84.92,17.62
2026-02-25T11:25:00Z,89.97,15.57
2026-02-25T11:26:00Z,96.92,3.42
2026-02-25T11:27:00Z,98.01,3.00
2026-02-25T11:28:00Z,93.18,7.95
2026-02-25T11:29:00Z,95.27,5.57
2026-02-25T11:30:00Z,98.85,1.14
2026-02-25T11:31:00Z,99.00,1.14
