# event_ticker=KXATPCHALLENGERMATCH-26MAR16CRAWIS
# final_score=6-4 6-1
# match_winner=Oliver Crawford
# fav_player=Oliver Crawford
# dog_player=Max Wiskandt
# kalshi_date=2026-03-16
timestamp,Oliver Crawford,Max Wiskandt
2026-03-16T08:00:00Z,78.00,24.00
2026-03-16T11:06:00Z,78.00,25.00
2026-03-16T11:26:00Z,78.00,25.00
2026-03-16T12:01:00Z,78.00,25.00
2026-03-16T12:06:00Z,78.00,25.00
2026-03-16T12:24:00Z,73.00,25.00
2026-03-16T12:39:00Z,73.00,25.00
2026-03-16T12:43:00Z,73.00,25.00
2026-03-16T15:01:00Z,73.00,25.00
2026-03-16T15:27:00Z,75.00,25.00
2026-03-16T16:24:00Z,75.00,25.00
2026-03-16T16:42:00Z,75.00,25.00
2026-03-16T17:09:00Z,75.00,25.00
2026-03-16T18:04:00Z,75.00,25.00
2026-03-16T18:06:00Z,75.00,25.00
2026-03-16T18:18:00Z,75.00,25.00
2026-03-16T18:38:00Z,75.00,25.00
2026-03-16T18:44:00Z,75.00,25.00
2026-03-16T18:56:00Z,75.31,25.00
2026-03-16T19:05:00Z,75.31,25.95
2026-03-16T19:12:00Z,75.31,26.00
2026-03-16T19:14:00Z,76.00,26.00
2026-03-16T19:16:00Z,76.00,26.00
2026-03-16T19:18:00Z,76.00,26.00
2026-03-16T19:19:00Z,74.52,26.00
2026-03-16T19:20:00Z,74.52,26.00
2026-03-16T19:21:00Z,75.00,24.00
2026-03-16T19:22:00Z,77.00,23.00
2026-03-16T19:23:00Z,78.00,23.00
2026-03-16T19:24:00Z,78.00,23.00
2026-03-16T19:25:00Z,79.19,22.88
2026-03-16T19:26:00Z,80.76,19.29
2026-03-16T19:27:00Z,79.00,21.26
2026-03-16T19:28:00Z,79.26,23.98
2026-03-16T19:29:00Z,77.00,22.80
2026-03-16T19:30:00Z,77.00,26.75
2026-03-16T19:31:00Z,75.00,26.75
2026-03-16T19:32:00Z,72.74,26.75
2026-03-16T19:33:00Z,69.00,32.00
2026-03-16T19:34:00Z,68.68,31.00
2026-03-16T19:36:00Z,77.00,31.00
2026-03-16T19:37:00Z,79.28,22.00
2026-03-16T19:38:00Z,84.96,17.79
2026-03-16T19:39:00Z,87.27,17.79
2026-03-16T19:40:00Z,87.00,15.63
2026-03-16T19:41:00Z,84.00,15.00
2026-03-16T19:43:00Z,88.09,12.00
2026-03-16T19:44:00Z,88.09,12.00
2026-03-16T19:45:00Z,89.00,12.00
2026-03-16T19:46:00Z,90.00,12.00
2026-03-16T19:47:00Z,88.49,12.00
2026-03-16T19:48:00Z,88.00,14.00
2026-03-16T19:49:00Z,85.00,14.70
2026-03-16T19:50:00Z,85.00,14.70
2026-03-16T19:51:00Z,84.00,16.00
2026-03-16T19:52:00Z,77.45,25.00
2026-03-16T19:53:00Z,76.00,25.00
2026-03-16T19:54:00Z,78.00,24.00
2026-03-16T19:55:00Z,73.00,24.07
2026-03-16T19:56:00Z,72.00,28.21
2026-03-16T19:57:00Z,71.00,29.41
2026-03-16T19:58:00Z,73.00,29.41
2026-03-16T19:59:00Z,74.00,29.00
2026-03-16T20:00:00Z,71.00,30.09
2026-03-16T20:01:00Z,70.15,31.00
2026-03-16T20:02:00Z,68.89,29.83
2026-03-16T20:03:00Z,73.00,29.83
2026-03-16T20:04:00Z,76.61,26.93
2026-03-16T20:05:00Z,73.01,26.93
2026-03-16T20:06:00Z,77.00,20.00
2026-03-16T20:07:00Z,86.05,12.53
2026-03-16T20:08:00Z,89.11,12.53
2026-03-16T20:09:00Z,89.96,11.00
2026-03-16T20:10:00Z,90.00,11.00
2026-03-16T20:12:00Z,89.86,10.79
2026-03-16T20:13:00Z,89.00,10.79
2026-03-16T20:14:00Z,86.00,13.00
2026-03-16T20:15:00Z,88.14,15.42
2026-03-16T20:16:00Z,88.14,12.26
2026-03-16T20:17:00Z,87.00,12.85
2026-03-16T20:18:00Z,85.00,13.31
2026-03-16T20:19:00Z,85.00,15.40
2026-03-16T20:20:00Z,89.00,11.00
2026-03-16T20:21:00Z,87.54,13.27
2026-03-16T20:22:00Z,88.63,10.96
2026-03-16T20:23:00Z,91.90,10.00
2026-03-16T20:24:00Z,92.23,8.03
2026-03-16T20:25:00Z,95.82,5.40
2026-03-16T20:26:00Z,97.00,4.04
2026-03-16T20:27:00Z,94.92,4.46
2026-03-16T20:28:00Z,95.18,4.24
2026-03-16T20:29:00Z,96.01,3.24
2026-03-16T20:30:00Z,98.00,3.07
2026-03-16T20:31:00Z,98.00,2.01
2026-03-16T20:32:00Z,98.00,1.90
2026-03-16T20:33:00Z,99.00,2.00
2026-03-16T20:34:00Z,98.99,3.00
2026-03-16T20:35:00Z,98.00,3.00
2026-03-16T20:36:00Z,98.00,3.19
2026-03-16T20:37:00Z,97.00,3.00
2026-03-16T20:38:00Z,97.09,2.89
2026-03-16T20:39:00Z,97.79,3.00
2026-03-16T20:40:00Z,97.45,1.97
2026-03-16T20:41:00Z,99.00,1.97
2026-03-16T20:42:00Z,98.66,1.00
2026-03-16T20:43:00Z,99.00,1.36
2026-03-16T20:44:00Z,98.85,1.00
2026-03-16T20:45:00Z,99.00,1.00
2026-03-16T20:46:00Z,99.00,1.00
2026-03-16T20:47:00Z,99.00,1.00
2026-03-16T20:48:00Z,99.00,1.00
2026-03-16T20:50:00Z,99.00,1.00
