# event_ticker=KXATPCHALLENGERMATCH-26MAR11BLAGOJ
# final_score=7-5 6-7(4) 6-4
# score_resolution=7-5 6-7 6-4
# match_winner=Borna Gojo
# fav_player=Borna Gojo
# dog_player=Geoffrey Blancaneaux
# kalshi_date=2026-03-11
timestamp,Borna Gojo,Geoffrey Blancaneaux
2026-03-11T05:05:00Z,71.00,
2026-03-11T05:59:00Z,73.00,
2026-03-11T06:01:00Z,75.94,
2026-03-11T06:03:00Z,76.00,
2026-03-11T06:05:00Z,76.00,
2026-03-11T06:13:00Z,76.00,
2026-03-11T08:28:00Z,76.00,
2026-03-11T09:01:00Z,77.00,
2026-03-11T09:27:00Z,73.00,29.15
2026-03-11T10:40:00Z,77.00,29.15
2026-03-11T10:43:00Z,77.00,29.15
2026-03-11T10:56:00Z,77.00,20.00
2026-03-11T10:58:00Z,78.00,20.00
2026-03-11T11:08:00Z,79.00,20.00
2026-03-11T11:09:00Z,79.00,20.00
2026-03-11T11:10:00Z,80.00,20.00
2026-03-11T11:11:00Z,80.00,20.00
2026-03-11T11:36:00Z,79.00,20.00
2026-03-11T11:38:00Z,79.00,24.00
2026-03-11T11:44:00Z,79.00,24.00
2026-03-11T11:57:00Z,79.00,24.00
2026-03-11T12:22:00Z,79.96,24.00
2026-03-11T12:24:00Z,79.96,24.00
2026-03-11T12:33:00Z,80.00,24.00
2026-03-11T12:34:00Z,80.00,24.00
2026-03-11T12:40:00Z,80.00,24.00
2026-03-11T13:30:00Z,80.00,24.00
2026-03-11T13:38:00Z,80.74,24.00
2026-03-11T13:39:00Z,81.00,24.00
2026-03-11T13:40:00Z,77.00,24.00
2026-03-11T13:44:00Z,77.00,22.00
2026-03-11T13:47:00Z,78.00,22.00
2026-03-11T13:55:00Z,78.00,22.00
2026-03-11T13:57:00Z,78.00,22.15
2026-03-11T14:02:00Z,79.00,22.15
2026-03-11T14:03:00Z,79.00,25.00
2026-03-11T14:12:00Z,79.00,25.00
2026-03-11T14:13:00Z,79.00,25.00
2026-03-11T14:17:00Z,79.00,25.00
2026-03-11T14:18:00Z,79.00,24.00
2026-03-11T14:21:00Z,79.00,24.00
2026-03-11T14:22:00Z,79.00,24.00
2026-03-11T14:24:00Z,79.00,24.00
2026-03-11T14:25:00Z,79.00,24.00
2026-03-11T14:28:00Z,79.00,24.00
2026-03-11T14:30:00Z,79.00,24.00
2026-03-11T14:34:00Z,79.00,24.00
2026-03-11T14:36:00Z,79.00,24.06
2026-03-11T14:37:00Z,79.00,25.00
2026-03-11T14:42:00Z,79.00,24.59
2026-03-11T14:43:00Z,79.00,24.00
2026-03-11T14:44:00Z,79.00,24.95
2026-03-11T14:45:00Z,79.00,25.00
2026-03-11T14:46:00Z,79.00,25.00
2026-03-11T14:47:00Z,78.00,25.00
2026-03-11T14:48:00Z,78.00,25.00
2026-03-11T14:51:00Z,78.00,25.00
2026-03-11T14:52:00Z,78.00,25.00
2026-03-11T14:54:00Z,78.00,25.00
2026-03-11T14:55:00Z,78.00,25.00
2026-03-11T14:56:00Z,78.00,25.00
2026-03-11T14:57:00Z,78.00,25.00
