# event_ticker=KXATPCHALLENGERMATCH-26APR07CHIMOC
# final_score=6-4 6-1
# match_winner=Clement Chidekh
# fav_player=Clement Chidekh
# dog_player=Yuki Mochizuki
# kalshi_date=2026-04-07
timestamp,Clement Chidekh,Yuki Mochizuki
2026-04-06T22:49:00Z,87.00,
2026-04-06T22:50:00Z,93.00,
2026-04-06T23:18:00Z,93.48,
2026-04-06T23:24:00Z,90.00,12.00
2026-04-06T23:25:00Z,90.00,12.00
2026-04-06T23:30:00Z,90.00,12.00
2026-04-07T00:10:00Z,91.00,12.00
2026-04-07T00:56:00Z,91.00,12.00
2026-04-07T01:01:00Z,91.00,12.22
2026-04-07T01:21:00Z,92.00,12.22
2026-04-07T01:31:00Z,92.00,19.00
2026-04-07T01:43:00Z,92.00,19.42
2026-04-07T02:19:00Z,92.00,12.46
2026-04-07T02:26:00Z,87.00,15.31
2026-04-07T02:37:00Z,87.00,12.00
2026-04-07T02:42:00Z,89.00,12.00
2026-04-07T03:06:00Z,89.00,11.00
2026-04-07T03:08:00Z,90.00,11.00
2026-04-07T03:12:00Z,90.00,11.00
2026-04-07T03:18:00Z,90.00,11.00
2026-04-07T03:27:00Z,90.00,11.76
2026-04-07T03:37:00Z,89.00,11.76
2026-04-07T03:51:00Z,89.00,11.00
2026-04-07T03:54:00Z,89.00,11.00
2026-04-07T03:55:00Z,89.00,10.00
2026-04-07T03:57:00Z,90.00,10.00
2026-04-07T03:58:00Z,90.00,11.00
2026-04-07T03:59:00Z,90.00,11.00
2026-04-07T04:02:00Z,90.00,11.00
2026-04-07T04:03:00Z,92.00,11.00
2026-04-07T04:05:00Z,92.00,11.00
2026-04-07T04:06:00Z,90.00,11.00
2026-04-07T04:07:00Z,92.00,11.00
2026-04-07T04:08:00Z,90.00,11.00
2026-04-07T04:09:00Z,90.00,11.00
2026-04-07T04:10:00Z,90.00,11.00
2026-04-07T04:11:00Z,90.00,11.00
2026-04-07T04:13:00Z,90.00,11.00
2026-04-07T04:14:00Z,90.00,11.00
2026-04-07T04:15:00Z,90.00,11.00
2026-04-07T04:20:00Z,90.00,11.00
2026-04-07T04:22:00Z,90.00,11.00
2026-04-07T04:32:00Z,92.00,11.00
2026-04-07T04:37:00Z,90.00,11.00
2026-04-07T04:42:00Z,91.00,11.00
2026-04-07T04:45:00Z,91.00,11.00
2026-04-07T04:54:00Z,91.00,10.00
2026-04-07T05:01:00Z,91.00,10.00
2026-04-07T05:02:00Z,91.00,10.00
2026-04-07T05:07:00Z,91.00,10.06
2026-04-07T05:13:00Z,91.00,11.00
2026-04-07T05:15:00Z,91.00,12.01
