# event_ticker=KXATPMATCH-26MAY06MARKOP
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Vit Kopriva
# fav_player=Fabian Marozsan
# dog_player=Vit Kopriva
# kalshi_date=2026-05-06
timestamp,Fabian Marozsan,Vit Kopriva
2026-05-05T21:24:00Z,,42.00
2026-05-05T21:32:00Z,60.00,42.00
2026-05-05T21:34:00Z,60.00,42.00
2026-05-05T21:37:00Z,60.00,42.00
2026-05-05T21:49:00Z,59.00,42.00
2026-05-05T22:09:00Z,59.00,42.00
2026-05-05T22:18:00Z,59.00,42.00
2026-05-05T22:30:00Z,59.00,42.00
2026-05-05T22:36:00Z,58.00,42.00
2026-05-05T22:47:00Z,59.00,42.00
2026-05-05T23:01:00Z,59.00,42.00
2026-05-05T23:02:00Z,59.00,42.00
2026-05-05T23:07:00Z,59.00,42.00
2026-05-05T23:14:00Z,59.00,42.00
2026-05-05T23:17:00Z,59.00,42.00
2026-05-05T23:19:00Z,59.00,42.00
2026-05-05T23:20:00Z,59.00,42.00
2026-05-05T23:25:00Z,59.00,42.00
2026-05-05T23:26:00Z,59.00,42.00
2026-05-05T23:30:00Z,59.00,42.00
2026-05-05T23:43:00Z,59.00,42.00
2026-05-05T23:54:00Z,59.00,42.00
2026-05-06T00:03:00Z,59.00,42.00
2026-05-06T00:10:00Z,59.00,42.00
2026-05-06T00:23:00Z,60.00,42.00
2026-05-06T00:25:00Z,60.00,42.00
2026-05-06T00:26:00Z,60.00,42.00
2026-05-06T00:32:00Z,60.00,42.00
2026-05-06T00:42:00Z,60.00,42.00
2026-05-06T01:14:00Z,60.00,42.00
2026-05-06T01:15:00Z,59.00,42.00
2026-05-06T01:39:00Z,59.00,42.17
2026-05-06T01:40:00Z,60.00,42.17
2026-05-06T01:42:00Z,60.00,43.00
2026-05-06T01:48:00Z,59.80,43.00
2026-05-06T01:49:00Z,59.80,41.00
2026-05-06T01:55:00Z,59.80,42.00
2026-05-06T01:56:00Z,60.00,42.00
2026-05-06T01:57:00Z,60.00,42.00
2026-05-06T02:04:00Z,60.00,43.00
2026-05-06T02:09:00Z,59.00,43.00
2026-05-06T02:10:00Z,59.00,43.00
2026-05-06T02:29:00Z,60.00,43.00
2026-05-06T02:39:00Z,60.00,43.00
2026-05-06T02:41:00Z,60.00,43.00
2026-05-06T02:46:00Z,60.00,42.00
2026-05-06T02:49:00Z,60.00,42.00
