# event_ticker=KXATPMATCH-25JUL28BELGAS
# final_score=3-6 6-4 2-0 RET
# match_winner=Hugo Gaston
# fav_player=Hugo Gaston
# dog_player=Mattia Bellucci
# kalshi_date=2025-07-28
timestamp,Hugo Gaston,Mattia Bellucci
2025-07-28T12:06:00Z,,66.00
2025-07-28T12:39:00Z,,67.00
2025-07-28T12:52:00Z,35.00,67.00
2025-07-28T12:55:00Z,35.00,67.00
2025-07-28T13:17:00Z,35.00,67.00
2025-07-28T14:28:00Z,35.00,67.00
2025-07-28T14:49:00Z,35.00,66.00
2025-07-28T15:08:00Z,34.00,66.00
2025-07-28T15:11:00Z,34.00,66.00
2025-07-28T15:26:00Z,34.00,66.00
2025-07-28T15:27:00Z,34.00,67.00
2025-07-28T15:35:00Z,34.00,67.00
2025-07-28T15:54:00Z,34.00,67.00
2025-07-28T16:32:00Z,34.00,67.00
2025-07-28T16:42:00Z,34.00,69.00
2025-07-28T16:46:00Z,34.00,69.00
2025-07-28T16:47:00Z,34.00,68.00
2025-07-28T16:48:00Z,35.00,68.00
2025-07-28T16:50:00Z,35.00,67.24
2025-07-28T16:53:00Z,35.00,67.24
2025-07-28T16:54:00Z,34.00,68.69
2025-07-28T16:55:00Z,34.00,65.00
2025-07-28T16:56:00Z,34.00,67.00
2025-07-28T16:58:00Z,34.00,68.49
2025-07-28T16:59:00Z,32.00,68.49
2025-07-28T17:00:00Z,32.00,74.80
2025-07-28T17:01:00Z,32.00,77.00
2025-07-28T17:02:00Z,32.00,77.20
2025-07-28T17:03:00Z,32.00,78.32
2025-07-28T17:04:00Z,32.00,81.00
2025-07-28T17:05:00Z,32.00,81.00
2025-07-28T17:06:00Z,32.00,82.00
2025-07-28T17:07:00Z,32.00,88.00
2025-07-28T17:08:00Z,15.19,88.00
2025-07-28T17:09:00Z,11.00,88.12
2025-07-28T17:10:00Z,14.00,88.12
2025-07-28T17:11:00Z,11.23,89.00
2025-07-28T17:12:00Z,11.00,94.50
2025-07-28T17:15:00Z,11.00,90.00
2025-07-28T17:16:00Z,11.00,87.85
2025-07-28T17:17:00Z,15.00,87.00
2025-07-28T17:18:00Z,15.00,86.00
2025-07-28T17:19:00Z,15.55,84.99
2025-07-28T17:20:00Z,19.17,84.99
2025-07-28T17:21:00Z,21.00,82.79
2025-07-28T17:22:00Z,21.00,84.00
2025-07-28T17:23:00Z,21.00,82.04
2025-07-28T17:26:00Z,16.00,86.00
2025-07-28T17:29:00Z,15.45,84.37
2025-07-28T17:30:00Z,15.45,86.31
2025-07-28T17:31:00Z,16.00,87.54
2025-07-28T17:32:00Z,15.00,87.54
2025-07-28T17:33:00Z,14.00,91.59
2025-07-28T17:36:00Z,13.77,91.59
2025-07-28T17:38:00Z,13.77,92.00
2025-07-28T17:40:00Z,13.77,90.56
2025-07-28T17:41:00Z,9.80,92.36
2025-07-28T17:42:00Z,10.00,91.00
2025-07-28T17:43:00Z,7.00,91.00
2025-07-28T17:45:00Z,7.00,93.00
2025-07-28T17:46:00Z,5.00,93.00
2025-07-28T17:47:00Z,5.52,93.00
2025-07-28T17:48:00Z,11.99,92.00
2025-07-28T17:49:00Z,10.00,91.00
2025-07-28T17:51:00Z,10.00,90.49
2025-07-28T17:53:00Z,10.00,80.47
2025-07-28T17:54:00Z,15.00,85.00
2025-07-28T17:55:00Z,16.00,84.00
2025-07-28T17:56:00Z,19.00,84.00
2025-07-28T17:57:00Z,17.00,84.00
2025-07-28T17:58:00Z,17.00,80.50
2025-07-28T17:59:00Z,26.00,80.50
2025-07-28T18:00:00Z,25.00,75.00
2025-07-28T18:01:00Z,28.97,75.00
2025-07-28T18:02:00Z,25.00,81.00
2025-07-28T18:03:00Z,25.00,81.00
2025-07-28T18:04:00Z,25.00,80.00
2025-07-28T18:05:00Z,21.43,80.00
2025-07-28T18:06:00Z,13.13,89.32
2025-07-28T18:07:00Z,13.13,86.89
2025-07-28T18:10:00Z,13.00,86.89
2025-07-28T18:11:00Z,13.62,87.32
2025-07-28T18:12:00Z,10.00,89.51
2025-07-28T18:13:00Z,10.00,93.00
2025-07-28T18:14:00Z,10.00,92.40
2025-07-28T18:15:00Z,9.00,92.40
2025-07-28T18:16:00Z,7.76,92.40
2025-07-28T18:17:00Z,5.90,91.31
2025-07-28T18:18:00Z,12.98,89.64
2025-07-28T18:19:00Z,9.25,91.00
2025-07-28T18:20:00Z,13.03,87.66
2025-07-28T18:21:00Z,12.16,89.00
2025-07-28T18:23:00Z,14.00,89.00
2025-07-28T18:24:00Z,17.73,83.00
2025-07-28T18:25:00Z,24.93,74.99
2025-07-28T18:26:00Z,28.83,68.13
2025-07-28T18:27:00Z,28.62,67.86
2025-07-28T18:28:00Z,34.00,54.00
2025-07-28T18:29:00Z,42.89,59.85
2025-07-28T18:30:00Z,34.45,59.61
2025-07-28T18:31:00Z,40.97,62.00
2025-07-28T18:32:00Z,36.14,62.00
2025-07-28T18:33:00Z,40.88,62.00
2025-07-28T18:34:00Z,40.90,61.00
2025-07-28T18:35:00Z,40.00,61.97
2025-07-28T18:36:00Z,40.00,63.00
2025-07-28T18:37:00Z,40.09,62.94
2025-07-28T18:38:00Z,39.66,63.33
2025-07-28T18:39:00Z,39.90,62.25
2025-07-28T18:40:00Z,46.09,51.09
2025-07-28T18:41:00Z,53.19,46.93
2025-07-28T18:42:00Z,55.21,45.99
2025-07-28T18:43:00Z,41.77,51.88
2025-07-28T18:44:00Z,47.47,57.57
2025-07-28T18:45:00Z,48.85,48.69
2025-07-28T18:46:00Z,53.13,47.55
2025-07-28T18:47:00Z,47.50,53.74
2025-07-28T18:48:00Z,61.23,40.32
2025-07-28T18:49:00Z,69.36,35.95
2025-07-28T18:50:00Z,82.13,36.18
2025-07-28T18:51:00Z,81.84,20.01
2025-07-28T18:52:00Z,97.23,4.05
2025-07-28T18:53:00Z,98.50,1.00
2025-07-28T18:54:00Z,99.00,1.00
2025-07-28T18:55:00Z,98.48,1.00
2025-07-28T18:56:00Z,98.00,1.00
2025-07-28T18:57:00Z,98.00,1.00
2025-07-28T18:58:00Z,98.00,1.00
2025-07-28T18:59:00Z,97.00,1.00
2025-07-28T19:00:00Z,97.00,1.00
2025-07-28T19:02:00Z,99.00,1.00
2025-07-28T19:04:00Z,99.00,1.00
2025-07-28T19:05:00Z,99.00,1.00
2025-07-28T19:06:00Z,99.00,1.00
2025-07-28T19:07:00Z,99.00,1.00
2025-07-28T19:11:00Z,99.00,1.00
2025-07-28T19:12:00Z,99.00,1.00
2025-07-28T19:14:00Z,99.00,1.00
2025-07-28T19:18:00Z,99.00,1.00
2025-07-28T19:20:00Z,99.00,1.00
2025-07-28T19:22:00Z,99.00,1.00
2025-07-28T19:25:00Z,99.00,1.00
2025-07-28T19:27:00Z,99.00,1.00
2025-07-28T19:34:00Z,99.00,1.00
2025-07-28T19:35:00Z,99.00,1.00
2025-07-28T19:36:00Z,99.00,1.00
2025-07-28T19:41:00Z,99.00,1.00
2025-07-28T19:42:00Z,99.00,1.00
2025-07-28T19:44:00Z,99.00,1.00
2025-07-28T19:47:00Z,99.00,1.00
2025-07-28T19:54:00Z,99.00,1.00
2025-07-28T20:00:00Z,99.00,1.00
2025-07-28T20:02:00Z,99.00,1.00
2025-07-28T20:08:00Z,99.00,1.00
2025-07-28T20:18:00Z,99.00,1.00
