# event_ticker=KXATPCHALLENGERMATCH-26MAY05GEEDIN
# final_score=6-2 6-7(6) 6-2
# score_resolution=6-2 6-7 6-2
# match_winner=Michael Geerts
# fav_player=Michael Geerts
# dog_player=Dinko Dinev
# kalshi_date=2026-05-05
timestamp,Michael Geerts,Dinko Dinev
2026-05-05T16:07:00Z,94.59,7.00
2026-05-05T16:08:00Z,95.00,5.02
2026-05-05T16:09:00Z,95.00,6.00
2026-05-05T16:10:00Z,95.00,5.21
2026-05-05T16:11:00Z,96.00,4.47
2026-05-05T16:12:00Z,95.14,5.74
2026-05-05T16:13:00Z,96.00,5.94
2026-05-05T16:14:00Z,96.00,6.00
2026-05-05T16:15:00Z,96.00,6.78
2026-05-05T16:16:00Z,95.00,5.27
2026-05-05T16:17:00Z,95.00,5.15
2026-05-05T16:18:00Z,96.29,5.00
2026-05-05T16:19:00Z,94.09,6.66
2026-05-05T16:20:00Z,94.00,7.00
2026-05-05T16:21:00Z,94.00,7.00
2026-05-05T16:22:00Z,94.70,6.97
2026-05-05T16:23:00Z,96.00,6.00
2026-05-05T16:24:00Z,94.00,5.37
2026-05-05T16:25:00Z,95.84,6.00
2026-05-05T16:26:00Z,96.00,6.75
2026-05-05T16:27:00Z,96.00,6.67
2026-05-05T16:28:00Z,93.19,6.89
2026-05-05T16:29:00Z,93.06,9.41
2026-05-05T16:30:00Z,94.00,6.09
2026-05-05T16:31:00Z,95.54,6.33
2026-05-05T16:32:00Z,94.92,5.69
2026-05-05T16:33:00Z,95.09,4.58
2026-05-05T16:34:00Z,94.36,6.95
2026-05-05T16:35:00Z,93.95,7.00
2026-05-05T16:36:00Z,94.00,7.00
2026-05-05T16:37:00Z,94.66,6.88
2026-05-05T16:38:00Z,94.96,6.08
2026-05-05T16:39:00Z,94.92,6.21
2026-05-05T16:40:00Z,93.00,7.14
2026-05-05T16:41:00Z,92.82,7.83
2026-05-05T16:42:00Z,94.26,6.49
2026-05-05T16:43:00Z,90.74,8.64
2026-05-05T16:44:00Z,89.77,9.57
2026-05-05T16:45:00Z,93.78,7.26
2026-05-05T16:46:00Z,94.00,6.46
2026-05-05T16:47:00Z,91.51,8.72
2026-05-05T16:48:00Z,90.19,10.01
2026-05-05T16:49:00Z,90.07,9.82
2026-05-05T16:50:00Z,89.25,12.12
2026-05-05T16:51:00Z,89.00,12.23
2026-05-05T16:52:00Z,90.00,10.49
2026-05-05T16:53:00Z,89.16,9.70
2026-05-05T16:54:00Z,88.48,11.22
2026-05-05T16:55:00Z,91.01,9.70
2026-05-05T16:56:00Z,91.19,9.37
2026-05-05T16:57:00Z,91.20,9.93
2026-05-05T16:58:00Z,91.00,13.08
2026-05-05T16:59:00Z,90.16,10.31
2026-05-05T17:00:00Z,91.38,10.94
2026-05-05T17:01:00Z,92.65,6.46
2026-05-05T17:02:00Z,89.37,11.03
2026-05-05T17:03:00Z,92.59,10.78
2026-05-05T17:04:00Z,87.61,12.67
2026-05-05T17:05:00Z,83.93,15.85
2026-05-05T17:06:00Z,83.77,18.21
2026-05-05T17:07:00Z,77.93,20.84
2026-05-05T17:08:00Z,77.82,28.06
2026-05-05T17:09:00Z,82.17,20.82
2026-05-05T17:10:00Z,83.02,18.37
2026-05-05T17:11:00Z,79.83,21.57
2026-05-05T17:12:00Z,77.94,23.78
2026-05-05T17:13:00Z,76.63,24.69
2026-05-05T17:14:00Z,75.53,23.95
2026-05-05T17:15:00Z,77.24,25.83
2026-05-05T17:16:00Z,75.19,26.47
2026-05-05T17:17:00Z,75.65,23.19
