# event_ticker=KXATPCHALLENGERMATCH-26MAR23CORLA
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Juan Manuel La Serna
# fav_player=Felix Corwin
# dog_player=Juan Manuel La Serna
# kalshi_date=2026-03-23
timestamp,Felix Corwin,Juan Manuel La Serna
2026-03-23T06:53:00Z,22.06,80.00
2026-03-23T07:44:00Z,22.06,80.00
2026-03-23T08:18:00Z,22.00,80.00
2026-03-23T08:25:00Z,22.00,80.00
2026-03-23T08:31:00Z,22.00,80.00
2026-03-23T09:34:00Z,22.00,80.00
2026-03-23T10:04:00Z,22.00,80.00
2026-03-23T10:08:00Z,22.00,80.00
2026-03-23T10:58:00Z,22.00,80.00
2026-03-23T11:10:00Z,22.00,80.00
2026-03-23T11:11:00Z,22.30,77.00
2026-03-23T11:15:00Z,25.00,77.00
2026-03-23T11:51:00Z,24.18,75.01
2026-03-23T12:55:00Z,27.00,73.00
2026-03-23T13:26:00Z,27.00,77.00
2026-03-23T14:28:00Z,27.00,77.00
2026-03-23T14:55:00Z,25.00,77.00
2026-03-23T15:21:00Z,24.00,77.00
2026-03-23T15:34:00Z,23.00,77.00
2026-03-23T15:57:00Z,23.00,77.00
2026-03-23T16:43:00Z,25.00,77.00
2026-03-23T16:49:00Z,25.00,77.00
2026-03-23T17:03:00Z,25.00,77.00
2026-03-23T17:09:00Z,25.00,77.00
2026-03-23T17:17:00Z,25.00,77.00
2026-03-23T17:34:00Z,25.00,77.00
2026-03-23T17:40:00Z,26.00,77.00
2026-03-23T17:55:00Z,26.00,77.00
2026-03-23T18:03:00Z,26.00,77.00
2026-03-23T18:12:00Z,26.00,77.00
2026-03-23T18:16:00Z,26.00,77.00
2026-03-23T18:17:00Z,26.00,77.00
2026-03-23T18:39:00Z,26.00,77.00
2026-03-23T18:42:00Z,26.00,77.00
2026-03-23T18:43:00Z,25.00,77.00
2026-03-23T18:44:00Z,25.00,77.00
2026-03-23T18:45:00Z,25.00,77.00
2026-03-23T18:47:00Z,25.00,78.50
2026-03-23T18:48:00Z,20.38,78.00
2026-03-23T18:49:00Z,17.00,78.00
2026-03-23T18:50:00Z,19.76,82.76
2026-03-23T18:51:00Z,22.39,78.89
2026-03-23T18:52:00Z,23.00,77.69
2026-03-23T18:53:00Z,23.00,78.00
2026-03-23T18:54:00Z,25.18,76.97
2026-03-23T18:55:00Z,25.00,75.00
2026-03-23T18:56:00Z,26.00,75.00
2026-03-23T18:57:00Z,29.20,74.50
2026-03-23T18:59:00Z,30.60,69.00
2026-03-23T19:00:00Z,32.68,67.67
2026-03-23T19:01:00Z,32.85,69.15
2026-03-23T19:02:00Z,29.00,68.13
2026-03-23T19:03:00Z,27.00,73.00
2026-03-23T19:04:00Z,26.55,74.00
2026-03-23T19:05:00Z,29.65,70.84
2026-03-23T19:06:00Z,30.22,72.00
2026-03-23T19:07:00Z,29.20,72.00
2026-03-23T19:08:00Z,25.00,76.00
2026-03-23T19:09:00Z,22.00,77.17
2026-03-23T19:10:00Z,23.00,79.00
2026-03-23T19:11:00Z,23.00,79.00
2026-03-23T19:12:00Z,20.00,78.00
2026-03-23T19:13:00Z,18.00,78.00
2026-03-23T19:14:00Z,16.45,85.00
2026-03-23T19:15:00Z,13.00,87.99
2026-03-23T19:16:00Z,12.00,89.00
2026-03-23T19:17:00Z,12.00,89.01
2026-03-23T19:18:00Z,12.95,88.00
2026-03-23T19:19:00Z,12.11,88.00
2026-03-23T19:20:00Z,11.25,89.01
2026-03-23T19:21:00Z,14.80,89.00
2026-03-23T19:22:00Z,11.01,90.10
2026-03-23T19:23:00Z,11.00,90.00
2026-03-23T19:25:00Z,10.00,91.00
2026-03-23T19:26:00Z,11.00,90.00
2026-03-23T19:27:00Z,12.00,89.00
2026-03-23T19:28:00Z,11.11,89.00
2026-03-23T19:29:00Z,10.09,90.00
2026-03-23T19:30:00Z,10.09,90.84
2026-03-23T19:32:00Z,10.00,90.35
2026-03-23T19:33:00Z,10.00,91.00
2026-03-23T19:34:00Z,10.00,91.00
2026-03-23T19:35:00Z,10.61,91.00
2026-03-23T19:36:00Z,13.00,88.99
2026-03-23T19:37:00Z,12.65,87.74
2026-03-23T19:38:00Z,12.65,87.44
2026-03-23T19:39:00Z,11.00,87.44
2026-03-23T19:40:00Z,11.00,90.95
2026-03-23T19:41:00Z,11.59,89.00
