# event_ticker=KXATPCHALLENGERMATCH-26MAY28MARSCH
# final_score=6-1 2-6 7-6(2)
# score_resolution=1-6 6-2 6-7
# match_winner=Pol Martin Tiffon
# fav_player=Joel Schwaerzler
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-05-28
timestamp,Pol Martin Tiffon,Joel Schwaerzler
2026-05-28T01:44:00Z,46.00,
2026-05-28T01:53:00Z,46.00,57.00
2026-05-28T03:56:00Z,46.00,57.00
2026-05-28T06:46:00Z,46.00,56.00
2026-05-28T09:51:00Z,46.00,56.00
2026-05-28T10:09:00Z,46.49,56.00
2026-05-28T10:14:00Z,44.28,56.00
2026-05-28T10:30:00Z,45.00,56.00
2026-05-28T11:57:00Z,45.00,56.00
2026-05-28T12:29:00Z,45.00,55.00
2026-05-28T12:52:00Z,45.85,55.00
2026-05-28T12:56:00Z,47.00,55.00
2026-05-28T13:04:00Z,47.00,55.00
2026-05-28T13:07:00Z,47.00,55.00
2026-05-28T13:22:00Z,47.00,55.00
2026-05-28T13:23:00Z,48.00,55.00
2026-05-28T13:28:00Z,48.00,55.00
2026-05-28T13:33:00Z,48.00,54.99
2026-05-28T13:34:00Z,48.00,54.99
2026-05-28T13:35:00Z,48.00,53.00
2026-05-28T13:36:00Z,46.83,53.76
2026-05-28T13:37:00Z,46.83,57.00
2026-05-28T13:38:00Z,46.83,59.69
2026-05-28T13:39:00Z,46.83,61.82
2026-05-28T13:40:00Z,39.00,63.00
2026-05-28T13:41:00Z,35.02,57.00
2026-05-28T13:42:00Z,45.17,59.00
2026-05-28T13:43:00Z,49.04,52.63
2026-05-28T13:44:00Z,56.76,49.00
2026-05-28T13:45:00Z,62.06,38.00
2026-05-28T13:46:00Z,63.02,38.00
2026-05-28T13:47:00Z,63.96,37.05
2026-05-28T13:48:00Z,63.96,38.27
2026-05-28T13:49:00Z,60.25,39.20
2026-05-28T13:50:00Z,61.67,39.20
2026-05-28T13:51:00Z,64.58,36.00
2026-05-28T13:52:00Z,68.00,36.00
2026-05-28T13:53:00Z,68.00,31.00
2026-05-28T13:54:00Z,70.00,31.49
2026-05-28T13:55:00Z,67.03,35.00
2026-05-28T13:56:00Z,68.08,32.00
2026-05-28T13:57:00Z,72.89,27.11
2026-05-28T13:58:00Z,75.00,25.00
2026-05-28T13:59:00Z,75.00,26.00
2026-05-28T14:00:00Z,75.13,27.05
2026-05-28T14:02:00Z,75.13,27.39
2026-05-28T14:03:00Z,73.00,27.39
2026-05-28T14:04:00Z,74.14,27.39
2026-05-28T14:05:00Z,86.59,17.47
2026-05-28T14:06:00Z,80.00,20.23
2026-05-28T14:07:00Z,80.34,20.23
2026-05-28T14:08:00Z,80.98,20.00
2026-05-28T14:09:00Z,80.98,20.00
2026-05-28T14:10:00Z,82.91,18.63
2026-05-28T14:11:00Z,82.91,24.55
2026-05-28T14:12:00Z,71.87,32.21
2026-05-28T14:13:00Z,67.51,33.88
2026-05-28T14:14:00Z,68.00,33.68
2026-05-28T14:15:00Z,71.97,31.72
2026-05-28T14:16:00Z,64.49,37.29
2026-05-28T14:17:00Z,65.00,37.94
2026-05-28T14:18:00Z,63.02,38.69
2026-05-28T14:19:00Z,64.78,36.03
2026-05-28T14:20:00Z,63.13,37.33
2026-05-28T14:21:00Z,65.00,37.00
2026-05-28T14:22:00Z,64.39,37.79
2026-05-28T14:23:00Z,64.39,41.64
2026-05-28T14:24:00Z,54.30,45.49
2026-05-28T14:25:00Z,56.52,44.94
2026-05-28T14:26:00Z,58.81,44.94
2026-05-28T14:27:00Z,56.76,44.21
2026-05-28T14:28:00Z,58.80,41.06
2026-05-28T14:29:00Z,56.33,46.12
2026-05-28T14:30:00Z,47.00,54.14
2026-05-28T14:31:00Z,48.00,53.00
2026-05-28T14:32:00Z,48.00,54.96
2026-05-28T14:33:00Z,42.07,55.58
2026-05-28T14:34:00Z,42.07,56.00
2026-05-28T14:35:00Z,44.00,56.00
2026-05-28T14:36:00Z,44.00,55.22
2026-05-28T14:37:00Z,44.00,56.67
2026-05-28T14:38:00Z,44.00,56.15
2026-05-28T14:39:00Z,46.00,55.00
2026-05-28T14:40:00Z,46.00,55.87
2026-05-28T14:41:00Z,45.00,56.35
2026-05-28T14:42:00Z,44.00,56.75
2026-05-28T14:43:00Z,43.72,56.92
2026-05-28T14:44:00Z,44.00,57.00
2026-05-28T14:45:00Z,44.00,56.95
2026-05-28T14:46:00Z,43.37,62.77
2026-05-28T14:47:00Z,34.38,67.86
2026-05-28T14:48:00Z,31.34,65.79
2026-05-28T14:49:00Z,42.35,60.33
2026-05-28T14:50:00Z,47.82,50.63
2026-05-28T14:51:00Z,50.38,51.00
2026-05-28T14:52:00Z,46.20,55.18
2026-05-28T14:53:00Z,47.31,55.08
2026-05-28T14:54:00Z,47.00,55.27
2026-05-28T14:55:00Z,49.15,55.30
2026-05-28T14:56:00Z,46.08,53.89
2026-05-28T14:57:00Z,44.42,54.15
2026-05-28T14:58:00Z,51.89,50.02
2026-05-28T14:59:00Z,53.00,49.04
2026-05-28T15:00:00Z,56.23,47.37
2026-05-28T15:01:00Z,61.78,38.03
2026-05-28T15:02:00Z,61.79,38.57
2026-05-28T15:03:00Z,81.28,19.77
2026-05-28T15:04:00Z,81.64,19.06
