# event_ticker=KXATPCHALLENGERMATCH-26MAY04RIGSWE
# final_score=6-0 7-6(5)
# score_resolution=0-6 6-7
# match_winner=Dane Sweeny
# fav_player=Rigele TE
# dog_player=Dane Sweeny
# kalshi_date=2026-05-04
timestamp,Rigele TE,Dane Sweeny
2026-05-04T01:02:00Z,,84.03
2026-05-04T01:46:00Z,15.00,84.03
2026-05-04T02:19:00Z,15.00,85.00
2026-05-04T02:30:00Z,15.00,85.00
2026-05-04T03:12:00Z,16.12,85.00
2026-05-04T03:13:00Z,17.00,85.00
2026-05-04T03:24:00Z,17.00,85.00
2026-05-04T03:31:00Z,17.00,84.00
2026-05-04T04:00:00Z,17.00,85.00
2026-05-04T04:13:00Z,17.00,85.97
2026-05-04T04:49:00Z,17.00,86.00
2026-05-04T04:52:00Z,16.00,86.00
2026-05-04T05:08:00Z,16.00,86.00
2026-05-04T05:17:00Z,16.00,86.00
2026-05-04T05:20:00Z,16.00,86.00
2026-05-04T05:35:00Z,16.00,84.00
2026-05-04T06:20:00Z,16.00,85.00
2026-05-04T06:25:00Z,16.00,85.00
2026-05-04T06:39:00Z,16.00,85.00
2026-05-04T07:04:00Z,16.00,85.00
2026-05-04T07:09:00Z,16.00,85.00
2026-05-04T07:31:00Z,16.00,86.00
2026-05-04T08:40:00Z,16.00,86.00
2026-05-04T09:19:00Z,16.00,86.00
2026-05-04T09:32:00Z,16.00,86.00
2026-05-04T10:14:00Z,16.00,86.00
2026-05-04T10:32:00Z,15.00,86.00
2026-05-04T10:44:00Z,15.00,86.00
2026-05-04T10:45:00Z,15.00,86.00
2026-05-04T10:47:00Z,15.00,86.00
2026-05-04T10:55:00Z,15.00,86.00
2026-05-04T10:56:00Z,15.00,86.00
2026-05-04T11:13:00Z,15.00,87.00
2026-05-04T11:22:00Z,15.00,87.00
2026-05-04T11:23:00Z,15.00,87.00
2026-05-04T11:25:00Z,15.00,87.24
2026-05-04T11:26:00Z,15.00,87.24
2026-05-04T11:27:00Z,15.92,87.00
2026-05-04T11:28:00Z,15.92,87.00
2026-05-04T11:29:00Z,13.00,89.00
2026-05-04T11:30:00Z,13.00,89.00
2026-05-04T11:31:00Z,13.64,89.00
2026-05-04T11:32:00Z,13.64,89.00
2026-05-04T11:33:00Z,12.00,89.00
2026-05-04T11:35:00Z,8.06,93.00
2026-05-04T11:36:00Z,7.00,93.00
2026-05-04T11:37:00Z,7.00,94.00
2026-05-04T11:39:00Z,7.00,94.00
2026-05-04T11:40:00Z,6.00,94.00
2026-05-04T11:42:00Z,14.39,95.73
2026-05-04T11:43:00Z,21.12,83.99
2026-05-04T11:44:00Z,24.26,81.07
2026-05-04T11:45:00Z,10.63,89.00
2026-05-04T11:46:00Z,6.05,93.00
2026-05-04T11:47:00Z,5.20,93.00
2026-05-04T11:48:00Z,5.98,93.00
2026-05-04T11:49:00Z,4.00,93.00
2026-05-04T11:50:00Z,5.52,95.04
2026-05-04T11:51:00Z,5.00,96.00
2026-05-04T11:52:00Z,5.00,96.91
2026-05-04T11:53:00Z,5.00,96.91
2026-05-04T11:54:00Z,5.00,96.91
2026-05-04T11:55:00Z,5.00,96.00
2026-05-04T11:56:00Z,3.33,96.00
2026-05-04T11:57:00Z,3.33,97.00
2026-05-04T11:58:00Z,4.00,96.00
2026-05-04T11:59:00Z,4.00,97.00
2026-05-04T12:00:00Z,4.00,97.00
2026-05-04T12:01:00Z,3.00,97.00
2026-05-04T12:02:00Z,3.58,97.00
2026-05-04T12:03:00Z,3.00,97.00
2026-05-04T12:04:00Z,2.00,97.00
2026-05-04T12:05:00Z,3.00,97.00
2026-05-04T12:06:00Z,3.00,99.00
2026-05-04T12:07:00Z,2.35,99.00
2026-05-04T12:08:00Z,3.00,99.00
2026-05-04T12:09:00Z,3.00,99.00
2026-05-04T12:12:00Z,2.00,99.00
2026-05-04T12:15:00Z,1.25,99.00
2026-05-04T12:16:00Z,3.06,98.00
2026-05-04T12:17:00Z,4.52,95.00
2026-05-04T12:18:00Z,6.00,95.00
2026-05-04T12:19:00Z,5.75,95.00
2026-05-04T12:20:00Z,5.97,95.00
2026-05-04T12:21:00Z,7.35,95.00
2026-05-04T12:22:00Z,6.00,95.00
2026-05-04T12:23:00Z,6.00,95.00
2026-05-04T12:24:00Z,6.33,94.00
2026-05-04T12:25:00Z,7.21,94.00
2026-05-04T12:26:00Z,7.79,94.00
2026-05-04T12:27:00Z,8.31,92.00
2026-05-04T12:28:00Z,8.72,92.14
2026-05-04T12:29:00Z,7.95,92.14
2026-05-04T12:30:00Z,6.94,94.00
2026-05-04T12:31:00Z,8.00,94.00
2026-05-04T12:32:00Z,6.44,94.00
2026-05-04T12:33:00Z,5.24,95.29
2026-05-04T12:34:00Z,5.09,96.27
2026-05-04T12:35:00Z,3.37,96.27
2026-05-04T12:36:00Z,2.45,98.00
2026-05-04T12:37:00Z,3.00,96.00
2026-05-04T12:38:00Z,3.00,98.00
2026-05-04T12:39:00Z,3.17,98.00
2026-05-04T12:40:00Z,1.88,98.00
2026-05-04T12:41:00Z,3.99,98.00
2026-05-04T12:42:00Z,3.99,96.00
2026-05-04T12:43:00Z,3.98,96.00
2026-05-04T12:44:00Z,3.23,97.96
2026-05-04T12:45:00Z,4.00,97.96
2026-05-04T12:46:00Z,4.00,97.96
2026-05-04T12:48:00Z,1.04,98.00
2026-05-04T12:49:00Z,1.01,99.00
2026-05-04T12:50:00Z,3.50,97.00
2026-05-04T12:51:00Z,3.00,97.19
2026-05-04T12:52:00Z,4.63,97.00
2026-05-04T12:53:00Z,3.11,96.98
2026-05-04T12:54:00Z,5.00,96.00
2026-05-04T12:55:00Z,4.94,97.00
2026-05-04T12:56:00Z,5.00,97.00
2026-05-04T12:57:00Z,6.93,97.00
2026-05-04T12:58:00Z,6.33,93.01
2026-05-04T12:59:00Z,6.79,93.80
2026-05-04T13:00:00Z,12.75,90.48
2026-05-04T13:01:00Z,15.00,86.00
2026-05-04T13:02:00Z,12.88,87.01
2026-05-04T13:03:00Z,7.93,88.24
2026-05-04T13:04:00Z,8.63,92.07
2026-05-04T13:05:00Z,11.08,92.11
2026-05-04T13:06:00Z,6.27,95.42
2026-05-04T13:07:00Z,4.33,96.00
2026-05-04T13:08:00Z,5.00,95.00
2026-05-04T13:09:00Z,3.85,97.26
2026-05-04T13:10:00Z,7.04,94.01
2026-05-04T13:11:00Z,7.08,95.10
2026-05-04T13:12:00Z,7.82,93.27
2026-05-04T13:13:00Z,8.00,92.83
2026-05-04T13:14:00Z,3.91,96.77
2026-05-04T13:15:00Z,2.12,98.76
2026-05-04T13:16:00Z,1.00,99.00
2026-05-04T13:17:00Z,1.00,99.00
2026-05-04T13:19:00Z,1.00,99.00
