# event_ticker=KXATPCHALLENGERMATCH-26MAR03PARVIR
# final_score=6-4 1-6 7-6(2)
# score_resolution=4-6 6-1 6-7
# match_winner=Otto Virtanen
# fav_player=Tom Paris
# dog_player=Otto Virtanen
# kalshi_date=2026-03-03
timestamp,Tom Paris,Otto Virtanen
2026-03-03T12:06:00Z,19.00,
2026-03-03T13:43:00Z,19.00,81.00
2026-03-03T13:48:00Z,19.00,82.00
2026-03-03T14:32:00Z,19.00,83.00
2026-03-03T14:33:00Z,19.00,84.00
2026-03-03T14:43:00Z,19.00,84.00
2026-03-03T14:48:00Z,18.00,84.00
2026-03-03T15:12:00Z,18.00,84.00
2026-03-03T15:13:00Z,18.00,84.00
2026-03-03T15:25:00Z,18.00,84.00
2026-03-03T15:46:00Z,18.00,84.00
2026-03-03T16:12:00Z,18.00,84.00
2026-03-03T16:15:00Z,18.00,83.00
2026-03-03T16:20:00Z,18.00,84.00
2026-03-03T16:26:00Z,18.00,84.00
2026-03-03T16:34:00Z,17.00,84.00
2026-03-03T16:35:00Z,17.00,84.00
2026-03-03T17:18:00Z,17.00,84.00
2026-03-03T17:21:00Z,17.00,84.00
2026-03-03T17:23:00Z,17.00,84.00
2026-03-03T17:24:00Z,17.00,84.00
2026-03-03T17:27:00Z,17.00,84.00
2026-03-03T17:32:00Z,17.00,84.00
2026-03-03T17:33:00Z,17.00,84.00
2026-03-03T17:36:00Z,17.00,84.00
2026-03-03T17:40:00Z,17.00,84.00
2026-03-03T17:41:00Z,17.00,84.00
2026-03-03T17:42:00Z,17.00,84.00
2026-03-03T17:44:00Z,17.00,84.00
2026-03-03T17:46:00Z,16.19,84.00
2026-03-03T17:57:00Z,17.00,84.00
2026-03-03T17:58:00Z,17.00,84.00
2026-03-03T18:01:00Z,17.00,84.00
2026-03-03T18:04:00Z,17.00,84.00
2026-03-03T18:07:00Z,17.00,84.00
2026-03-03T18:13:00Z,17.00,84.00
2026-03-03T18:19:00Z,16.21,83.00
2026-03-03T18:21:00Z,17.00,83.00
2026-03-03T18:22:00Z,17.00,83.00
2026-03-03T18:23:00Z,17.00,84.00
2026-03-03T18:25:00Z,17.00,83.00
2026-03-03T18:32:00Z,18.00,83.00
2026-03-03T18:33:00Z,18.00,83.00
2026-03-03T18:34:00Z,18.00,83.00
2026-03-03T18:38:00Z,18.00,83.00
2026-03-03T18:41:00Z,18.00,83.00
2026-03-03T18:42:00Z,18.00,83.00
2026-03-03T18:43:00Z,18.00,83.00
2026-03-03T18:44:00Z,18.00,83.00
2026-03-03T18:45:00Z,18.22,81.92
2026-03-03T18:46:00Z,16.22,83.73
2026-03-03T18:47:00Z,14.01,84.99
2026-03-03T18:48:00Z,13.30,85.86
2026-03-03T18:49:00Z,20.00,81.00
2026-03-03T18:50:00Z,18.56,82.39
2026-03-03T18:51:00Z,19.00,81.75
2026-03-03T18:52:00Z,14.14,84.36
2026-03-03T18:53:00Z,15.12,87.05
2026-03-03T18:54:00Z,16.07,83.18
2026-03-03T18:55:00Z,16.07,83.89
2026-03-03T18:56:00Z,15.97,84.92
2026-03-03T18:57:00Z,13.05,87.00
2026-03-03T18:58:00Z,16.14,85.00
2026-03-03T18:59:00Z,16.05,85.00
2026-03-03T19:00:00Z,17.79,83.91
2026-03-03T19:01:00Z,19.00,83.96
2026-03-03T19:02:00Z,17.94,84.00
2026-03-03T19:03:00Z,16.62,84.00
2026-03-03T19:04:00Z,16.30,85.00
2026-03-03T19:05:00Z,17.51,83.48
2026-03-03T19:06:00Z,20.28,81.00
2026-03-03T19:07:00Z,19.99,82.00
2026-03-03T19:08:00Z,20.00,82.00
2026-03-03T19:09:00Z,21.63,81.09
2026-03-03T19:10:00Z,19.96,82.00
2026-03-03T19:11:00Z,19.95,83.00
2026-03-03T19:12:00Z,19.33,84.00
2026-03-03T19:13:00Z,16.95,85.71
2026-03-03T19:14:00Z,8.81,90.18
2026-03-03T19:15:00Z,8.00,92.08
2026-03-03T19:16:00Z,6.39,93.88
2026-03-03T19:17:00Z,7.09,93.28
2026-03-03T19:18:00Z,7.00,94.00
2026-03-03T19:19:00Z,8.02,93.94
2026-03-03T19:20:00Z,7.09,93.85
2026-03-03T19:21:00Z,8.00,92.38
2026-03-03T19:22:00Z,8.00,94.00
2026-03-03T19:23:00Z,8.95,92.68
2026-03-03T19:24:00Z,7.28,94.00
2026-03-03T19:25:00Z,6.26,94.01
2026-03-03T19:26:00Z,6.41,94.01
2026-03-03T19:27:00Z,8.32,91.00
2026-03-03T19:28:00Z,9.05,91.93
2026-03-03T19:29:00Z,12.49,89.30
2026-03-03T19:30:00Z,19.70,85.96
2026-03-03T19:31:00Z,19.57,81.17
2026-03-03T19:32:00Z,20.05,79.69
2026-03-03T19:33:00Z,23.53,77.76
2026-03-03T19:34:00Z,23.94,76.25
2026-03-03T19:35:00Z,22.52,77.60
2026-03-03T19:36:00Z,24.60,76.81
2026-03-03T19:37:00Z,25.55,76.34
2026-03-03T19:38:00Z,23.76,77.00
2026-03-03T19:39:00Z,20.00,78.29
2026-03-03T19:40:00Z,23.68,78.03
2026-03-03T19:41:00Z,24.29,77.39
2026-03-03T19:42:00Z,25.12,73.56
2026-03-03T19:43:00Z,27.43,73.95
2026-03-03T19:44:00Z,31.96,70.07
2026-03-03T19:45:00Z,33.88,68.42
2026-03-03T19:46:00Z,37.17,64.53
2026-03-03T19:47:00Z,38.12,61.62
