# event_ticker=KXATPCHALLENGERMATCH-26APR13ECHROD
# final_score=6-4 7-6(4)
# score_resolution=4-6 6-7
# match_winner=Moez Echargui
# fav_player=Chris Rodesch
# dog_player=Moez Echargui
# kalshi_date=2026-04-13
timestamp,Chris Rodesch,Moez Echargui
2026-04-13T02:33:00Z,,27.00
2026-04-13T02:35:00Z,76.00,27.00
2026-04-13T02:54:00Z,75.00,27.00
2026-04-13T02:56:00Z,75.00,27.00
2026-04-13T02:58:00Z,75.00,27.00
2026-04-13T03:06:00Z,75.00,27.00
2026-04-13T03:19:00Z,76.00,27.00
2026-04-13T04:42:00Z,76.00,27.00
2026-04-13T05:28:00Z,76.00,24.00
2026-04-13T05:29:00Z,76.00,24.00
2026-04-13T05:33:00Z,76.00,27.00
2026-04-13T07:02:00Z,76.00,26.00
2026-04-13T08:33:00Z,76.00,26.00
2026-04-13T08:59:00Z,74.89,26.00
2026-04-13T11:01:00Z,74.89,24.00
2026-04-13T11:13:00Z,75.42,24.00
2026-04-13T11:31:00Z,75.42,25.00
2026-04-13T11:33:00Z,76.00,25.00
2026-04-13T12:18:00Z,75.00,25.00
2026-04-13T12:56:00Z,76.00,25.00
2026-04-13T13:06:00Z,76.00,26.00
2026-04-13T13:12:00Z,74.62,26.00
2026-04-13T13:16:00Z,75.00,26.00
2026-04-13T13:17:00Z,75.00,26.00
2026-04-13T13:18:00Z,75.00,26.00
2026-04-13T13:19:00Z,75.00,27.00
2026-04-13T13:23:00Z,75.00,27.00
2026-04-13T13:24:00Z,75.00,27.00
2026-04-13T13:25:00Z,75.00,27.00
2026-04-13T13:31:00Z,75.00,27.00
2026-04-13T13:32:00Z,75.00,27.00
2026-04-13T13:34:00Z,75.00,27.00
2026-04-13T13:35:00Z,75.00,27.00
2026-04-13T13:36:00Z,74.00,27.12
2026-04-13T13:38:00Z,74.00,27.63
2026-04-13T13:39:00Z,74.00,28.92
2026-04-13T13:40:00Z,76.00,25.76
2026-04-13T13:41:00Z,76.00,24.00
2026-04-13T13:43:00Z,78.00,24.00
2026-04-13T13:44:00Z,79.58,23.00
2026-04-13T13:45:00Z,80.13,19.00
2026-04-13T13:46:00Z,84.46,19.00
2026-04-13T13:47:00Z,80.13,20.73
2026-04-13T13:48:00Z,76.00,21.90
2026-04-13T13:49:00Z,76.00,26.27
2026-04-13T13:50:00Z,74.09,26.63
2026-04-13T13:51:00Z,70.02,30.20
2026-04-13T13:52:00Z,63.69,37.23
2026-04-13T13:53:00Z,61.00,41.00
2026-04-13T13:54:00Z,64.18,39.69
2026-04-13T13:55:00Z,71.72,35.86
2026-04-13T13:56:00Z,72.98,27.26
2026-04-13T13:57:00Z,72.03,29.91
2026-04-13T13:58:00Z,67.33,31.52
2026-04-13T13:59:00Z,63.05,38.97
2026-04-13T14:00:00Z,60.13,42.94
2026-04-13T14:01:00Z,57.14,45.83
2026-04-13T14:02:00Z,52.83,49.28
2026-04-13T14:03:00Z,53.46,48.98
2026-04-13T14:04:00Z,53.97,48.33
2026-04-13T14:05:00Z,49.96,51.88
2026-04-13T14:06:00Z,51.92,50.82
2026-04-13T14:07:00Z,54.84,48.18
2026-04-13T14:08:00Z,51.66,48.71
2026-04-13T14:09:00Z,50.63,51.23
2026-04-13T14:10:00Z,53.22,44.69
2026-04-13T14:11:00Z,56.86,43.99
2026-04-13T14:12:00Z,59.98,39.84
2026-04-13T14:13:00Z,65.01,35.08
2026-04-13T14:14:00Z,59.56,39.08
2026-04-13T14:15:00Z,58.87,45.27
2026-04-13T14:16:00Z,56.39,43.40
