# event_ticker=KXATPCHALLENGERMATCH-26FEB17SKAHEM
# final_score=6-1 6-3
# score_resolution=1-6 3-6
# match_winner=Timofey Skatov
# fav_player=Calvin Hemery
# dog_player=Timofey Skatov
# kalshi_date=2026-02-17
timestamp,Calvin Hemery,Timofey Skatov
2026-02-17T04:37:00Z,79.00,
2026-02-17T10:22:00Z,65.00,
2026-02-17T10:31:00Z,65.00,54.00
2026-02-17T10:39:00Z,75.00,54.00
2026-02-17T10:42:00Z,52.71,54.00
2026-02-17T10:44:00Z,52.71,22.00
2026-02-17T10:49:00Z,74.61,22.00
2026-02-17T10:50:00Z,72.46,22.00
2026-02-17T10:54:00Z,54.14,22.00
2026-02-17T10:55:00Z,50.12,22.00
2026-02-17T10:56:00Z,50.12,56.99
2026-02-17T10:57:00Z,53.45,56.99
2026-02-17T11:00:00Z,58.00,56.99
2026-02-17T11:01:00Z,64.24,56.99
2026-02-17T11:07:00Z,58.00,56.99
2026-02-17T11:12:00Z,39.98,61.00
2026-02-17T11:13:00Z,37.00,64.33
2026-02-17T11:14:00Z,37.00,55.83
2026-02-17T11:15:00Z,37.00,65.00
2026-02-17T11:16:00Z,32.00,71.00
2026-02-17T11:17:00Z,32.00,71.00
2026-02-17T11:18:00Z,32.00,72.93
2026-02-17T11:19:00Z,32.00,72.00
2026-02-17T11:20:00Z,30.57,73.00
2026-02-17T11:21:00Z,33.00,73.00
2026-02-17T11:22:00Z,25.00,77.74
2026-02-17T11:23:00Z,25.00,79.00
2026-02-17T11:25:00Z,34.67,76.00
2026-02-17T11:26:00Z,34.67,77.00
2026-02-17T11:27:00Z,33.00,77.00
2026-02-17T11:28:00Z,27.00,77.00
2026-02-17T11:29:00Z,27.00,79.00
2026-02-17T11:30:00Z,27.00,78.00
2026-02-17T11:31:00Z,25.00,78.00
2026-02-17T11:32:00Z,25.64,80.00
2026-02-17T11:33:00Z,25.59,80.01
2026-02-17T11:34:00Z,22.57,81.40
2026-02-17T11:36:00Z,43.20,77.02
2026-02-17T11:37:00Z,30.87,74.00
2026-02-17T11:38:00Z,29.69,66.64
2026-02-17T11:39:00Z,29.69,76.00
2026-02-17T11:40:00Z,28.00,76.60
2026-02-17T11:41:00Z,27.66,71.33
2026-02-17T11:42:00Z,27.66,75.00
2026-02-17T11:43:00Z,26.11,75.00
2026-02-17T11:44:00Z,24.59,75.00
2026-02-17T11:45:00Z,30.26,75.00
2026-02-17T11:46:00Z,30.80,71.50
2026-02-17T11:47:00Z,30.80,75.38
2026-02-17T11:48:00Z,25.00,78.91
2026-02-17T11:49:00Z,25.00,78.32
2026-02-17T11:52:00Z,40.47,77.20
2026-02-17T11:53:00Z,40.47,77.00
2026-02-17T11:54:00Z,39.09,70.90
2026-02-17T11:55:00Z,44.92,68.00
2026-02-17T11:56:00Z,29.93,68.00
2026-02-17T11:57:00Z,29.00,76.00
2026-02-17T11:59:00Z,20.99,79.46
2026-02-17T12:00:00Z,12.09,88.45
2026-02-17T12:01:00Z,12.09,94.00
2026-02-17T12:02:00Z,7.04,94.66
2026-02-17T12:03:00Z,6.09,94.00
2026-02-17T12:04:00Z,6.09,95.67
2026-02-17T12:05:00Z,6.95,95.86
2026-02-17T12:06:00Z,4.17,96.60
2026-02-17T12:07:00Z,2.00,97.44
2026-02-17T12:08:00Z,1.70,99.00
2026-02-17T12:09:00Z,1.70,99.00
2026-02-17T12:10:00Z,1.70,99.00
