# event_ticker=KXATPCHALLENGERMATCH-26MAY06HEMBEN
# final_score=4-6 6-4 6-3
# score_resolution=6-4 4-6 3-6
# match_winner=Calvin Hemery
# fav_player=Reda Bennani
# dog_player=Calvin Hemery
# kalshi_date=2026-05-06
timestamp,Calvin Hemery,Reda Bennani
2026-05-06T06:02:00Z,,25.00
2026-05-06T08:17:00Z,78.00,25.00
2026-05-06T08:31:00Z,78.00,25.00
2026-05-06T10:37:00Z,78.00,24.00
2026-05-06T11:53:00Z,78.00,24.00
2026-05-06T13:04:00Z,78.00,24.00
2026-05-06T13:21:00Z,78.00,24.00
2026-05-06T13:34:00Z,78.00,24.00
2026-05-06T14:34:00Z,78.00,24.00
2026-05-06T14:39:00Z,78.00,23.00
2026-05-06T14:48:00Z,78.00,23.00
2026-05-06T14:58:00Z,78.00,23.00
2026-05-06T15:05:00Z,78.00,23.00
2026-05-06T15:13:00Z,78.00,22.00
2026-05-06T15:31:00Z,78.00,23.00
2026-05-06T15:36:00Z,78.00,23.00
2026-05-06T15:58:00Z,78.00,23.00
2026-05-06T16:07:00Z,78.00,23.00
2026-05-06T16:16:00Z,78.00,22.00
2026-05-06T16:23:00Z,78.00,22.00
2026-05-06T16:27:00Z,78.00,25.00
2026-05-06T16:29:00Z,78.00,25.00
2026-05-06T16:30:00Z,78.00,25.00
2026-05-06T16:31:00Z,80.00,25.00
2026-05-06T16:32:00Z,80.00,25.00
2026-05-06T16:33:00Z,80.00,25.00
2026-05-06T16:37:00Z,77.00,25.00
2026-05-06T16:38:00Z,80.00,25.41
2026-05-06T16:41:00Z,76.11,24.13
2026-05-06T16:42:00Z,71.21,27.67
2026-05-06T16:43:00Z,67.00,33.48
2026-05-06T16:44:00Z,65.00,36.92
2026-05-06T16:45:00Z,61.17,39.76
2026-05-06T16:46:00Z,59.23,41.00
2026-05-06T16:47:00Z,61.00,41.00
2026-05-06T16:48:00Z,61.00,41.00
2026-05-06T16:49:00Z,61.84,39.23
2026-05-06T16:50:00Z,60.96,40.00
2026-05-06T16:51:00Z,60.01,40.21
2026-05-06T16:52:00Z,61.15,39.00
