# event_ticker=KXATPMATCH-26JUN10MPEONC
# final_score=7-6(1) 6-2
# score_resolution=7-6 6-2
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Gauthier Onclin
# kalshi_date=2026-06-10
timestamp,Giovanni Mpetshi Perricard,Gauthier Onclin
2026-06-09T21:25:00Z,62.96,
2026-06-09T21:36:00Z,62.00,
2026-06-09T21:41:00Z,62.00,
2026-06-09T21:42:00Z,62.00,
2026-06-09T22:02:00Z,62.00,39.00
2026-06-09T22:06:00Z,62.00,39.00
2026-06-09T22:08:00Z,62.00,39.00
2026-06-09T22:09:00Z,63.00,39.00
2026-06-09T22:13:00Z,63.00,39.00
2026-06-09T22:24:00Z,63.00,39.00
2026-06-09T22:25:00Z,63.00,39.00
2026-06-09T22:27:00Z,63.00,39.00
2026-06-09T22:31:00Z,63.00,39.00
2026-06-09T22:33:00Z,63.00,39.00
2026-06-09T22:45:00Z,63.00,39.00
2026-06-09T22:46:00Z,63.00,39.00
2026-06-09T22:47:00Z,63.00,38.00
2026-06-09T22:50:00Z,63.00,39.00
2026-06-09T22:52:00Z,63.00,39.00
2026-06-09T22:58:00Z,63.00,37.03
2026-06-09T23:08:00Z,63.00,38.00
2026-06-09T23:10:00Z,63.00,38.00
2026-06-09T23:16:00Z,63.00,38.00
2026-06-09T23:46:00Z,63.00,38.00
2026-06-09T23:51:00Z,63.00,38.00
2026-06-09T23:52:00Z,63.00,38.00
2026-06-10T00:10:00Z,64.00,38.00
2026-06-10T00:27:00Z,64.00,38.00
2026-06-10T00:30:00Z,64.00,38.00
2026-06-10T00:32:00Z,64.00,38.00
2026-06-10T00:35:00Z,64.00,38.00
2026-06-10T00:38:00Z,64.00,38.00
2026-06-10T00:42:00Z,64.00,38.00
2026-06-10T00:47:00Z,64.00,36.12
2026-06-10T00:55:00Z,64.00,38.00
2026-06-10T00:58:00Z,64.00,38.00
2026-06-10T01:06:00Z,64.00,38.00
2026-06-10T01:10:00Z,64.00,38.00
2026-06-10T01:13:00Z,64.00,38.00
2026-06-10T01:14:00Z,62.00,38.00
2026-06-10T01:16:00Z,64.00,38.00
2026-06-10T01:19:00Z,64.00,38.00
2026-06-10T01:22:00Z,64.00,38.00
2026-06-10T01:29:00Z,64.00,38.00
2026-06-10T01:30:00Z,64.00,38.00
2026-06-10T01:37:00Z,63.00,38.00
2026-06-10T01:39:00Z,63.00,38.00
2026-06-10T01:53:00Z,63.00,38.00
2026-06-10T02:01:00Z,63.00,38.00
2026-06-10T02:04:00Z,63.00,38.00
2026-06-10T02:08:00Z,63.00,38.00
2026-06-10T02:09:00Z,63.00,38.00
2026-06-10T02:13:00Z,63.00,38.00
2026-06-10T02:14:00Z,63.00,38.00
2026-06-10T02:19:00Z,63.00,38.00
2026-06-10T02:20:00Z,63.00,38.00
2026-06-10T02:22:00Z,63.00,38.00
2026-06-10T02:27:00Z,63.00,38.00
2026-06-10T02:32:00Z,63.00,38.00
2026-06-10T02:34:00Z,63.00,38.00
2026-06-10T02:37:00Z,63.00,38.00
2026-06-10T02:38:00Z,63.00,38.00
2026-06-10T02:42:00Z,63.00,38.00
2026-06-10T02:45:00Z,63.00,38.00
2026-06-10T02:46:00Z,63.00,38.00
2026-06-10T02:48:00Z,63.00,38.00
2026-06-10T02:56:00Z,63.00,38.00
2026-06-10T03:05:00Z,63.86,38.00
2026-06-10T03:06:00Z,63.03,38.00
2026-06-10T03:07:00Z,63.00,38.00
2026-06-10T03:10:00Z,63.86,38.00
2026-06-10T03:12:00Z,62.00,37.00
2026-06-10T03:14:00Z,63.00,37.00
2026-06-10T03:15:00Z,63.00,37.00
2026-06-10T03:17:00Z,64.88,37.53
2026-06-10T03:18:00Z,64.00,37.53
2026-06-10T03:23:00Z,64.00,37.53
2026-06-10T03:25:00Z,64.00,38.50
2026-06-10T03:30:00Z,64.00,38.50
2026-06-10T03:31:00Z,64.00,38.76
2026-06-10T03:32:00Z,64.00,38.76
2026-06-10T03:37:00Z,64.00,38.76
2026-06-10T03:39:00Z,64.37,38.00
2026-06-10T03:40:00Z,64.00,38.00
2026-06-10T03:41:00Z,64.00,38.00
2026-06-10T03:42:00Z,64.00,37.00
