# event_ticker=KXATPCHALLENGERMATCH-26FEB16RUBTOM
# final_score=7-6(6) 6-3
# score_resolution=6-7 3-6
# match_winner=Bernard Tomic
# fav_player=Alan Fernando Rubio Fierros
# dog_player=Bernard Tomic
# kalshi_date=2026-02-16
timestamp,Alan Fernando Rubio Fierros,Bernard Tomic
2026-02-16T11:30:00Z,11.00,86.32
2026-02-16T11:31:00Z,14.00,86.32
2026-02-16T12:52:00Z,12.00,86.32
2026-02-16T13:01:00Z,13.00,86.32
2026-02-16T13:15:00Z,13.00,86.00
2026-02-16T13:54:00Z,12.00,86.00
2026-02-16T14:05:00Z,12.00,86.00
2026-02-16T14:49:00Z,12.00,88.00
2026-02-16T14:57:00Z,12.00,88.00
2026-02-16T15:31:00Z,12.00,88.00
2026-02-16T15:35:00Z,12.00,88.00
2026-02-16T16:10:00Z,12.00,83.75
2026-02-16T16:11:00Z,12.00,85.00
2026-02-16T16:13:00Z,13.00,85.00
2026-02-16T16:15:00Z,13.00,85.00
2026-02-16T16:17:00Z,13.00,85.00
2026-02-16T16:19:00Z,13.00,85.00
2026-02-16T16:21:00Z,13.00,85.00
2026-02-16T16:22:00Z,13.00,85.00
2026-02-16T16:31:00Z,12.00,85.00
2026-02-16T16:32:00Z,12.00,85.00
2026-02-16T16:43:00Z,14.00,85.00
2026-02-16T17:02:00Z,14.00,85.00
2026-02-16T17:19:00Z,14.00,85.00
2026-02-16T18:05:00Z,15.00,85.00
2026-02-16T18:11:00Z,15.00,85.00
2026-02-16T18:17:00Z,15.00,87.00
2026-02-16T18:27:00Z,15.00,87.00
2026-02-16T19:15:00Z,15.00,86.00
2026-02-16T19:23:00Z,15.00,86.00
2026-02-16T19:24:00Z,15.00,86.00
2026-02-16T19:34:00Z,15.00,86.00
2026-02-16T19:44:00Z,15.00,86.00
2026-02-16T20:00:00Z,15.00,86.00
2026-02-16T20:02:00Z,15.00,86.00
2026-02-16T20:09:00Z,15.00,86.00
2026-02-16T20:15:00Z,15.00,86.00
2026-02-16T20:17:00Z,15.00,86.00
2026-02-16T20:29:00Z,15.00,86.00
2026-02-16T20:32:00Z,15.00,86.00
2026-02-16T20:37:00Z,15.00,86.00
2026-02-16T20:41:00Z,15.00,86.00
2026-02-16T20:54:00Z,15.00,86.00
2026-02-16T20:59:00Z,15.00,86.00
2026-02-16T21:01:00Z,15.00,86.00
2026-02-16T21:03:00Z,15.00,86.00
2026-02-16T21:14:00Z,15.00,86.00
2026-02-16T21:17:00Z,15.00,86.00
2026-02-16T21:23:00Z,14.66,86.00
2026-02-16T21:25:00Z,15.00,86.00
2026-02-16T21:30:00Z,15.00,86.00
2026-02-16T21:35:00Z,15.00,86.00
2026-02-16T21:37:00Z,15.00,86.00
2026-02-16T21:38:00Z,15.00,86.00
2026-02-16T21:39:00Z,15.00,86.00
2026-02-16T21:43:00Z,15.00,86.00
2026-02-16T21:48:00Z,15.00,86.00
2026-02-16T21:50:00Z,15.00,86.00
