# event_ticker=KXATPCHALLENGERMATCH-26MAY18BOIROD
# final_score=6-4 7-5
# score_resolution=4-6 5-7
# match_winner=Adrian Boitan
# fav_player=Santiago Rodriguez Taverna
# dog_player=Gabi Adrian Boitan
# kalshi_date=2026-05-18
timestamp,Gabi Adrian Boitan,Santiago Rodriguez Taverna
2026-05-18T06:00:00Z,58.00,
2026-05-18T12:54:00Z,58.00,44.00
2026-05-18T13:15:00Z,58.00,44.00
2026-05-18T13:21:00Z,58.00,44.00
2026-05-18T13:22:00Z,57.00,45.00
2026-05-18T13:31:00Z,57.00,45.00
2026-05-18T13:35:00Z,63.00,45.00
2026-05-18T13:36:00Z,63.00,45.00
2026-05-18T13:38:00Z,63.02,34.00
2026-05-18T13:41:00Z,56.25,34.00
2026-05-18T13:42:00Z,63.00,34.00
2026-05-18T13:45:00Z,64.73,34.00
2026-05-18T13:46:00Z,64.73,29.00
2026-05-18T13:47:00Z,70.83,29.00
2026-05-18T13:49:00Z,70.83,30.14
2026-05-18T13:50:00Z,70.83,33.00
2026-05-18T13:52:00Z,72.00,29.00
2026-05-18T13:54:00Z,72.00,28.00
2026-05-18T13:55:00Z,73.00,26.00
2026-05-18T13:56:00Z,72.00,26.00
2026-05-18T13:57:00Z,72.00,29.70
2026-05-18T14:02:00Z,72.00,29.70
2026-05-18T14:04:00Z,70.00,29.70
2026-05-18T14:05:00Z,70.00,32.00
2026-05-18T14:06:00Z,64.33,37.00
2026-05-18T14:07:00Z,56.36,41.96
2026-05-18T14:08:00Z,59.00,41.96
2026-05-18T14:09:00Z,60.85,39.00
2026-05-18T14:10:00Z,55.80,43.04
2026-05-18T14:11:00Z,59.00,43.04
2026-05-18T14:12:00Z,67.01,34.10
2026-05-18T14:13:00Z,70.00,34.10
2026-05-18T14:14:00Z,70.00,30.00
2026-05-18T14:15:00Z,75.00,30.00
2026-05-18T14:16:00Z,75.00,27.00
2026-05-18T14:17:00Z,73.63,27.00
2026-05-18T14:19:00Z,74.00,27.00
2026-05-18T14:20:00Z,73.00,27.00
2026-05-18T14:21:00Z,72.00,27.00
2026-05-18T14:22:00Z,72.00,27.00
2026-05-18T14:23:00Z,74.02,27.00
2026-05-18T14:24:00Z,78.00,27.00
2026-05-18T14:25:00Z,78.11,27.00
2026-05-18T14:26:00Z,80.00,22.29
2026-05-18T14:27:00Z,80.00,22.00
2026-05-18T14:28:00Z,80.00,22.00
2026-05-18T14:30:00Z,74.94,24.23
2026-05-18T14:31:00Z,76.75,24.14
2026-05-18T14:33:00Z,76.75,22.00
2026-05-18T14:34:00Z,78.00,24.13
2026-05-18T14:35:00Z,78.00,25.00
2026-05-18T14:36:00Z,75.36,25.00
2026-05-18T14:38:00Z,78.06,25.00
2026-05-18T14:39:00Z,80.17,20.04
2026-05-18T14:40:00Z,81.06,20.00
2026-05-18T14:41:00Z,87.24,16.60
2026-05-18T14:42:00Z,80.63,20.98
2026-05-18T14:43:00Z,78.11,23.30
2026-05-18T14:44:00Z,74.28,26.00
2026-05-18T14:45:00Z,72.00,26.00
2026-05-18T14:46:00Z,74.93,27.00
2026-05-18T14:47:00Z,77.00,27.00
2026-05-18T14:48:00Z,79.23,20.82
2026-05-18T14:49:00Z,77.18,20.00
2026-05-18T14:50:00Z,75.94,24.12
2026-05-18T14:51:00Z,75.94,25.44
2026-05-18T14:53:00Z,71.13,27.00
2026-05-18T14:54:00Z,60.24,38.38
2026-05-18T14:55:00Z,62.90,38.82
2026-05-18T14:56:00Z,69.72,32.04
2026-05-18T14:57:00Z,74.46,26.00
2026-05-18T14:58:00Z,73.54,28.98
2026-05-18T14:59:00Z,73.44,26.00
2026-05-18T15:00:00Z,66.82,32.91
2026-05-18T15:01:00Z,68.64,29.07
2026-05-18T15:02:00Z,71.00,27.92
2026-05-18T15:03:00Z,67.65,33.99
2026-05-18T15:04:00Z,67.59,33.00
2026-05-18T15:05:00Z,66.51,35.97
2026-05-18T15:06:00Z,72.69,34.90
2026-05-18T15:07:00Z,74.03,29.00
2026-05-18T15:08:00Z,75.01,29.00
2026-05-18T15:09:00Z,75.61,28.99
2026-05-18T15:10:00Z,71.00,28.99
2026-05-18T15:11:00Z,71.00,30.00
2026-05-18T15:12:00Z,69.94,31.54
2026-05-18T15:13:00Z,69.32,33.00
2026-05-18T15:14:00Z,65.35,37.91
2026-05-18T15:15:00Z,58.93,42.65
2026-05-18T15:16:00Z,64.09,33.95
2026-05-18T15:17:00Z,74.56,26.13
2026-05-18T15:18:00Z,77.41,23.03
2026-05-18T15:19:00Z,85.29,14.37
2026-05-18T15:20:00Z,95.37,5.10
2026-05-18T15:21:00Z,95.76,4.00
2026-05-18T15:22:00Z,96.71,3.30
2026-05-18T15:23:00Z,98.70,1.00
2026-05-18T15:24:00Z,99.00,3.00
2026-05-18T15:25:00Z,96.28,3.61
2026-05-18T15:26:00Z,94.34,5.71
2026-05-18T15:27:00Z,97.15,3.00
2026-05-18T15:28:00Z,95.16,5.98
2026-05-18T15:29:00Z,95.16,1.16
