# event_ticker=KXATPCHALLENGERMATCH-26MAR03SAMBRA
# final_score=6-3 4-6 6-3
# score_resolution=3-6 6-4 3-6
# match_winner=Toby Samuel
# fav_player=Raul Brancaccio
# dog_player=Toby Samuel
# kalshi_date=2026-03-03
timestamp,Raul Brancaccio,Toby Samuel
2026-03-03T01:21:00Z,30.00,
2026-03-03T02:16:00Z,30.00,77.00
2026-03-03T02:19:00Z,30.00,80.00
2026-03-03T02:27:00Z,30.00,80.00
2026-03-03T03:22:00Z,24.00,80.00
2026-03-03T03:31:00Z,24.00,78.00
2026-03-03T03:45:00Z,24.00,78.00
2026-03-03T04:02:00Z,24.00,78.00
2026-03-03T04:30:00Z,24.00,77.00
2026-03-03T04:48:00Z,24.00,77.00
2026-03-03T04:54:00Z,24.00,80.00
2026-03-03T05:12:00Z,24.00,77.00
2026-03-03T05:28:00Z,24.00,81.67
2026-03-03T05:55:00Z,21.00,81.00
2026-03-03T06:00:00Z,21.00,77.00
2026-03-03T06:12:00Z,24.00,77.00
2026-03-03T06:13:00Z,21.00,81.00
2026-03-03T06:21:00Z,24.00,81.00
2026-03-03T06:59:00Z,24.00,81.00
2026-03-03T07:02:00Z,25.00,77.00
2026-03-03T07:32:00Z,25.00,77.00
2026-03-03T07:51:00Z,22.00,81.00
2026-03-03T08:16:00Z,22.00,80.00
2026-03-03T09:01:00Z,22.00,80.00
2026-03-03T09:02:00Z,25.00,77.00
2026-03-03T09:51:00Z,29.59,73.83
2026-03-03T09:52:00Z,30.00,73.83
2026-03-03T09:53:00Z,33.13,68.52
2026-03-03T09:54:00Z,31.00,73.50
2026-03-03T09:55:00Z,31.00,69.74
2026-03-03T09:57:00Z,31.00,71.00
2026-03-03T10:06:00Z,25.00,71.00
2026-03-03T10:07:00Z,25.14,71.00
2026-03-03T10:08:00Z,25.00,71.00
2026-03-03T10:11:00Z,25.00,71.00
2026-03-03T10:12:00Z,25.00,71.00
2026-03-03T10:15:00Z,25.16,71.00
2026-03-03T10:16:00Z,25.00,71.00
2026-03-03T10:28:00Z,25.00,76.00
2026-03-03T10:29:00Z,25.00,76.00
2026-03-03T10:43:00Z,22.00,76.00
2026-03-03T10:47:00Z,22.00,81.36
2026-03-03T10:49:00Z,21.22,80.00
2026-03-03T10:50:00Z,23.00,80.00
2026-03-03T10:51:00Z,19.13,80.00
2026-03-03T10:52:00Z,16.00,83.00
2026-03-03T10:53:00Z,16.00,83.00
2026-03-03T10:54:00Z,21.00,83.00
2026-03-03T10:55:00Z,22.05,83.00
2026-03-03T10:56:00Z,26.00,83.00
2026-03-03T10:57:00Z,22.00,83.00
2026-03-03T10:58:00Z,20.00,83.00
2026-03-03T10:59:00Z,20.72,83.00
2026-03-03T11:00:00Z,26.39,77.50
2026-03-03T11:01:00Z,27.00,76.00
2026-03-03T11:02:00Z,28.53,74.10
2026-03-03T11:03:00Z,24.68,77.00
2026-03-03T11:04:00Z,28.28,77.00
2026-03-03T11:05:00Z,26.22,76.00
2026-03-03T11:06:00Z,19.53,79.85
2026-03-03T11:07:00Z,22.44,78.00
2026-03-03T11:08:00Z,30.82,78.00
2026-03-03T11:09:00Z,28.89,70.69
2026-03-03T11:10:00Z,24.56,75.78
2026-03-03T11:11:00Z,22.31,80.80
2026-03-03T11:12:00Z,23.23,73.02
2026-03-03T11:13:00Z,32.30,71.00
2026-03-03T11:14:00Z,28.01,71.19
2026-03-03T11:15:00Z,27.55,75.01
2026-03-03T11:16:00Z,23.33,76.00
2026-03-03T11:17:00Z,22.05,80.95
2026-03-03T11:18:00Z,19.96,83.67
2026-03-03T11:19:00Z,12.81,85.00
2026-03-03T11:20:00Z,14.31,86.75
2026-03-03T11:21:00Z,16.98,90.00
2026-03-03T11:22:00Z,14.00,89.46
2026-03-03T11:23:00Z,13.39,88.00
2026-03-03T11:24:00Z,13.39,89.21
2026-03-03T11:25:00Z,8.00,91.00
2026-03-03T11:26:00Z,11.82,90.00
2026-03-03T11:27:00Z,11.00,90.00
2026-03-03T11:28:00Z,11.00,88.01
2026-03-03T11:29:00Z,16.82,87.00
2026-03-03T11:30:00Z,13.78,87.20
2026-03-03T11:31:00Z,16.00,86.00
2026-03-03T11:32:00Z,12.00,88.00
2026-03-03T11:33:00Z,9.21,88.95
2026-03-03T11:34:00Z,14.00,87.00
2026-03-03T11:35:00Z,13.28,88.00
2026-03-03T11:36:00Z,13.57,89.97
2026-03-03T11:37:00Z,9.13,91.03
2026-03-03T11:38:00Z,10.42,90.14
2026-03-03T11:39:00Z,10.42,89.00
2026-03-03T11:40:00Z,14.00,93.00
2026-03-03T11:41:00Z,14.13,86.95
2026-03-03T11:42:00Z,18.33,82.34
2026-03-03T11:43:00Z,19.40,81.61
2026-03-03T11:44:00Z,18.46,85.51
2026-03-03T11:45:00Z,16.12,86.71
2026-03-03T11:46:00Z,16.00,86.03
2026-03-03T11:47:00Z,15.87,85.53
2026-03-03T11:48:00Z,15.83,85.02
2026-03-03T11:49:00Z,14.47,90.35
2026-03-03T11:50:00Z,12.62,88.00
2026-03-03T11:51:00Z,9.00,88.95
2026-03-03T11:52:00Z,14.52,89.00
2026-03-03T11:53:00Z,16.15,84.00
2026-03-03T11:54:00Z,16.80,86.00
2026-03-03T11:55:00Z,16.68,83.97
2026-03-03T11:56:00Z,14.53,85.53
2026-03-03T11:57:00Z,13.99,88.93
2026-03-03T11:58:00Z,12.67,89.81
2026-03-03T11:59:00Z,10.45,91.94
2026-03-03T12:00:00Z,10.45,88.99
2026-03-03T12:01:00Z,16.00,85.00
2026-03-03T12:02:00Z,22.38,83.39
2026-03-03T12:03:00Z,17.90,84.58
2026-03-03T12:04:00Z,14.43,84.15
2026-03-03T12:05:00Z,21.24,83.81
2026-03-03T12:06:00Z,31.08,75.74
2026-03-03T12:07:00Z,36.30,65.55
2026-03-03T12:08:00Z,30.42,70.28
2026-03-03T12:09:00Z,29.55,68.13
2026-03-03T12:10:00Z,28.94,75.13
2026-03-03T12:11:00Z,16.99,82.11
2026-03-03T12:12:00Z,15.47,85.26
2026-03-03T12:13:00Z,16.02,84.47
2026-03-03T12:14:00Z,26.30,78.32
2026-03-03T12:15:00Z,33.79,71.55
2026-03-03T12:16:00Z,35.43,68.49
2026-03-03T12:17:00Z,29.67,69.20
2026-03-03T12:18:00Z,18.87,83.68
2026-03-03T12:19:00Z,17.00,81.86
2026-03-03T12:20:00Z,14.61,88.53
2026-03-03T12:21:00Z,12.15,89.24
2026-03-03T12:22:00Z,12.86,86.59
2026-03-03T12:23:00Z,14.81,85.51
2026-03-03T12:24:00Z,17.00,85.00
2026-03-03T12:25:00Z,14.46,86.94
2026-03-03T12:26:00Z,10.43,92.15
2026-03-03T12:27:00Z,11.70,90.92
2026-03-03T12:28:00Z,11.23,89.45
2026-03-03T12:29:00Z,10.12,90.19
2026-03-03T12:30:00Z,11.85,90.26
2026-03-03T12:31:00Z,11.15,93.50
2026-03-03T12:32:00Z,8.29,92.37
2026-03-03T12:33:00Z,6.73,94.09
2026-03-03T12:34:00Z,8.40,92.86
2026-03-03T12:35:00Z,6.04,93.78
2026-03-03T12:36:00Z,8.04,95.02
2026-03-03T12:37:00Z,9.39,92.50
2026-03-03T12:38:00Z,14.61,88.36
2026-03-03T12:39:00Z,16.10,87.04
2026-03-03T12:40:00Z,12.77,88.98
2026-03-03T12:41:00Z,11.61,90.51
2026-03-03T12:42:00Z,9.73,93.01
2026-03-03T12:43:00Z,6.32,94.93
2026-03-03T12:44:00Z,2.25,98.65
2026-03-03T12:45:00Z,3.82,98.09
2026-03-03T12:46:00Z,3.82,99.00
2026-03-03T12:47:00Z,3.82,99.00
2026-03-03T12:48:00Z,3.82,99.00
2026-03-03T12:49:00Z,3.82,99.00
2026-03-03T12:50:00Z,3.82,99.00
2026-03-03T12:52:00Z,3.82,99.00
