# event_ticker=KXATPMATCH-25OCT14BERCOL
# final_score=6-4 7-6(5)
# score_resolution=4-6 6-7
# match_winner=Raphael Collignon
# fav_player=Zizou Bergs
# dog_player=Raphael Collignon
# kalshi_date=2025-10-14
timestamp,Zizou Bergs,Raphael Collignon
2025-10-14T06:32:00Z,,45.00
2025-10-14T07:30:00Z,55.00,45.00
2025-10-14T08:02:00Z,55.00,45.00
2025-10-14T08:05:00Z,55.00,45.00
2025-10-14T08:07:00Z,55.00,45.00
2025-10-14T08:13:00Z,55.00,45.00
2025-10-14T08:27:00Z,57.00,45.00
2025-10-14T09:18:00Z,57.00,45.00
2025-10-14T09:36:00Z,57.00,45.00
2025-10-14T09:50:00Z,57.00,45.00
2025-10-14T09:52:00Z,55.00,45.00
2025-10-14T09:53:00Z,55.00,45.00
2025-10-14T10:07:00Z,55.00,45.00
2025-10-14T10:10:00Z,56.00,45.00
2025-10-14T10:12:00Z,55.00,45.00
2025-10-14T10:36:00Z,56.00,45.00
2025-10-14T10:54:00Z,55.00,46.00
2025-10-14T11:03:00Z,56.00,46.00
2025-10-14T11:12:00Z,55.00,46.00
2025-10-14T11:16:00Z,56.00,46.00
2025-10-14T12:10:00Z,56.00,46.00
2025-10-14T12:12:00Z,55.00,46.00
2025-10-14T12:14:00Z,56.00,46.00
2025-10-14T12:16:00Z,56.00,46.00
2025-10-14T12:17:00Z,56.00,46.00
2025-10-14T12:25:00Z,56.00,46.00
2025-10-14T12:26:00Z,56.00,46.00
2025-10-14T12:28:00Z,56.00,46.00
2025-10-14T12:29:00Z,54.00,46.00
2025-10-14T12:33:00Z,54.00,46.00
2025-10-14T12:36:00Z,56.00,46.00
2025-10-14T12:42:00Z,56.00,46.00
2025-10-14T12:44:00Z,56.00,46.00
2025-10-14T12:55:00Z,56.00,46.00
2025-10-14T13:01:00Z,56.00,46.00
2025-10-14T13:02:00Z,56.00,46.00
2025-10-14T13:03:00Z,56.00,46.00
2025-10-14T13:04:00Z,56.00,46.00
2025-10-14T13:07:00Z,56.00,46.00
2025-10-14T13:08:00Z,56.00,46.00
2025-10-14T13:09:00Z,55.98,46.00
2025-10-14T13:14:00Z,56.00,46.00
2025-10-14T13:15:00Z,56.00,46.00
2025-10-14T13:18:00Z,56.00,46.00
2025-10-14T13:21:00Z,56.00,46.00
2025-10-14T13:29:00Z,56.00,46.00
