# event_ticker=KXATPMATCH-26JAN06HIJMPE
# final_score=4-6 7-6(5) 7-6(4)
# score_resolution=4-6 7-6 7-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Rinky Hijikata
# kalshi_date=2026-01-06
timestamp,Giovanni Mpetshi Perricard,Rinky Hijikata
2026-01-07T16:55:00Z,,41.00
2026-01-07T17:16:00Z,60.00,41.00
2026-01-07T17:28:00Z,61.00,41.00
2026-01-07T17:29:00Z,61.00,41.00
2026-01-07T17:33:00Z,61.00,41.00
2026-01-07T17:34:00Z,61.00,41.00
2026-01-07T18:11:00Z,61.00,41.00
2026-01-07T18:57:00Z,61.00,41.00
2026-01-07T19:38:00Z,61.00,41.00
2026-01-07T20:28:00Z,61.00,41.00
2026-01-07T20:29:00Z,61.00,40.00
2026-01-07T20:52:00Z,61.00,40.00
2026-01-07T21:00:00Z,62.00,40.00
2026-01-07T21:24:00Z,61.70,40.00
2026-01-07T21:30:00Z,62.00,40.00
2026-01-07T21:44:00Z,62.00,40.00
2026-01-07T21:53:00Z,62.00,40.00
2026-01-07T21:59:00Z,62.00,40.00
2026-01-07T22:10:00Z,61.00,40.00
2026-01-07T22:27:00Z,61.00,40.00
2026-01-07T22:30:00Z,61.00,40.00
2026-01-07T23:06:00Z,62.00,40.00
2026-01-07T23:08:00Z,62.00,40.00
2026-01-07T23:22:00Z,62.00,40.00
2026-01-07T23:41:00Z,62.00,41.00
2026-01-07T23:42:00Z,62.00,41.00
2026-01-07T23:46:00Z,62.00,41.00
2026-01-08T00:24:00Z,61.00,41.00
2026-01-08T00:26:00Z,61.00,41.00
2026-01-08T00:34:00Z,61.00,41.00
2026-01-08T00:47:00Z,61.00,41.00
2026-01-08T00:50:00Z,61.00,41.00
2026-01-08T00:53:00Z,61.00,41.00
2026-01-08T00:59:00Z,61.00,41.00
2026-01-08T01:00:00Z,61.00,41.00
2026-01-08T01:02:00Z,61.00,41.00
2026-01-08T01:22:00Z,61.00,41.00
2026-01-08T02:25:00Z,61.00,41.00
2026-01-08T02:27:00Z,61.00,41.00
2026-01-08T02:38:00Z,61.00,41.00
2026-01-08T02:39:00Z,61.00,41.00
2026-01-08T02:43:00Z,61.00,41.00
2026-01-08T02:51:00Z,61.00,41.00
2026-01-08T02:55:00Z,61.00,41.00
2026-01-08T03:08:00Z,61.00,41.00
2026-01-08T03:09:00Z,61.00,41.00
2026-01-08T03:22:00Z,61.00,41.00
2026-01-08T03:25:00Z,61.00,41.00
2026-01-08T03:29:00Z,61.00,41.00
2026-01-08T03:31:00Z,61.00,41.00
2026-01-08T03:34:00Z,61.00,41.00
2026-01-08T03:41:00Z,61.00,41.00
2026-01-08T03:44:00Z,61.00,41.00
2026-01-08T03:45:00Z,61.00,41.00
2026-01-08T03:46:00Z,61.00,41.00
2026-01-08T03:47:00Z,61.00,41.00
2026-01-08T03:48:00Z,61.00,41.00
2026-01-08T03:51:00Z,61.00,41.00
2026-01-08T03:52:00Z,61.00,41.00
2026-01-08T03:53:00Z,61.00,41.00
2026-01-08T03:54:00Z,61.00,41.00
2026-01-08T03:55:00Z,61.00,41.00
2026-01-08T03:57:00Z,61.00,41.00
2026-01-08T03:59:00Z,61.00,41.00
2026-01-08T04:01:00Z,61.00,41.00
2026-01-08T04:02:00Z,61.00,41.00
2026-01-08T04:03:00Z,61.00,41.00
2026-01-08T04:05:00Z,61.00,41.00
2026-01-08T04:06:00Z,61.00,41.00
2026-01-08T04:08:00Z,61.00,41.00
2026-01-08T04:09:00Z,61.00,41.00
2026-01-08T04:10:00Z,61.00,41.00
2026-01-08T04:12:00Z,61.00,41.00
2026-01-08T04:14:00Z,61.00,41.00
