# event_ticker=KXATPMATCH-26APR02VANGRI
# final_score=6-4 1-6 6-3
# match_winner=Luca Van Assche
# fav_player=Luca Van Assche
# dog_player=Tallon Griekspoor
# kalshi_date=2026-04-02
timestamp,Luca Van Assche,Tallon Griekspoor
2026-04-02T05:32:00Z,,62.67
2026-04-02T05:35:00Z,,63.00
2026-04-02T05:38:00Z,37.03,63.00
2026-04-02T05:39:00Z,37.03,63.00
2026-04-02T05:40:00Z,37.03,63.00
2026-04-02T05:42:00Z,37.03,63.00
2026-04-02T05:44:00Z,37.03,63.00
2026-04-02T05:45:00Z,37.03,63.00
2026-04-02T05:46:00Z,37.03,63.00
2026-04-02T05:47:00Z,37.03,62.00
2026-04-02T06:01:00Z,37.03,63.00
2026-04-02T06:02:00Z,37.03,63.00
2026-04-02T06:03:00Z,37.03,63.00
2026-04-02T06:06:00Z,37.03,62.00
2026-04-02T06:11:00Z,37.03,62.00
2026-04-02T06:12:00Z,39.00,62.00
2026-04-02T06:21:00Z,39.00,62.00
2026-04-02T06:24:00Z,39.00,62.00
2026-04-02T06:27:00Z,39.00,62.00
2026-04-02T06:32:00Z,39.00,62.00
2026-04-02T06:36:00Z,39.00,62.00
2026-04-02T06:39:00Z,39.00,62.00
2026-04-02T06:40:00Z,39.00,63.00
2026-04-02T06:44:00Z,39.00,63.00
2026-04-02T06:48:00Z,39.00,63.00
2026-04-02T06:49:00Z,39.00,63.00
2026-04-02T06:56:00Z,39.00,62.94
2026-04-02T06:58:00Z,39.00,63.00
2026-04-02T06:59:00Z,37.00,63.00
2026-04-02T09:02:00Z,37.00,62.00
2026-04-02T09:03:00Z,37.00,62.00
2026-04-02T09:04:00Z,39.00,62.00
2026-04-02T09:05:00Z,39.00,62.00
2026-04-02T09:08:00Z,39.00,62.00
2026-04-02T09:09:00Z,39.00,62.00
2026-04-02T09:10:00Z,39.00,62.00
2026-04-02T09:11:00Z,39.00,62.00
2026-04-02T09:13:00Z,39.00,62.00
2026-04-02T09:18:00Z,39.00,62.00
2026-04-02T09:20:00Z,39.00,62.00
