# event_ticker=KXATPCHALLENGERMATCH-26MAR18GUICAD
# final_score=6-3 6-3
# match_winner=Gianluca Cadenasso
# fav_player=Gianluca Cadenasso
# dog_player=Alvaro Guillen Meza
# kalshi_date=2026-03-18
timestamp,Gianluca Cadenasso,Alvaro Guillen Meza
2026-03-18T13:23:00Z,,60.00
2026-03-18T15:22:00Z,,58.00
2026-03-18T15:38:00Z,,60.00
2026-03-18T15:52:00Z,,60.00
2026-03-18T16:15:00Z,,60.00
2026-03-18T16:16:00Z,,61.00
2026-03-18T16:40:00Z,41.00,60.00
2026-03-18T16:41:00Z,41.00,60.00
2026-03-18T16:42:00Z,41.00,59.54
2026-03-18T16:43:00Z,41.00,59.54
2026-03-18T16:44:00Z,41.00,59.54
2026-03-18T16:45:00Z,41.17,59.00
2026-03-18T16:46:00Z,41.17,59.00
2026-03-18T16:47:00Z,42.00,58.00
2026-03-18T16:48:00Z,42.00,58.00
2026-03-18T16:49:00Z,42.00,59.00
2026-03-18T16:50:00Z,42.00,58.97
2026-03-18T16:51:00Z,42.07,58.00
2026-03-18T16:52:00Z,42.07,58.00
2026-03-18T16:53:00Z,42.07,58.99
2026-03-18T16:54:00Z,42.00,59.00
2026-03-18T16:55:00Z,42.00,59.00
2026-03-18T16:56:00Z,42.00,59.00
2026-03-18T16:57:00Z,42.00,59.00
2026-03-18T16:58:00Z,42.00,59.00
2026-03-18T16:59:00Z,42.00,59.00
2026-03-18T17:00:00Z,42.00,60.17
2026-03-18T17:01:00Z,42.00,59.00
2026-03-18T17:03:00Z,43.00,58.12
2026-03-18T17:04:00Z,43.00,59.00
2026-03-18T17:05:00Z,43.97,58.16
2026-03-18T17:06:00Z,44.00,58.75
2026-03-18T17:07:00Z,44.00,59.00
2026-03-18T17:08:00Z,44.00,58.34
2026-03-18T17:09:00Z,44.37,58.00
2026-03-18T17:10:00Z,44.37,58.17
2026-03-18T17:11:00Z,41.08,61.79
2026-03-18T17:12:00Z,43.55,61.26
2026-03-18T17:13:00Z,42.04,54.65
2026-03-18T17:14:00Z,49.16,53.31
2026-03-18T17:15:00Z,48.51,53.44
2026-03-18T17:16:00Z,49.00,52.01
2026-03-18T17:17:00Z,44.80,56.06
2026-03-18T17:18:00Z,46.10,55.53
2026-03-18T17:19:00Z,44.46,57.36
2026-03-18T17:20:00Z,44.57,57.69
2026-03-18T17:21:00Z,41.26,60.20
2026-03-18T17:22:00Z,36.41,62.95
2026-03-18T17:23:00Z,37.37,63.66
2026-03-18T17:24:00Z,32.18,66.00
2026-03-18T17:25:00Z,31.01,68.05
2026-03-18T17:26:00Z,35.48,67.01
2026-03-18T17:27:00Z,42.78,59.87
2026-03-18T17:28:00Z,44.90,54.26
2026-03-18T17:29:00Z,42.92,60.28
2026-03-18T17:30:00Z,52.80,50.81
2026-03-18T17:31:00Z,53.42,46.86
2026-03-18T17:32:00Z,57.11,43.02
2026-03-18T17:33:00Z,58.86,41.41
2026-03-18T17:34:00Z,59.62,42.51
2026-03-18T17:35:00Z,52.47,47.51
2026-03-18T17:36:00Z,50.36,50.29
2026-03-18T17:37:00Z,55.91,45.70
2026-03-18T17:38:00Z,57.64,44.47
2026-03-18T17:39:00Z,58.04,42.63
2026-03-18T17:40:00Z,58.00,43.60
2026-03-18T17:41:00Z,58.96,44.99
2026-03-18T17:42:00Z,61.57,40.88
2026-03-18T17:43:00Z,62.06,40.65
2026-03-18T17:44:00Z,62.80,41.46
2026-03-18T17:45:00Z,61.72,41.31
2026-03-18T17:46:00Z,62.07,40.09
2026-03-18T17:47:00Z,67.46,29.32
2026-03-18T17:48:00Z,75.52,26.55
2026-03-18T17:49:00Z,76.88,25.01
2026-03-18T17:50:00Z,75.17,24.27
2026-03-18T17:51:00Z,77.39,23.00
2026-03-18T17:52:00Z,74.37,24.74
2026-03-18T17:53:00Z,76.58,26.00
2026-03-18T17:54:00Z,75.14,25.99
2026-03-18T17:55:00Z,77.00,25.97
2026-03-18T17:56:00Z,76.08,25.93
2026-03-18T17:57:00Z,75.83,25.97
2026-03-18T17:58:00Z,75.99,25.89
2026-03-18T17:59:00Z,76.88,25.73
2026-03-18T18:00:00Z,76.41,25.64
2026-03-18T18:01:00Z,76.96,26.85
2026-03-18T18:02:00Z,66.70,30.10
2026-03-18T18:03:00Z,70.00,31.93
2026-03-18T18:04:00Z,70.09,31.67
2026-03-18T18:05:00Z,72.20,29.05
2026-03-18T18:06:00Z,74.43,26.02
2026-03-18T18:07:00Z,72.67,28.94
2026-03-18T18:08:00Z,68.94,30.25
2026-03-18T18:09:00Z,69.44,31.91
2026-03-18T18:10:00Z,69.71,31.85
2026-03-18T18:11:00Z,70.55,29.64
2026-03-18T18:12:00Z,75.66,26.54
2026-03-18T18:13:00Z,76.16,25.34
2026-03-18T18:14:00Z,75.64,24.51
2026-03-18T18:15:00Z,77.81,24.60
2026-03-18T18:16:00Z,75.67,23.39
2026-03-18T18:17:00Z,77.14,22.03
2026-03-18T18:18:00Z,84.09,13.23
2026-03-18T18:19:00Z,89.51,9.67
2026-03-18T18:20:00Z,90.71,11.32
2026-03-18T18:21:00Z,91.05,10.07
2026-03-18T18:22:00Z,93.09,8.55
2026-03-18T18:23:00Z,91.73,8.14
2026-03-18T18:24:00Z,93.29,9.33
2026-03-18T18:25:00Z,93.50,7.45
2026-03-18T18:26:00Z,93.58,7.26
2026-03-18T18:27:00Z,91.74,8.01
2026-03-18T18:28:00Z,90.96,9.68
2026-03-18T18:29:00Z,92.92,7.49
2026-03-18T18:30:00Z,94.53,5.54
2026-03-18T18:31:00Z,96.11,3.57
2026-03-18T18:32:00Z,96.01,4.64
2026-03-18T18:33:00Z,97.72,3.33
2026-03-18T18:34:00Z,98.98,1.81
2026-03-18T18:35:00Z,99.00,1.00
2026-03-18T18:36:00Z,99.00,1.00
2026-03-18T18:37:00Z,99.00,1.00
2026-03-18T18:38:00Z,99.00,1.00
2026-03-18T18:39:00Z,99.00,1.00
2026-03-18T18:40:00Z,99.00,1.00
2026-03-18T18:41:00Z,99.00,1.00
