# event_ticker=KXATPCHALLENGERMATCH-26APR27RODBLA
# final_score=1-6 6-1 7-6(6)
# score_resolution=1-6 6-1 7-6
# match_winner=Darwin Blanch
# fav_player=Darwin Blanch
# dog_player=Jurij Rodionov
# kalshi_date=2026-04-27
timestamp,Jurij Rodionov,Darwin Blanch
2026-04-27T03:23:00Z,62.00,
2026-04-27T03:33:00Z,62.00,41.00
2026-04-27T03:59:00Z,62.00,41.00
2026-04-27T04:58:00Z,61.00,41.00
2026-04-27T05:58:00Z,59.00,41.00
2026-04-27T06:36:00Z,59.00,41.00
2026-04-27T07:50:00Z,62.00,38.00
2026-04-27T07:58:00Z,62.00,37.00
2026-04-27T09:22:00Z,65.00,37.00
2026-04-27T09:56:00Z,66.00,37.00
2026-04-27T10:29:00Z,66.00,37.00
2026-04-27T10:48:00Z,66.00,37.00
2026-04-27T11:00:00Z,66.00,36.00
2026-04-27T11:08:00Z,66.00,36.00
2026-04-27T11:14:00Z,66.00,36.00
2026-04-27T11:17:00Z,66.00,36.00
2026-04-27T11:42:00Z,66.00,36.00
2026-04-27T12:12:00Z,67.00,36.00
2026-04-27T12:44:00Z,63.00,37.00
2026-04-27T12:45:00Z,61.00,39.00
2026-04-27T12:54:00Z,60.00,39.00
2026-04-27T12:57:00Z,61.00,39.00
2026-04-27T13:01:00Z,61.00,39.00
2026-04-27T13:07:00Z,61.00,39.00
2026-04-27T13:15:00Z,61.00,41.00
2026-04-27T13:29:00Z,61.73,41.00
2026-04-27T13:30:00Z,62.00,41.00
2026-04-27T13:37:00Z,61.00,41.00
2026-04-27T13:38:00Z,62.00,41.00
2026-04-27T13:45:00Z,62.00,40.00
2026-04-27T13:47:00Z,62.00,40.00
2026-04-27T13:48:00Z,62.00,41.00
2026-04-27T13:50:00Z,62.00,41.00
2026-04-27T13:51:00Z,62.00,40.00
2026-04-27T13:52:00Z,62.00,40.00
2026-04-27T13:53:00Z,62.00,40.00
2026-04-27T13:56:00Z,62.00,40.00
2026-04-27T13:59:00Z,62.00,40.00
2026-04-27T14:00:00Z,62.00,40.00
2026-04-27T14:04:00Z,61.00,40.00
2026-04-27T14:05:00Z,62.00,40.00
2026-04-27T14:06:00Z,62.00,40.00
2026-04-27T14:08:00Z,62.00,39.00
2026-04-27T14:09:00Z,63.19,37.00
2026-04-27T14:10:00Z,63.19,38.93
2026-04-27T14:11:00Z,63.00,37.12
