# event_ticker=KXATPMATCH-26MAR04HURKOV
# final_score=7-6(6) 7-6(4)
# score_resolution=7-6 7-6
# match_winner=Aleksandar Kovacevic
# fav_player=Aleksandar Kovacevic
# dog_player=Hubert Hurkacz
# kalshi_date=2026-03-04
timestamp,Aleksandar Kovacevic,Hubert Hurkacz
2026-03-05T10:50:00Z,,71.00
2026-03-05T11:02:00Z,31.00,71.00
2026-03-05T11:26:00Z,31.00,71.00
2026-03-05T11:29:00Z,31.00,70.00
2026-03-05T11:47:00Z,31.00,71.00
2026-03-05T11:48:00Z,31.00,71.00
2026-03-05T11:51:00Z,31.00,71.00
2026-03-05T11:53:00Z,31.00,71.00
2026-03-05T11:54:00Z,31.00,71.00
2026-03-05T12:15:00Z,31.00,70.00
2026-03-05T12:21:00Z,31.00,69.00
2026-03-05T12:27:00Z,31.00,69.00
2026-03-05T12:39:00Z,31.00,69.00
2026-03-05T12:51:00Z,31.00,69.00
2026-03-05T12:55:00Z,31.00,69.00
2026-03-05T13:02:00Z,31.00,69.00
2026-03-05T13:04:00Z,31.00,69.00
2026-03-05T13:23:00Z,31.85,69.00
2026-03-05T13:45:00Z,31.85,69.00
2026-03-05T13:50:00Z,32.00,69.00
2026-03-05T13:56:00Z,32.00,69.00
2026-03-05T14:03:00Z,32.00,69.00
2026-03-05T14:04:00Z,32.00,69.00
2026-03-05T14:18:00Z,32.00,69.00
2026-03-05T14:22:00Z,32.00,69.00
2026-03-05T14:26:00Z,32.00,69.00
2026-03-05T14:34:00Z,32.00,69.00
2026-03-05T14:41:00Z,32.00,69.00
2026-03-05T14:44:00Z,32.00,69.00
2026-03-05T14:45:00Z,32.00,69.00
2026-03-05T14:46:00Z,32.00,69.00
2026-03-05T14:52:00Z,32.00,69.00
2026-03-05T15:15:00Z,32.00,69.00
2026-03-05T15:22:00Z,32.00,68.00
2026-03-05T15:27:00Z,32.00,69.00
2026-03-05T15:28:00Z,32.00,69.00
2026-03-05T15:41:00Z,32.00,68.00
2026-03-05T15:42:00Z,32.00,69.00
2026-03-05T15:48:00Z,32.00,69.48
2026-03-05T15:58:00Z,32.00,70.00
2026-03-05T16:01:00Z,32.00,70.00
2026-03-05T16:03:00Z,32.00,70.00
2026-03-05T16:08:00Z,32.00,70.00
2026-03-05T16:13:00Z,32.00,70.00
2026-03-05T16:26:00Z,32.00,70.00
2026-03-05T16:36:00Z,32.00,70.00
2026-03-05T16:46:00Z,32.00,70.00
2026-03-05T16:48:00Z,32.00,70.00
2026-03-05T17:02:00Z,32.00,69.01
2026-03-05T17:07:00Z,32.00,68.00
2026-03-05T17:08:00Z,32.00,69.00
2026-03-05T17:14:00Z,32.00,69.00
2026-03-05T17:16:00Z,32.00,69.00
2026-03-05T17:20:00Z,32.00,69.00
2026-03-05T17:27:00Z,32.00,69.00
