# event_ticker=KXATPCHALLENGERMATCH-26MAR30DUCRUB
# final_score=6-1 6-1
# match_winner=James Duckworth
# fav_player=James Duckworth
# dog_player=Alan Fernando Rubio Fierros
# kalshi_date=2026-03-30
timestamp,James Duckworth,Alan Fernando Rubio Fierros
2026-03-30T12:52:00Z,84.00,52.00
2026-03-30T12:56:00Z,85.00,14.99
2026-03-30T13:01:00Z,85.00,14.99
2026-03-30T13:05:00Z,85.00,12.00
2026-03-30T13:06:00Z,87.00,12.00
2026-03-30T13:11:00Z,87.00,12.00
2026-03-30T13:12:00Z,89.00,12.00
2026-03-30T13:16:00Z,87.00,12.00
2026-03-30T13:42:00Z,89.00,12.00
2026-03-30T13:52:00Z,89.00,12.00
2026-03-30T14:11:00Z,89.00,13.00
2026-03-30T15:02:00Z,89.00,13.00
2026-03-30T15:08:00Z,89.00,13.00
2026-03-30T16:39:00Z,89.00,11.00
2026-03-30T16:40:00Z,89.00,11.00
2026-03-30T17:46:00Z,90.00,11.00
2026-03-30T19:09:00Z,90.00,11.00
2026-03-30T19:10:00Z,90.00,12.00
2026-03-30T19:38:00Z,90.00,12.00
2026-03-30T20:02:00Z,90.00,12.00
2026-03-30T21:02:00Z,90.00,12.00
2026-03-30T21:13:00Z,90.00,12.00
2026-03-30T21:37:00Z,90.00,12.00
2026-03-30T21:43:00Z,90.00,12.00
2026-03-30T21:49:00Z,90.00,12.00
2026-03-30T22:14:00Z,90.00,11.00
2026-03-30T22:40:00Z,89.00,11.00
2026-03-30T22:43:00Z,89.00,11.00
2026-03-30T22:50:00Z,89.00,11.00
2026-03-30T22:58:00Z,89.00,11.00
2026-03-30T23:23:00Z,89.00,11.00
2026-03-30T23:27:00Z,89.00,11.00
2026-03-30T23:32:00Z,89.00,11.00
2026-03-30T23:36:00Z,89.00,11.00
2026-03-30T23:40:00Z,89.00,11.00
2026-03-30T23:45:00Z,89.00,10.00
2026-03-30T23:46:00Z,89.00,10.00
2026-03-30T23:52:00Z,89.00,11.00
2026-03-30T23:54:00Z,89.00,11.00
2026-03-31T00:01:00Z,88.00,11.00
2026-03-31T00:02:00Z,88.00,11.00
2026-03-31T00:03:00Z,88.00,11.00
